ts_code,pe_ttm,total_mv,pb,end_date,roe,or_yoy,total_mv_亿,raw_code,name
300442.SZ,47.8805,8361236.3692,8.057,20251231,42.7562,29.9863,836.12363692,300442,润泽科技
300857.SZ,36.7138,2565368.8272,7.5464,20251231,30.6257,65.1256,256.53688272,300857,协创数据
600186.SH,46.4793,1182247.4109,6.6762,20251231,16.8949,30.4522,118.22474109,600186,莲花控股
603629.SH,298.9379,626951.16,3.702,20251231,16.2379,47.1551,62.695116000000006,603629,利通电子
000938.SZ,47.7028,7190240.8032,5.255,20251231,12.0057,22.4289,719.02408032,000938,紫光股份
