二筛排名,代码,Yahoo代码,行业,二筛总分,优先级,异常惩罚,PE_TTM,距52周高点跌幅_%,营收5年CAGR_%,净利润5年CAGR_%,已在Watchlist,量化警示,52周高点,营收3年CAGR_%,净利润3年CAGR_%,经营现金流3年CAGR_%,应收账款3年CAGR_%,库存3年CAGR_%,毛利率_%,净利率_%,ROE_%,ROA_%,资产负债率_%,长期债务权益比,利息保障倍数,流动比率,总资产周转率,FCF净利润转化率,股数3年CAGR_%,经营现金流_原始值
11,00027,0027.HK,Consumer Cyclical,80.0,A-优先三件套,0.0,12.980296,28.49,62.51,nan,否,无,44.22,62.51,nan,nan,1.91,1.59,55.95,21.68,12.84,10.98,2.04,0.02,69.55,1.56,0.51,1.01,0.08,14253563000.0
12,01651,1651.HK,Industrials,79.2,A-优先三件套,0.0,16.50336,23.47,8.6,23.63,否,无,74.15,8.6,23.63,11.72,-12.57,-5.97,34.87,21.11,30.17,23.68,0.06,0.0,709.21,3.67,1.12,0.92,-1.07,1064555000.0
13,03355,3355.HK,Technology,79.0,A-优先三件套,8.0,20.412979,39.3,14.26,18.17,否,应收增速>营收,57.0,14.26,18.17,68.46,28.87,-10.46,54.46,20.28,27.85,16.03,16.08,0.29,25.37,1.81,0.79,1.22,0.0,816725000.0
14,03306,3306.HK,Consumer Cyclical,78.4,A-优先三件套,0.0,9.238045,17.99,10.74,16.89,否,无,22.96,10.74,16.89,9.93,6.68,4.01,65.59,16.09,37.81,19.89,7.83,0.15,38.54,1.57,1.24,0.94,-0.68,1132989000.0
15,02400,2400.HK,Communication Services,78.3,A-优先三件套,6.0,12.25878,54.7,18.88,nan,否,ROE>40%,92.45,18.88,nan,nan,18.13,,73.82,26.64,40.28,33.58,2.34,0.03,257.13,3.97,1.26,0.91,1.26,1712603000.0
16,06055,6055.HK,Consumer Defensive,77.5,A-优先三件套,0.0,14.985915,55.76,20.54,37.77,否,无,48.1,20.54,37.77,nan,-12.14,17.42,10.1,6.72,26.9,10.43,31.44,0.77,9.14,1.68,1.55,1.05,0.0,1035402000.0
17,00285,0285.HK,Technology,77.5,A-优先三件套,0.0,13.435853,50.11,18.75,23.68,否,无,46.7,18.75,23.68,46.57,-1.62,2.73,5.99,1.96,10.2,4.04,10.63,0.26,11.59,1.17,2.06,4.18,-0.11,18768443000.0
18,00780,0780.HK,Consumer Cyclical,77.4,A-优先三件套,0.0,10.82265,48.19,43.35,nan,否,无,25.42,43.35,nan,142.5,36.57,nan,66.29,12.23,10.51,5.95,12.89,0.24,12.76,1.38,0.49,1.58,1.62,4310911000.0
19,09911,9911.HK,Technology,77.4,B-保留观察,13.0,11.112619,41.87,35.0,92.93,否,利润增长显著快于营收；股数膨胀>2%,14.09,35.0,92.93,66.94,35.64,nan,55.85,13.57,38.39,23.43,1.96,0.04,51.91,2.47,1.73,1.52,5.86,1454668000.0
20,09633,9633.HK,Consumer Defensive,77.3,A-优先三件套,6.0,24.432142,29.07,16.5,23.15,否,ROE>40%,56.25,16.5,23.15,20.64,7.71,40.49,60.53,30.19,40.2,26.82,6.89,0.11,313.67,1.07,0.89,0.9,0.0,21141652000.0
21,00425,0425.HK,Consumer Cyclical,77.3,A-优先三件套,0.0,10.168816,41.49,14.14,21.51,否,无,46.76,14.14,21.51,38.34,3.83,8.17,28.0,10.46,11.45,6.64,21.37,0.38,11.14,1.16,0.64,0.97,0.26,4912275000.0
22,02142,2142.HK,Healthcare,76.0,A-优先三件套,6.0,14.502747,30.42,57.21,nan,否,股数膨胀>2%,17.98,57.21,nan,nan,-5.91,82.82,94.47,57.81,24.88,25.54,16.35,0.22,46.83,5.17,0.44,0.76,4.35,81334000.0
23,01024,1024.HK,Communication Services,72.4,A-优先三件套,8.0,9.136866,54.54,14.88,nan,否,FCF/NI<70%,92.6,14.88,nan,222.7,8.93,,55.02,13.04,23.4,12.23,21.25,0.44,23.82,1.15,0.94,0.63,-0.01,26716000000.0
24,01913,1913.HK,Consumer Cyclical,72.3,A-优先三件套,0.0,12.719209,25.58,10.82,22.35,否,无,52.0,10.82,22.35,13.76,12.17,11.67,80.32,14.9,18.34,8.74,43.75,1.04,12.55,1.38,0.59,1.22,0.0,1654258000.0
25,00325,0325.HK,Consumer Cyclical,71.9,B-保留观察,8.0,15.701804,65.4,107.61,nan,否,应收增速>营收,134.5,107.61,nan,nan,161.0,75.61,46.82,21.75,22.09,22.13,0.82,0.01,398.2,2.85,1.02,0.87,0.97,896927000.0
26,06618,6618.HK,Healthcare,71.3,B-保留观察,7.0,19.021966,48.4,16.26,141.83,否,利润增长显著快于营收,71.7,16.26,141.83,19.88,-12.8,4.58,24.78,7.32,8.95,7.03,0.78,0.01,544.34,2.72,0.96,1.86,0.31,10173949000.0
27,03393,3393.HK,Industrials,70.0,B-保留观察,7.0,17.008929,43.64,19.82,48.4,否,利润增长显著快于营收,33.8,19.82,48.4,17.7,20.84,9.98,35.71,10.51,16.97,6.35,14.27,0.4,17.37,1.65,0.6,0.73,0.15,1407697000.0
28,09961,9961.HK,Consumer Cyclical,69.5,B-保留观察,15.0,6.044034,44.11,46.04,187.37,否,利润增长显著快于营收；FCF/NI<70%,613.0,46.04,187.37,75.92,40.58,,80.58,53.35,19.48,13.06,11.82,0.18,46.76,1.55,0.24,0.41,0.18,14379000000.0
29,06066,6066.HK,Financial Services,69.4,B-保留观察,0.0,7.487402,22.78,15.45,7.87,否,无,15.76,15.45,7.87,20.72,-3.24,9.3,77.96,22.65,7.93,1.52,27.38,1.56,2.51,1.28,0.07,4.47,-0.0,42719709000.0
30,02883,2883.HK,Energy,69.2,B-保留观察,0.0,7.767508,39.95,12.14,17.66,否,无,11.74,12.14,17.66,17.84,1.8,-1.95,17.39,7.64,8.25,4.59,20.0,0.36,9.04,1.06,0.6,1.41,0.0,11289935638.0
31,01585,1585.HK,Consumer Cyclical,68.0,B-保留观察,0.0,9.579067,32.18,6.02,10.45,否,无,15.01,6.02,10.45,24.84,6.59,-0.73,19.11,7.87,27.83,10.66,7.05,0.2,78.87,0.9,1.36,1.79,0.91,5989810000.0
32,02899,2899.HK,Basic Materials,67.1,B-保留观察,7.0,12.589772,31.08,8.9,37.21,否,利润增长显著快于营收,46.98,8.9,37.21,38.04,5.55,12.12,27.73,14.83,27.91,11.4,32.13,0.89,22.76,1.14,0.77,0.86,0.33,75429516296.0
33,00175,0175.HK,Consumer Cyclical,66.7,B-保留观察,6.0,11.691077,25.6,32.63,47.42,否,股数膨胀>2%,25.62,32.63,47.42,43.44,-17.3,43.43,16.61,4.88,18.24,6.0,15.05,0.47,30.0,0.89,1.23,1.74,2.64,47274244000.0
34,02282,2282.HK,Consumer Cyclical,65.3,B-保留观察,6.0,7.878104,39.72,87.6,nan,否,ROE>40%,17.37,87.6,nan,nan,80.77,14.5,37.45,14.59,156.27,16.84,64.6,5.9,5.08,0.54,1.15,1.41,-0.04,8737668000.0
35,02618,2618.HK,Industrials,64.7,B-保留观察,0.0,11.561983,16.53,16.48,nan,否,无,16.76,16.48,nan,12.12,9.94,11.06,9.1,3.06,12.16,5.48,18.02,0.41,9.57,1.32,1.79,1.67,-2.27,18765124000.0
36,03898,3898.HK,Industrials,64.7,B-保留观察,8.0,9.537078,28.92,17.1,17.03,否,FCF/NI<70%,46.88,17.1,17.03,16.06,11.4,14.36,28.89,14.33,9.64,5.99,12.81,0.22,186.74,1.7,0.42,-0.01,-1.39,3361120915.0
37,00220,0220.HK,Consumer Defensive,64.3,B-保留观察,0.0,13.228515,27.45,3.92,18.82,否,无,10.02,3.92,18.82,31.93,-15.32,-0.73,33.2,6.46,15.07,8.57,4.41,0.08,129.55,0.93,1.33,1.07,0.0,3284365000.0
38,01882,1882.HK,Industrials,64.2,B-保留观察,8.0,8.732615,23.28,12.94,13.38,否,FCF/NI<70%,26.2,12.94,13.38,25.02,15.25,11.52,32.7,18.62,14.32,9.87,9.12,0.14,49.3,2.0,0.53,0.67,0.0,3479819000.0
39,01928,1928.HK,Consumer Cyclical,62.8,B-保留观察,6.0,16.224101,37.87,66.76,nan,否,ROE>40%,22.5,66.76,nan,nan,31.14,17.73,58.22,12.04,63.95,8.24,67.14,5.07,3.78,0.85,0.68,1.74,0.0,2105000000.0
40,02018,2018.HK,Technology,62.8,B-保留观察,7.0,15.43895,23.73,15.55,45.16,否,利润增长显著快于营收,51.0,15.55,45.16,18.0,17.05,0.98,22.05,7.9,10.31,5.25,22.11,0.44,8.31,1.49,0.67,1.79,-1.61,7183014000.0
41,01133,1133.HK,Industrials,62.6,B-保留观察,13.0,12.234458,43.8,22.86,200.1,否,利润增长显著快于营收；股数膨胀>2%,28.88,22.86,200.1,48.66,-8.2,26.1,14.27,5.83,14.98,3.54,7.98,0.35,19.54,1.13,0.61,1.07,9.43,2284202514.81
42,02276,2276.HK,Healthcare,62.2,B-保留观察,14.0,23.615819,56.0,11.87,30.92,否,FCF/NI<70%；股数膨胀>2%,66.5,11.87,30.92,42.59,17.05,4.15,41.97,25.51,20.33,18.8,8.43,0.11,104.46,3.59,0.74,0.43,2.93,536627000.0
43,09973,9973.HK,Consumer Cyclical,61.4,B-保留观察,8.0,6.456824,31.79,48.01,44.79,否,FCF/NI<70%,34.98,48.01,44.79,26.94,50.59,41.86,13.8,6.33,37.47,8.04,7.73,0.4,11.97,1.05,1.27,0.28,0.24,20130000000.0
44,01109,1109.HK,Real Estate,61.4,B-保留观察,0.0,8.238997,18.05,10.77,-3.28,否,无,39.88,10.77,-3.28,215.97,1.3,-7.07,21.23,9.03,8.78,2.3,26.66,0.99,19.26,1.66,0.25,1.49,0.0,38793151000.0
45,02099,2099.HK,Basic Materials,61.4,B-保留观察,15.0,13.750898,32.51,5.84,27.98,否,利润增长显著快于营收；应收增速>营收,248.2,5.84,27.98,16.65,20.66,0.16,51.66,35.64,20.22,14.84,16.31,0.24,35.89,2.25,0.42,1.37,0.0,709984000.0
46,02507,2507.HK,Industrials,61.0,B-保留观察,8.0,13.238548,48.89,14.85,16.39,否,FCF/NI<70%,76.5,14.85,16.39,3.19,20.98,26.73,35.23,10.25,15.71,9.84,2.11,0.03,48.8,1.63,0.96,0.25,0.01,145997000.0
47,06656,6656.HK,Industrials,60.7,B-保留观察,14.0,21.883422,57.52,1142.49,nan,否,ROE>40%；FCF/NI<70%,669.0,1142.49,nan,nan,nan,1018.42,50.05,32.43,77.05,57.95,20.65,0.46,139.64,1.56,1.79,-0.2,0.0,-199990000.0
48,00631,0631.HK,Industrials,60.7,B-保留观察,8.0,12.765482,54.31,16.13,2.23,否,FCF/NI<70%,16.24,16.13,2.23,31.34,19.21,14.74,22.29,7.31,13.48,4.14,25.06,0.85,9.62,1.28,0.57,0.66,0.73,2457148000.0
49,02096,2096.HK,Healthcare,60.2,B-保留观察,0.0,20.36093,15.58,6.93,13.02,否,无,15.08,6.93,13.02,14.14,10.02,24.59,81.61,17.38,14.29,10.21,8.06,0.13,16.81,2.21,0.59,0.86,-0.82,2013530000.0
50,00322,0322.HK,Consumer Defensive,59.2,B-保留观察,0.0,12.797324,17.01,0.15,19.58,否,无,13.7,0.15,19.58,22.38,-7.96,-11.43,34.82,5.69,30.04,8.33,27.73,1.02,22.71,0.72,1.46,1.13,0.01,8201664000.0
51,02331,2331.HK,Consumer Cyclical,59.1,B-保留观察,0.0,11.41389,38.43,4.68,-10.27,否,无,23.42,4.68,-10.27,7.42,10.82,3.52,48.95,9.92,10.63,8.0,5.45,0.07,33.51,2.85,0.81,1.21,-1.09,4851532000.0
52,02611,2611.HK,Financial Services,58.8,B-保留观察,6.0,10.711051,17.89,21.35,34.19,否,股数膨胀>2%,18.56,21.35,34.19,16.94,,,nan,44.82,8.42,1.76,24.11,1.54,,,0.04,2.86,25.56,81138252377.0
53,01910,1910.HK,Consumer Cyclical,57.7,C-暂缓,0.0,8.922429,37.72,6.7,-2.59,否,无,21.98,6.7,-2.59,22.16,7.98,-2.38,59.6,8.26,18.06,5.65,45.91,1.48,4.13,1.66,0.68,1.43,-1.22,506300000.0
54,06181,6181.HK,Consumer Cyclical,57.1,C-暂缓,27.0,11.894764,58.22,176.31,272.04,否,利润增长显著快于营收；ROE>40%；FCF/NI<70%；股数膨胀>2%,898.0,176.31,272.04,nan,133.73,170.92,37.63,17.83,43.87,35.29,31.36,0.6,46.98,2.08,1.98,-1.44,2.86,-6848198000.0
55,09896,9896.HK,Consumer Cyclical,56.8,C-暂缓,8.0,12.497572,53.88,28.59,23.6,否,应收增速>营收,51.95,28.59,23.6,22.39,58.18,45.92,44.99,5.62,11.35,5.15,37.83,1.02,5.44,1.66,0.92,1.31,-1.27,2577891000.0
56,01810,1810.HK,Technology,56.4,C-暂缓,15.0,17.377526,55.39,17.76,156.28,否,利润增长显著快于营收；FCF/NI<70%,59.9,17.76,156.28,nan,16.93,17.1,22.26,9.11,15.64,9.14,8.23,0.16,14.66,1.32,1.0,0.51,1.32,34142377000.0
57,00016,0016.HK,Real Estate,55.0,C-暂缓,0.0,15.897554,18.88,-4.1,-13.68,否,无,148.8,-4.1,-13.68,26.21,-35.44,1.66,45.05,26.64,3.14,2.35,15.85,0.21,6.83,4.01,0.09,1.04,0.0,24516000000.0
58,02333,2333.HK,Consumer Cyclical,55.0,C-暂缓,10.0,7.363972,55.44,17.75,6.07,否,经营现金流3Y为负,19.86,17.75,6.07,-29.1,13.24,5.33,16.97,4.49,11.22,4.45,22.26,0.57,16.99,1.09,0.99,2.92,-0.79,17753789028.71
59,01128,1128.HK,Consumer Cyclical,54.9,C-暂缓,0.0,17.548387,26.49,72.54,nan,否,无,7.4,72.54,nan,nan,37.81,6.81,38.9,5.62,-12.07,4.08,110.76,-3.33,1.64,1.23,0.73,3.33,-0.02,7369391000.0
60,00914,0914.HK,Basic Materials,54.7,C-暂缓,0.0,10.700247,33.75,-14.49,-19.69,否,无,27.14,-14.49,-19.69,19.93,-19.67,-13.35,24.16,9.83,4.22,3.18,10.42,0.14,17.01,3.19,0.32,0.86,0.0,16643907685.0
61,00856,0856.HK,Technology,53.3,C-暂缓,0.0,9.307803,28.54,8.08,18.03,否,无,12.72,8.08,18.03,207.91,12.29,4.76,4.46,1.39,13.35,3.33,21.48,0.91,5.66,1.31,2.4,1.41,-0.49,1954632000.0
62,06060,6060.HK,Financial Services,53.0,C-暂缓,6.0,12.693051,52.07,16.26,nan,否,股数膨胀>2%,22.2,16.26,nan,nan,23.18,,nan,3.17,4.33,2.39,5.93,0.11,5.86,,0.76,2.26,4.66,3535832000.0
63,00010,0010.HK,Real Estate,52.5,C-暂缓,0.0,13.417416,23.03,-1.63,-20.42,否,无,17.54,-1.63,-20.42,10.91,-8.83,6.93,65.64,13.16,1.39,0.58,23.33,0.56,5.8,1.55,0.04,4.2,0.0,6062000000.0
64,01364,1364.HK,Consumer Cyclical,52.4,C-暂缓,29.0,12.857014,31.14,32.44,103.93,否,利润增长显著快于营收；ROE>40%；应收增速>营收；FCF/NI<70%,31.28,32.44,103.93,33.55,150.27,22.59,33.0,24.08,53.39,26.43,39.16,1.12,51.7,1.39,1.1,0.69,0.65,2408612000.0
65,01193,1193.HK,Utilities,52.3,C-暂缓,0.0,10.325885,31.57,1.19,-9.17,否,无,23.38,1.19,-9.17,14.75,-19.53,-5.47,17.82,3.63,8.03,2.64,17.7,0.55,11.79,0.54,0.73,0.93,-0.24,6575111000.0
66,03888,3888.HK,Communication Services,52.2,C-暂缓,10.0,10.213107,37.23,8.23,nan,否,经营现金流3Y为负,38.2,8.23,nan,-3.79,-2.89,-11.72,81.21,20.7,7.7,5.15,0.09,0.0,59.98,5.68,0.25,0.97,0.28,2291620000.0
67,01286,1286.HK,Industrials,51.4,C-暂缓,8.0,19.116883,37.63,5.38,7.66,否,FCF/NI<70%,11.8,5.38,7.66,14.55,5.56,-2.2,27.48,14.25,12.96,8.27,25.89,0.43,10.06,1.6,0.58,0.49,0.05,1258721000.0
68,06862,6862.HK,Consumer Cyclical,51.0,C-暂缓,23.0,13.529653,36.95,11.67,43.36,否,利润增长显著快于营收；ROE>40%；经营现金流3Y为负,17.86,11.67,43.36,-2.72,13.46,-1.93,26.15,9.37,40.44,18.05,26.87,0.59,25.4,1.33,1.93,0.97,-0.96,5664189000.0
69,02318,2318.HK,Financial Services,50.9,C-暂缓,0.0,6.947872,23.83,6.7,6.68,否,无,74.7,6.7,6.68,11.37,10.63,,nan,14.53,13.47,1.0,10.35,1.44,9.59,,0.07,4.82,-0.32,658632000000.0
70,01378,1378.HK,Basic Materials,50.0,C-暂缓,15.0,8.781974,43.67,7.22,37.53,否,利润增长显著快于营收；应收增速>营收,41.36,7.22,37.53,72.31,24.48,-0.57,25.56,13.94,17.07,9.54,29.56,0.55,10.49,2.12,0.68,1.23,1.58,38995459000.0
71,03330,3330.HK,Basic Materials,49.8,C-暂缓,21.0,15.105178,40.16,9.08,85.89,否,利润增长显著快于营收；FCF/NI<70%；股数膨胀>2%,31.2,9.08,85.89,9.4,-3.44,24.47,21.46,11.74,31.63,17.1,38.91,0.86,16.41,1.16,1.46,-0.25,14.19,725733000.0
72,01258,1258.HK,Basic Materials,49.6,C-暂缓,7.0,17.904948,24.2,-5.82,14.94,否,利润增长显著快于营收,19.05,-5.82,14.94,6.25,-45.84,-3.49,31.07,11.82,16.26,9.03,1.88,0.04,160.04,2.78,0.76,1.72,1.43,938657000.0
73,09901,9901.HK,Consumer Defensive,49.0,C-暂缓,8.0,18.518409,24.62,16.42,nan,否,应收增速>营收,51.05,16.42,nan,nan,26.97,42.55,55.45,7.59,10.15,4.85,10.3,0.22,1725.71,1.58,0.64,1.71,-2.35,896592000.0
74,01787,1787.HK,Basic Materials,48.9,C-暂缓,15.0,15.406472,64.15,27.51,56.03,否,利润增长显著快于营收；应收增速>营收,54.45,27.51,56.03,93.39,38.71,19.05,20.46,4.54,10.56,2.86,38.48,1.46,5.71,0.47,0.63,1.81,1.01,21492754843.56
75,01698,1698.HK,Communication Services,48.1,C-暂缓,15.0,10.418772,67.02,5.1,44.33,否,利润增长显著快于营收；应收增速>营收,104.0,5.1,44.33,11.0,13.49,43.07,44.18,33.6,13.77,11.46,3.72,0.05,109.83,2.22,0.34,0.82,-3.34,10231000000.0
76,03933,3933.HK,Healthcare,48.0,C-暂缓,14.0,6.710285,49.44,5.24,9.68,否,FCF/NI<70%；股数膨胀>2%,17.98,5.24,9.68,22.69,1.76,3.07,41.74,15.79,11.99,7.35,16.15,0.29,37.25,1.83,0.47,0.41,2.78,3749820000.0
77,02313,2313.HK,Consumer Cyclical,47.1,C-暂缓,8.0,9.873983,41.67,3.71,8.48,否,FCF/NI<70%,73.0,3.71,8.48,6.24,11.53,2.34,26.35,18.79,15.54,10.59,26.11,0.4,20.88,2.24,0.56,0.48,0.0,5549401000.0
78,02714,2714.HK,Consumer Defensive,46.7,C-暂缓,8.0,16.403062,36.02,4.91,5.29,否,应收增速>营收,50.7,4.91,5.29,9.31,49.38,-0.95,17.82,10.74,19.93,8.62,40.9,0.9,7.18,0.78,0.8,1.33,-0.06,30056186914.47
79,00921,0921.HK,Consumer Cyclical,46.6,C-暂缓,7.0,8.625347,19.36,5.86,30.46,否,利润增长显著快于营收,27.48,5.86,30.46,12.86,6.99,1.55,21.31,3.62,18.24,4.56,5.64,0.23,29.22,1.13,1.26,1.16,0.54,5796029180.51
80,00179,0179.HK,Consumer Cyclical,46.4,C-暂缓,0.0,10.194639,62.3,0.04,8.6,否,无,45.78,0.04,8.6,2.89,0.07,1.46,23.02,5.54,7.12,4.84,8.94,0.14,10.64,2.39,0.87,0.91,-0.07,471090000.0
81,00101,0101.HK,Real Estate,45.8,C-暂缓,6.0,21.037464,29.13,-1.3,-22.21,否,股数膨胀>2%,10.3,-1.3,-22.21,12.31,-8.9,6.95,65.6,18.15,1.34,0.81,24.17,0.4,5.76,1.51,0.04,3.11,3.97,5864000000.0
82,01428,1428.HK,Financial Services,45.6,C-暂缓,8.0,16.025316,62.5,4.57,2.6,否,FCF/NI<70%,16.88,4.57,2.6,nan,8.29,,88.05,66.47,30.86,7.76,51.4,2.27,5.85,1.27,0.12,-0.81,0.0,-540421000.0
83,00688,0688.HK,Real Estate,45.1,C-暂缓,0.0,10.29167,20.48,-2.31,-18.29,否,无,16.7,-2.31,-18.29,nan,-16.4,-0.32,15.51,7.55,3.27,1.39,27.05,0.64,36.05,2.46,0.18,1.3,-0.0,16733455000.0
84,03668,3668.HK,Energy,44.7,C-暂缓,0.0,18.833372,33.66,-18.33,-50.31,否,无,49.08,-18.33,-50.31,,-10.37,14.01,76.15,7.68,4.87,3.58,0.69,0.01,18.8,2.32,0.47,1.15,0.0,
85,80700,80700.HK,,44.3,C-暂缓,0.0,14.5738,39.92,,,否,无,625.5,,,,,,nan,nan,nan,,,,,,,nan,,
86,00012,0012.HK,Real Estate,44.1,C-暂缓,0.0,24.140351,22.83,0.25,-15.1,否,无,35.66,0.25,-15.1,3.45,-57.73,-6.45,31.91,21.96,1.75,1.06,14.78,0.25,3.81,3.1,0.05,2.18,0.0,12325000000.0
87,00144,0144.HK,Industrials,43.9,C-暂缓,0.0,9.73342,16.13,2.1,-6.71,否,无,17.85,2.1,-6.71,2.56,3.17,15.98,48.71,48.7,5.89,3.75,20.44,0.33,7.03,0.72,0.08,1.32,1.59,9472000000.0
88,09987,9987.HK,Consumer Cyclical,43.6,C-暂缓,7.0,15.671677,25.35,7.23,28.09,否,利润增长显著快于营收,451.2,7.23,28.09,1.23,14.07,1.65,17.28,7.87,17.27,8.48,21.72,0.44,,1.05,1.08,0.9,-5.45,1466000000.0
89,06690,6690.HK,Consumer Cyclical,43.4,C-暂缓,8.0,9.152142,24.47,7.47,9.95,否,应收增速>营收,28.2,7.47,9.95,8.68,19.43,4.05,26.66,6.47,16.47,6.67,15.32,0.38,9.76,1.07,1.03,0.88,-0.25,26002941969.92
90,02788,2788.HK,Basic Materials,42.6,C-暂缓,23.0,9.579649,52.36,11.46,45.79,否,利润增长显著快于营收；应收增速>营收；FCF/NI<70%,33.96,11.46,45.79,38.12,43.93,11.42,24.76,14.62,28.38,11.7,44.41,1.31,6.24,0.71,0.8,0.48,1.23,4925305000.0
91,81810,81810.HK,,42.4,C-暂缓,0.0,16.865889,57.85,,,否,无,54.9,,,,,,nan,nan,nan,,,,,,,nan,,
92,89988,89988.HK,,42.1,C-暂缓,0.0,17.216383,44.28,,,否,无,170.5,,,,,,nan,nan,nan,,,,,,,nan,,
93,82020,82020.HK,,42.1,C-暂缓,0.0,13.48014,31.59,,,否,无,95.75,,,,,,nan,nan,nan,,,,,,,nan,,
94,82331,82331.HK,,42.1,C-暂缓,0.0,10.915493,39.45,,,否,无,20.48,,,,,,nan,nan,nan,,,,,,,nan,,
95,01199,1199.HK,Industrials,41.8,C-暂缓,6.0,8.097824,21.8,5.01,0.6,否,股数膨胀>2%,6.56,5.01,0.6,9.36,4.82,5.81,24.9,18.7,4.87,2.52,32.47,0.65,3.89,0.88,0.13,1.32,4.8,611634000.0
96,01157,1157.HK,Industrials,41.7,C-暂缓,15.0,13.343527,29.33,7.77,28.2,否,利润增长显著快于营收；FCF/NI<70%,10.67,7.77,28.2,26.21,7.39,13.04,28.04,9.32,8.44,3.78,25.25,0.58,10.85,1.72,0.41,0.05,-0.11,4873901652.93
97,06031,6031.HK,Industrials,41.5,C-暂缓,13.0,19.556413,25.33,3.53,25.14,否,利润增长显著快于营收；股数膨胀>2%,27.16,3.53,25.14,69.51,0.69,4.5,27.91,9.37,9.52,5.17,14.27,0.28,18.42,1.73,0.55,2.05,2.68,19975261000.0
98,03931,3931.HK,Industrials,41.5,C-暂缓,16.0,16.050096,57.61,29.65,28.74,否,应收增速>营收；FCF/NI<70%,39.3,29.65,28.74,68.89,53.65,-15.38,16.69,3.32,4.02,1.09,39.25,1.59,3.66,0.79,0.33,-3.51,0.0,10160086000.0
99,01776,1776.HK,Financial Services,41.5,C-暂缓,8.0,7.766469,19.67,12.11,20.0,否,FCF/NI<70%,21.4,12.11,20.0,nan,,,nan,40.19,8.78,1.58,26.19,1.64,,,0.04,-2.08,-0.07,-27780960722.97
100,01908,1908.HK,Real Estate,41.3,C-暂缓,14.0,8.265854,22.98,11.14,-9.55,否,应收增速>营收；股数膨胀>2%,19.19,11.14,-9.55,84.11,25.19,-5.1,13.89,2.67,8.67,0.94,21.92,1.92,22.23,1.65,0.35,5.92,7.11,21961699000.0
