代码,行业,最新价,流通市值_亿美元,PE_TTM,距52周高点跌幅_%,52周高点,营收5年CAGR_%,净利润5年CAGR_%,最新季度营收同比_%,最新季度净利润同比_%,营业利润占比_%,ROE_%,资产负债率_%,经营现金流_原始值,数据日期,待核验项,已在Watchlist
AXIA,Utilities,10.22,110.27,15.96052,24.52,13.54,6.6,21.74,,,,5.54,27.63,14509830000.0,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
BEAV,,64.47,59.84,20.931818,,,,,,,,nan,,,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
BPY,,18.59,132.27,9.869991,,,,,,,,nan,,,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
CVSA,Consumer Defensive,128.22,42.51,18.194057,17.94,156.26,10.44,39.16,,,,17.4,30.06,470422000.0,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
DOO,Consumer Cyclical,63.88,24.01,23.728097,21.99,81.89,-5.59,-30.37,,,,48.27,42.38,1212500000.0,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
FISV,,51.56,266.05,9.884132,63.28,140.42,6.11,11.21,,,,13.49,36.34,6062000000.0,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
HONA,Industrials,167.8,531.73,27.32899,43.6,297.5,12.34,-21.47,,,,21.19,1.53,3705000000.0,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
HTZZ,,32.62,90.18,27.334264,,,,,,,,nan,,,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
JBS,Consumer Defensive,13.12,40.94,12.606911,29.65,18.65,5.88,-12.26,,,,23.26,50.62,2931953000.0,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
MBGL,Technology,19.62,57.84,28.216574,24.54,26.0,8.56,-7.32,,,,1.22,1.91,485000000.0,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
MRP,Real Estate,29.76,44.94,10.378016,17.33,36.0,nan,nan,,,,6.49,22.81,3672821000.0,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
MZTI,Consumer Defensive,115.9,22.56,18.140318,39.31,190.96,4.43,23.16,,,,16.76,4.36,261496000.0,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
OTF,Financial Services,11.51,52.71,14.283711,27.24,15.82,149.84,235.95,,,,8.96,42.73,-915952000.0,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
PPLI,Communication Services,40.59,20.05,9.394233,16.0,48.32,-22.97,nan,,,,-2.2,20.0,61277000.0,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
SGI,Consumer Cyclical,64.25,118.22,25.593847,34.81,98.56,14.96,-5.54,,,,12.36,57.54,800100000.0,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
SNDK,Technology,1344.29,1938.19,18.22519,42.9,2354.39,9.93,nan,,,,-17.81,15.73,84000000.0,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
VG,Energy,13.72,69.56,10.292573,22.13,17.62,28.77,10.84,,,,37.52,65.3,6566000000.0,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
WSE,Technology,12.35,82.29,25.500723,29.31,17.47,46.67,131.92,,,,30.06,0.96,5814455929.725604,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
ANDE,Consumer Defensive,65.61,21.43,12.760535,20.09,82.11,-14.03,-9.95,,,,7.69,25.43,176998000.0,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
ANF,Consumer Cyclical,112.23,44.6,10.720779,15.69,133.11,12.51,464.64,,,,36.11,32.98,619142000.0,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
AOS,Industrials,62.59,66.35,17.440632,23.55,81.87,0.67,32.33,,,,29.4,6.11,616800000.0,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
AR,Energy,37.48,107.79,10.741597,18.08,45.75,-15.47,-30.28,,,,8.4,26.62,1630930000.0,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
ARIS,Basic Materials,17.75,35.89,12.957462,23.79,23.29,32.37,nan,,,,5.42,20.96,372974000.0,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
AROC,Energy,33.28,56.76,17.886895,21.19,42.23,20.78,93.77,,,,21.61,55.67,622107000.0,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
ASO,Consumer Cyclical,49.24,30.07,8.668221,21.15,62.445,-1.81,-15.66,,,,17.35,35.86,434798000.0,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
ASR,Industrials,274.72,38.06,14.49079,27.99,381.52,13.73,1.65,,,,26.55,39.89,12348613000.0,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
ATMU,Consumer Cyclical,49.8,40.32,19.082288,25.11,66.5,4.14,6.77,,,,54.8,45.3,202700000.0,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
AU,Basic Materials,97.92,480.54,13.128145,24.18,129.14,30.02,124.49,,,,32.58,15.13,4784000000.0,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
B,Basic Materials,41.23,652.26,10.888787,24.61,54.69,15.47,126.1,,,,18.8,10.1,7689000000.0,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
BABA,Consumer Cyclical,125.22,2823.71,19.629374,35.01,192.67,5.62,12.49,,,,9.76,14.75,76213000000.0,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
BAH,Industrials,78.4,92.68,12.328023,30.14,112.22,6.6,46.44,,,,77.01,57.91,1041000000.0,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
BANF,Financial Services,114.31,26.55,15.425805,17.63,138.77,7.4,7.61,,,,12.98,0.66,285278000.0,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
CDW,Technology,136.67,169.89,16.410779,20.33,171.55,-1.89,-1.45,,,,40.93,36.11,1205200000.0,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
CEG,Utilities,278.68,808.17,26.982836,32.47,412.7,1.47,nan,,,,15.97,15.71,4237000000.0,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
CF,Basic Materials,120.01,180.01,8.929775,15.46,141.96,-14.12,-24.24,,,,30.07,25.81,2752000000.0,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
CHKP,Technology,129.29,92.09,13.166776,38.63,210.66,5.37,9.87,,,,36.67,25.26,1199400000.0,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
CHRW,Industrials,146.7,167.2,28.004991,30.25,210.33,-13.05,-14.54,,,,31.81,27.59,914519000.0,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
CLX,Consumer Defensive,105.76,127.16,21.987526,17.95,128.9,-3.11,57.94,,,,652.22,70.82,612000000.0,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
CRH,Basic Materials,97.99,620.28,17.271526,25.51,131.55,4.6,-1.15,,,,15.54,33.78,5625000000.0,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
MGY,Energy,26.36,61.95,11.516811,19.54,32.76,-8.18,-28.61,,,,16.77,14.17,878639000.0,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
MIFF,,26.0,32.05,8.902347,,,,,,,,nan,,,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
MORN,Financial Services,197.51,37.2,18.792578,25.76,266.05,9.34,74.44,,,,30.62,35.13,589700000.0,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
NHI,Real Estate,70.73,33.9,20.41611,22.6,91.38,10.53,28.89,,,,9.34,41.61,236563000.0,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
NICE,Technology,98.56,57.75,14.228447,35.87,153.68,10.53,32.03,,,,15.79,1.74,716549000.0,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
NKE,Consumer Cyclical,40.51,463.43,19.290476,49.47,80.17,-3.24,-15.05,,,,20.91,28.72,2868000000.0,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
NMRK,Real Estate,14.82,22.53,18.525,25.28,19.835,6.78,14.86,,,,8.63,41.89,172001000.0,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
NOC,Industrials,577.32,818.14,18.32784,25.41,774.0,4.65,-5.12,,,,25.08,33.13,4757000000.0,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
NTES,Communication Services,124.11,418.25,16.170065,22.21,159.55,5.29,18.4,,,,21.06,3.04,50739800000.0,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
BCO,Industrials,113.96,46.3,26.381095,16.43,136.37,5.07,5.39,,,,71.91,62.9,639500000.0,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
BF.A,,28.4,88.89,18.562092,,,,,,,,nan,,,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
BF.B,,27.92,87.39,18.248366,,,,,,,,nan,,,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
BFAM,Consumer Cyclical,71.46,31.25,22.592133,42.49,124.25,13.24,33.79,,,,14.42,45.26,350726000.0,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
BG,Consumer Defensive,111.75,185.5,21.80179,17.14,134.87,1.51,-20.27,,,,5.13,35.61,844000000.0,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
BGC,Financial Services,10.76,38.74,26.970528,16.52,12.89,17.63,47.07,,,,15.93,45.17,394353000.0,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
BK,,137.16,938.17,17.015968,,,,,,,,nan,,,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
BR,Technology,169.27,191.28,17.632292,36.21,265.37,7.25,21.26,,,,39.58,39.32,1345600000.0,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
BRK.A,,764000.0,8848.65,15.161696,,,,,,,,nan,,,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
BRO,Financial Services,71.06,205.9,22.370414,27.71,98.3,17.38,16.19,,,,8.4,26.4,1450000000.0,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
BSX,Healthcare,51.42,743.94,20.83449,53.04,109.5,16.54,60.72,,,,11.96,26.19,4534000000.0,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
BTG,Basic Materials,5.21,63.93,9.29199,17.17,6.29,20.89,16.7,,,,11.18,10.18,895836000.0,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
BTI,Consumer Defensive,55.84,1042.53,14.480611,17.03,67.3,-2.53,5.21,,,,16.2,32.09,6342000000.0,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
AMKR,Technology,55.59,67.34,24.928251,42.5,96.68,-1.84,-21.26,,,,8.36,nan,1095606000.0,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
APP,Communication Services,303.76,777.63,23.351559,59.26,745.61,24.84,nan,,,,156.17,48.83,3971094000.0,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
BIRK,Consumer Cyclical,36.74,20.45,16.549132,31.37,53.53,19.06,23.02,,,,12.79,26.5,384300000.0,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
CNM,Industrials,46.06,77.84,19.524221,31.44,67.18,4.76,6.41,,,,22.08,40.05,650000000.0,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
COR,Healthcare,314.17,573.87,23.338855,16.78,377.54,10.43,-2.92,,,,103.06,10.0,3875120000.0,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
CPA,Industrials,135.86,38.21,8.920884,15.34,160.47,6.86,24.5,,,,24.2,35.01,1150436000.0,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
CPB,Consumer Defensive,22.6,42.49,11.084066,33.86,34.17,6.19,-7.35,,,,15.43,48.42,1131000000.0,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
CRM,Technology,193.32,1533.03,22.441048,28.16,269.11,9.82,229.74,,,,12.61,15.29,14996000000.0,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
CTRA,,32.56,244.83,15.00149,,,,,,,,nan,,,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
CTSH,Technology,58.2,247.35,12.536611,33.13,87.03,2.8,-0.88,,,,14.85,5.57,2883000000.0,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
CXT,Industrials,51.98,29.47,21.479339,24.67,69.0,7.33,-10.87,,,,11.58,38.82,241500000.0,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
USO,,127.3,21.42,10.206963,17.38,154.08,,,,,,nan,,,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
UTHR,Healthcare,511.72,196.09,18.309469,16.02,609.35,18.02,22.43,,,,18.81,3.81,1561200000.0,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
VICI,Real Estate,26.07,286.22,10.104651,23.13,33.915,15.49,35.42,,,,9.98,37.86,2509991000.0,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
VMI,Industrials,492.91,93.03,19.190499,15.84,585.71,-1.89,10.1,,,,20.5,27.47,456484000.0,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
WAL,Financial Services,82.62,85.23,9.318548,15.03,97.23,11.81,-2.87,,,,12.66,6.98,-2678900000.0,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
WPM,Basic Materials,134.88,611.25,29.921297,18.63,165.76,29.53,30.05,,,,16.93,0.09,1904981000.0,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
WSO,Industrials,309.41,110.93,26.513143,32.59,459.0,-0.16,-6.15,,,,17.87,10.85,569613000.0,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
WSO.B,,328.83,117.0,28.177378,,,,,,,,nan,,,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
YMM,Technology,9.27,72.4,16.117394,34.12,14.07,22.87,121.3,,,,11.01,0.08,4626880000.0,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
ZTS,Healthcare,73.54,275.89,12.042104,54.17,160.48,5.42,8.13,,,,80.25,59.73,2904000000.0,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
BSBR,Financial Services,5.75,429.59,16.763848,21.45,7.32,2.64,-3.68,,,,10.2,2.21,4992175000.0,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
BVN,Basic Materials,34.6,58.47,8.253561,22.54,44.67,28.05,9.08,,,,19.26,0.15,238347000.0,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
BXSL,Financial Services,24.41,43.21,19.2775,19.6,30.36,16.28,11.68,,,,9.02,55.13,-458657000.0,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
BZ,Communication Services,16.09,57.12,15.471228,36.3,25.26,22.38,194.36,,,,13.66,0.64,4552371000.0,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
CALM,Consumer Defensive,82.21,34.83,12.399698,30.0,117.45,-2.55,-25.24,,,,12.03,0.05,479753000.0,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
CBZ,Industrials,54.58,26.25,26.240385,18.83,67.24,25.0,3.1,,,,6.55,41.47,192485000.0,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
CCL,Consumer Cyclical,27.67,378.25,12.695252,18.69,34.03,29.81,nan,,,,22.47,54.16,6218000000.0,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
CDE,Basic Materials,18.8,192.7,15.798319,32.3,27.77,38.12,nan,,,,17.68,7.51,886879000.0,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
CHDN,Consumer Cyclical,88.53,57.89,15.03056,25.2,118.35,17.37,-4.48,,,,37.93,68.66,769800000.0,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
CHH,Consumer Cyclical,105.54,33.8,14.871188,15.19,124.44,4.43,3.66,,,,204.13,69.3,270447000.0,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
NYT,Communication Services,63.95,89.39,26.640516,26.58,87.1,6.96,25.53,,,,16.85,1.22,584489000.0,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
OBDC,Financial Services,11.67,57.47,20.344763,19.18,14.44,9.83,10.39,,,,8.48,54.11,1741520000.0,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
OTEX,Technology,23.95,55.73,9.282946,39.97,39.9,5.37,62.31,,,,16.02,45.57,1006817000.0,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
OTIS,Industrials,73.97,264.07,19.009838,21.78,94.565,1.79,3.37,,,,-25.67,79.89,1596000000.0,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
RELX,Industrials,34.55,505.47,20.869034,29.46,48.98,3.89,8.12,,,,87.28,49.24,2836000000.0,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
RITM,Real Estate,10.23,56.6,17.010055,19.7,12.74,-6.84,-10.63,,,,8.08,67.13,-1292051000.0,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
TEL,Technology,214.2,621.05,20.976389,15.19,252.56,1.97,-8.8,,,,14.64,23.2,4139000000.0,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
WHR,Consumer Cyclical,42.85,25.97,14.634563,55.63,96.57,-7.67,nan,,,,11.67,44.93,470000000.0,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
WING,Consumer Cyclical,112.08,28.6,26.61095,67.59,345.81,24.91,48.75,,,,-23.65,183.21,153065000.0,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
WMG,Communication Services,24.79,32.23,19.652237,30.01,35.42,4.25,-12.83,,,,56.41,46.88,678000000.0,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
WMS,Industrials,140.53,98.29,24.35053,21.63,179.315,-0.23,-5.61,,,,22.07,39.8,819054000.0,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
WYNN,Consumer Cyclical,102.97,76.22,24.683995,23.57,134.72,23.86,nan,,,,-118.82,92.89,1352653000.0,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
XP,Financial Services,15.44,60.52,8.115744,33.25,23.13,10.28,13.04,,,,21.96,26.28,12044826000.0,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
XYL,Industrials,121.93,263.37,29.010824,20.96,154.27,17.84,39.17,,,,8.34,11.7,1241000000.0,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
YUMC,Consumer Cyclical,47.9,156.54,17.618248,17.97,58.39,7.23,28.09,,,,17.27,21.72,1466000000.0,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
FUTU,Financial Services,105.16,63.35,11.62447,48.08,202.53,44.24,57.05,,,,28.34,7.65,40788133000.0,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
HII,Industrials,326.8,127.36,19.462009,28.96,460.0,5.35,1.47,,,,11.93,22.93,1196000000.0,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
