代码,行业,最新价,流通市值_亿美元,PE_TTM,距52周高点跌幅_%,52周高点,营收5年CAGR_%,净利润5年CAGR_%,最新季度营收同比_%,最新季度净利润同比_%,营业利润占比_%,ROE_%,资产负债率_%,经营现金流_原始值,数据日期,待核验项,已在Watchlist
AA,Basic Materials,51.22,134.54,10.617923,39.3,84.38,1.01,nan,,,,18.91,16.78,1185000000.0,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
AB,Financial Services,36.45,33.74,10.759265,17.37,44.11,2.89,3.03,,,,24.21,,352372000.0,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
ACM,Industrials,61.04,77.92,27.735873,54.96,135.52,7.07,21.84,,,,22.54,26.47,821602000.0,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
ADEA,Technology,28.11,30.05,25.788991,18.14,34.34,0.34,nan,,,,23.11,41.16,158086000.0,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
ADMA,Healthcare,9.78,20.59,13.964406,52.19,20.458,49.05,nan,,,,30.78,12.8,50396000.0,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
ADT,Industrials,7.31,41.69,10.156742,18.19,8.935,5.39,65.0,,,,15.77,48.61,1884163000.0,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
AEM,Basic Materials,185.18,939.17,15.854452,27.45,255.24,27.53,88.11,,,,18.03,0.93,6817113000.0,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
AEO,Consumer Cyclical,16.24,24.68,10.084363,42.94,28.46,3.59,15.33,,,,11.34,42.41,456182000.0,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
AFFS,,15.3,27.55,15.66307,,,,,,,,nan,,,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
AFFT,,16.0,28.81,16.379681,,,,,,,,nan,,,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
AG,Basic Materials,19.16,93.37,27.591411,40.2,32.04,26.37,nan,,,,5.97,6.58,526010000.0,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
AGCO,Industrials,101.55,58.94,13.926085,29.37,143.78,-7.29,-6.53,,,,17.0,21.49,988100000.0,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
AGI,Basic Materials,33.53,140.17,12.017921,39.49,55.41,30.11,187.95,,,,19.92,3.49,795300000.0,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
AGO,Financial Services,74.76,30.83,9.911218,19.09,92.4,14.43,59.48,,,,8.88,13.99,259000000.0,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
AKO.B,,31.0,24.02,15.536449,,,,,,,,nan,,,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
ALE,,67.9,39.27,23.831376,,,,,,,,nan,,,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
AMRZ,Basic Materials,46.37,228.6,21.324442,29.68,65.94,3.28,2.26,,,,8.94,26.16,2208000000.0,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
AMT,Real Estate,170.43,795.75,23.444393,20.65,214.79,3.34,12.73,,,,69.25,71.16,5464000000.0,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
AMTM,Industrials,22.52,34.21,27.09988,40.91,38.11,23.31,nan,,,,1.47,36.36,543000000.0,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
AMX,Communication Services,23.22,196.91,13.633882,18.41,28.46,3.77,2.83,,,,22.87,41.07,272399022000.0,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
AUGO,Basic Materials,77.53,30.92,21.717087,29.72,110.321,32.9,nan,,,,-29.86,27.05,305184000.0,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
