二筛排名,代码,Yahoo代码,行业,二筛总分,优先级,异常惩罚,PE_TTM,距52周高点跌幅_%,营收5年CAGR_%,净利润5年CAGR_%,已在Watchlist,量化警示,52周高点,营收3年CAGR_%,净利润3年CAGR_%,经营现金流3年CAGR_%,应收账款3年CAGR_%,库存3年CAGR_%,毛利率_%,净利率_%,ROE_%,ROA_%,资产负债率_%,长期债务权益比,利息保障倍数,流动比率,总资产周转率,FCF净利润转化率,股数3年CAGR_%,经营现金流_原始值
1,09992,9992.HK,Consumer Cyclical,98.6,A-优先三件套,0.0,13.758678,54.77,42.66,54.09,否,无,339.8,42.66,54.09,85.27,40.75,24.56,66.79,23.97,29.26,25.17,6.49,0.09,103.42,3.63,1.05,1.42,-1.19,4954220000.0
2,01318,1318.HK,Consumer Defensive,94.7,A-优先三件套,0.0,17.639693,54.87,40.29,50.66,否,无,112.0,40.29,50.66,45.66,28.08,20.09,84.22,23.84,25.8,24.07,1.38,0.02,693.14,5.2,1.01,0.84,1.37,1199426000.0
3,09636,9636.HK,Consumer Defensive,93.8,A-优先三件套,0.0,11.72009,66.83,22.85,26.02,否,无,84.05,22.85,26.02,51.31,1.64,nan,82.24,26.87,31.04,20.57,0.08,0.0,726.67,2.14,0.77,0.83,0.18,824247000.0
4,02097,2097.HK,Consumer Defensive,93.1,A-优先三件套,0.0,12.787116,53.28,35.21,43.39,否,无,499.6,35.21,43.39,35.44,25.14,33.58,31.14,17.54,24.08,23.28,0.61,0.01,1532.16,3.83,1.33,0.91,0.23,6039033000.0
5,02020,2020.HK,Consumer Cyclical,86.8,A-优先三件套,0.0,13.376045,29.54,14.35,21.42,否,无,106.3,14.35,21.42,20.01,15.73,12.7,62.0,16.94,20.66,11.47,25.56,0.48,26.75,1.79,0.68,1.35,0.69,20996000000.0
6,01415,1415.HK,Technology,86.1,A-优先三件套,0.0,11.892201,46.4,46.37,32.68,否,无,43.06,46.37,32.68,48.23,47.09,18.7,10.25,5.63,27.12,13.19,10.85,0.23,15.14,1.69,2.34,1.23,1.14,316306000.0
7,02259,2259.HK,Basic Materials,85.4,A-优先三件套,7.0,19.991912,44.66,43.6,105.82,否,利润增长显著快于营收,268.0,43.6,105.82,49.8,22.52,29.55,52.7,29.75,19.12,17.82,5.2,0.08,89.47,4.09,0.6,1.12,0.66,2402470000.0
8,01681,1681.HK,Healthcare,84.1,A-优先三件套,0.0,9.297121,29.41,13.46,16.44,否,无,19.35,13.46,16.44,8.54,15.47,-0.57,78.05,31.55,23.77,17.58,3.32,0.05,275.41,3.22,0.56,1.06,1.35,1211796000.0
9,01651,1651.HK,Industrials,82.8,A-优先三件套,0.0,14.71147,31.29,8.6,23.63,否,无,74.15,8.6,23.63,11.72,-12.05,-5.97,34.87,21.11,30.17,23.68,0.06,0.0,709.21,3.67,1.12,0.92,-1.07,1064555000.0
10,09985,9985.HK,Consumer Defensive,81.1,A-优先三件套,7.0,12.090825,40.62,15.96,111.19,否,利润增长显著快于营收,14.4,15.96,111.19,7.5,10.84,14.05,47.99,19.73,19.52,14.59,19.58,0.3,73.73,1.91,0.74,0.72,1.12,1494379000.0
11,00700,0700.HK,Communication Services,80.7,A-优先三件套,0.0,15.283313,33.91,10.67,6.1,否,无,683.0,10.67,6.1,27.54,3.17,-38.98,56.21,29.91,19.48,11.77,,,21.6,1.44,0.39,0.85,-1.9,303052000000.0
12,03606,3606.HK,Consumer Cyclical,80.7,A-优先三件套,8.0,15.213671,32.97,17.68,25.11,否,FCF/NI<70%,86.0,17.68,25.11,26.94,17.26,7.96,37.27,20.34,24.8,13.97,24.11,0.45,35.73,1.54,0.69,0.63,0.0,12055090552.0
13,02367,2367.HK,Consumer Defensive,79.4,A-优先三件套,8.0,16.138158,54.95,32.65,24.09,否,应收增速>营收,65.7,32.65,24.09,24.1,51.08,28.6,80.34,34.7,19.32,20.28,0.09,0.0,7783.46,11.27,0.58,0.71,1.94,1780622000.0
14,00027,0027.HK,Consumer Cyclical,78.1,A-优先三件套,0.0,14.52381,19.99,62.51,nan,否,无,44.22,62.51,nan,nan,1.91,1.59,55.95,21.68,12.84,10.98,2.04,0.02,69.55,1.56,0.51,1.01,0.08,14253563000.0
15,02400,2400.HK,Communication Services,77.6,A-优先三件套,6.0,11.452857,55.65,18.88,nan,否,ROE>40%,92.45,18.88,nan,nan,18.13,,73.82,26.64,40.28,33.58,2.34,0.03,257.13,3.97,1.26,0.91,1.26,1712603000.0
16,00780,0780.HK,Consumer Cyclical,77.4,A-优先三件套,0.0,10.892674,47.48,43.35,nan,否,无,25.42,43.35,nan,142.5,36.57,nan,66.29,12.23,10.51,5.95,12.89,0.24,12.76,1.38,0.49,1.58,1.62,4310911000.0
17,00425,0425.HK,Consumer Cyclical,77.4,A-优先三件套,0.0,10.318032,40.21,14.14,21.51,否,无,46.76,14.14,21.51,38.34,3.83,8.17,28.0,10.46,11.45,6.64,21.37,0.38,11.14,1.16,0.64,0.97,0.26,4912275000.0
18,09911,9911.HK,Technology,77.2,B-保留观察,13.0,10.895522,43.01,35.0,92.93,否,利润增长显著快于营收；股数膨胀>2%,14.09,35.0,92.93,66.94,35.64,nan,55.85,13.57,38.39,23.43,1.96,0.04,51.91,2.47,1.73,1.52,5.86,1454668000.0
19,00285,0285.HK,Technology,77.2,A-优先三件套,0.0,13.031085,49.29,18.75,23.68,否,无,46.7,18.75,23.68,46.57,-1.62,2.73,5.99,1.96,10.2,4.04,10.63,0.26,11.59,1.17,2.06,4.18,-0.11,18768443000.0
20,03355,3355.HK,Technology,77.0,A-优先三件套,8.0,21.616519,35.72,14.26,18.17,否,应收增速>营收,57.0,14.26,18.17,68.46,28.87,-10.46,54.46,20.28,27.85,16.03,16.08,0.29,25.37,1.81,0.79,1.22,0.0,816725000.0
21,06055,6055.HK,Consumer Defensive,76.0,A-优先三件套,0.0,16.802817,50.4,20.54,37.77,否,无,48.1,20.54,37.77,nan,-12.14,17.42,10.1,6.72,26.9,10.43,31.44,0.77,9.14,1.68,1.55,1.05,0.0,1035402000.0
22,09999,9999.HK,Communication Services,75.1,A-优先三件套,0.0,15.664423,22.02,5.29,18.4,否,无,248.0,5.29,18.4,22.34,2.18,-11.48,64.29,29.98,21.06,16.18,3.04,0.04,,3.45,0.54,1.44,-0.33,50739800000.0
