二筛排名,代码,Yahoo代码,行业,二筛总分,优先级,异常惩罚,PE_TTM,距52周高点跌幅_%,营收5年CAGR_%,净利润5年CAGR_%,已在Watchlist,量化警示,52周高点,营收3年CAGR_%,净利润3年CAGR_%,经营现金流3年CAGR_%,应收账款3年CAGR_%,库存3年CAGR_%,毛利率_%,净利率_%,ROE_%,ROA_%,资产负债率_%,长期债务权益比,利息保障倍数,流动比率,总资产周转率,FCF净利润转化率,股数3年CAGR_%,经营现金流_原始值
23,06618,6618.HK,Healthcare,73.1,A-优先三件套,7.0,16.816004,46.95,16.26,141.83,否,利润增长显著快于营收,71.7,16.26,141.83,19.88,-12.8,4.58,24.78,7.32,8.95,7.03,0.78,0.01,544.34,2.72,0.96,1.86,0.31,10173949000.0
24,03393,3393.HK,Industrials,72.3,A-优先三件套,7.0,14.232143,52.84,19.82,48.4,否,利润增长显著快于营收,33.8,19.82,48.4,17.7,20.84,9.98,35.71,10.51,16.97,6.35,14.27,0.4,17.37,1.65,0.6,0.73,0.15,1407697000.0
25,01913,1913.HK,Consumer Cyclical,71.6,B-保留观察,0.0,14.532689,20.69,10.82,22.35,否,无,52.0,10.82,22.35,13.76,12.17,11.67,80.32,14.9,18.34,8.74,43.75,1.04,12.55,1.38,0.59,1.22,0.0,1654258000.0
26,01024,1024.HK,Communication Services,70.8,B-保留观察,8.0,7.248973,63.67,14.88,nan,否,FCF/NI<70%,92.6,14.88,nan,222.7,8.93,,55.02,13.04,23.4,12.23,21.25,0.44,23.82,1.15,0.94,0.63,-0.01,26716000000.0
27,09961,9961.HK,Consumer Cyclical,69.8,B-保留观察,15.0,6.379225,41.01,46.04,187.37,否,利润增长显著快于营收；FCF/NI<70%,613.0,46.04,187.37,75.92,40.58,,80.58,53.35,19.48,13.06,11.82,0.18,46.76,1.55,0.24,0.41,0.18,14379000000.0
28,01209,1209.HK,Real Estate,69.6,B-保留观察,8.0,20.05225,20.51,14.47,21.62,否,应收增速>营收,51.15,14.47,21.62,29.23,23.16,18.79,35.54,22.02,25.67,13.64,7.62,0.14,49.25,1.43,0.62,0.98,0.0,4081187000.0
29,06066,6066.HK,Financial Services,69.3,B-保留观察,0.0,6.050375,26.83,15.45,7.87,否,无,15.43,15.45,7.87,20.72,-3.24,9.3,77.96,22.65,7.93,1.52,27.38,1.56,2.51,1.28,0.07,4.47,-0.0,42719709000.0
30,02883,2883.HK,Energy,68.5,B-保留观察,0.0,7.98501,36.67,12.14,17.66,否,无,11.74,12.14,17.66,17.84,1.8,-1.95,17.39,7.64,8.25,4.59,20.0,0.36,9.04,1.06,0.6,1.41,0.0,11289935638.0
31,01585,1585.HK,Consumer Cyclical,67.8,B-保留观察,0.0,8.966295,33.48,6.02,10.45,否,无,15.01,6.02,10.45,24.84,6.59,-0.73,19.11,7.87,27.83,10.66,7.05,0.2,78.87,0.9,1.36,1.79,0.91,5989810000.0
32,02618,2618.HK,Industrials,66.1,B-保留观察,0.0,8.744278,30.25,16.48,nan,否,无,16.76,16.48,nan,12.12,9.94,11.06,9.1,3.06,12.16,5.48,18.02,0.41,9.57,1.32,1.79,1.67,-2.27,18765124000.0
33,00175,0175.HK,Consumer Cyclical,66.1,B-保留观察,6.0,10.22454,27.63,32.63,47.42,否,股数膨胀>2%,25.62,32.63,47.42,43.44,-17.3,43.43,16.61,4.88,18.24,6.0,15.05,0.47,30.0,0.89,1.23,1.74,2.64,47274244000.0
34,02282,2282.HK,Consumer Cyclical,65.9,B-保留观察,6.0,8.518212,39.89,87.6,nan,否,ROE>40%,17.12,87.6,nan,nan,80.77,14.5,37.45,14.59,156.27,16.84,64.6,5.9,5.08,0.54,1.15,1.41,-0.04,8737668000.0
35,02899,2899.HK,Basic Materials,65.7,B-保留观察,7.0,13.932152,21.75,8.9,37.21,否,利润增长显著快于营收,46.98,8.9,37.21,38.04,5.55,12.12,27.73,14.83,27.91,11.4,32.13,0.89,22.76,1.14,0.77,0.86,0.33,75429516296.0
36,00325,0325.HK,Consumer Cyclical,65.3,B-保留观察,8.0,22.699575,36.76,107.61,nan,否,应收增速>营收,122.0,107.61,nan,nan,161.0,75.61,46.82,21.75,22.09,22.13,0.82,0.01,398.2,2.85,1.02,0.87,0.97,896927000.0
37,03898,3898.HK,Industrials,64.9,B-保留观察,8.0,9.242007,30.63,17.1,17.03,否,FCF/NI<70%,46.88,17.1,17.03,16.06,11.4,14.36,28.89,14.33,9.64,5.99,12.81,0.22,186.74,1.7,0.42,-0.01,-1.39,3361120915.0
38,01882,1882.HK,Industrials,64.1,B-保留观察,8.0,8.229971,24.24,12.94,13.38,否,FCF/NI<70%,26.2,12.94,13.38,25.02,15.25,11.52,32.7,18.62,14.32,9.87,9.12,0.14,49.3,2.0,0.53,0.67,0.0,3479819000.0
39,02018,2018.HK,Technology,62.7,B-保留观察,7.0,15.416024,23.29,15.55,45.16,否,利润增长显著快于营收,51.0,15.55,45.16,18.0,17.05,0.98,22.05,7.9,10.31,5.25,22.11,0.44,8.31,1.49,0.67,1.79,-1.61,7183014000.0
40,01133,1133.HK,Industrials,62.4,B-保留观察,13.0,12.092703,41.79,22.86,200.1,否,利润增长显著快于营收；股数膨胀>2%,28.88,22.86,200.1,48.66,-8.2,26.1,14.27,5.83,14.98,3.54,7.98,0.35,19.54,1.13,0.61,1.07,9.43,2284202514.81
41,00220,0220.HK,Consumer Defensive,62.2,B-保留观察,0.0,13.733313,18.23,3.92,18.82,否,无,9.82,3.92,18.82,31.93,-15.32,-0.73,33.2,6.46,15.07,8.57,4.41,0.08,129.55,0.93,1.33,1.07,0.0,3284365000.0
42,02096,2096.HK,Healthcare,62.0,B-保留观察,0.0,19.374675,19.1,6.93,13.02,否,无,15.08,6.93,13.02,14.14,10.02,24.59,81.61,17.38,14.29,10.21,8.06,0.13,16.81,2.21,0.59,0.86,-0.82,2013530000.0
43,02076,2076.HK,Communication Services,61.7,B-保留观察,21.0,14.967727,35.99,22.38,194.36,否,利润增长显著快于营收；应收增速>营收；股数膨胀>2%,97.8,22.38,194.36,65.57,49.78,nan,85.06,33.09,13.66,12.47,0.64,0.01,,4.66,0.38,1.62,2.46,4552371000.0
44,01928,1928.HK,Consumer Cyclical,61.6,B-保留观察,6.0,16.951034,35.64,66.76,nan,否,ROE>40%,22.5,66.76,nan,nan,31.14,17.73,58.22,12.04,63.95,8.24,67.14,5.07,3.78,0.85,0.68,1.74,0.0,2105000000.0
45,00631,0631.HK,Industrials,60.9,B-保留观察,8.0,12.980032,52.34,16.13,2.23,否,FCF/NI<70%,16.24,16.13,2.23,31.34,19.21,14.74,22.29,7.31,13.48,4.14,25.06,0.85,9.62,1.28,0.57,0.66,0.73,2457148000.0
46,01316,1316.HK,Consumer Cyclical,60.8,B-保留观察,0.0,13.345118,41.74,6.09,20.7,否,无,8.9,6.09,20.7,11.29,7.06,-1.59,11.41,2.23,4.83,2.81,2.31,0.04,70.75,1.56,1.26,1.4,0.0,404933000.0
47,09973,9973.HK,Consumer Cyclical,60.6,B-保留观察,8.0,7.040006,26.99,48.01,44.79,否,FCF/NI<70%,34.98,48.01,44.79,26.94,50.59,41.86,13.8,6.33,37.47,8.04,7.73,0.4,11.97,1.05,1.27,0.28,0.24,20130000000.0
48,02507,2507.HK,Industrials,59.2,B-保留观察,8.0,15.730511,36.36,14.85,16.39,否,FCF/NI<70%,73.0,14.85,16.39,3.19,20.98,26.73,35.23,10.25,15.71,9.84,2.11,0.03,48.8,1.63,0.96,0.25,0.01,145997000.0
49,02057,2057.HK,Industrials,58.9,B-保留观察,8.0,10.876293,18.97,11.54,10.07,否,FCF/NI<70%,205.6,11.54,10.07,1.4,3.49,0.09,24.99,18.49,13.68,9.9,12.61,0.17,45.46,1.49,0.54,0.65,-1.01,11968419000.0
50,02331,2331.HK,Consumer Cyclical,58.7,B-保留观察,0.0,10.922599,38.26,4.68,-10.27,否,无,23.42,4.68,-10.27,7.42,10.82,3.52,48.95,9.92,10.63,8.0,5.45,0.07,33.51,2.85,0.81,1.21,-1.09,4851532000.0
51,06656,6656.HK,Industrials,58.4,B-保留观察,14.0,24.686225,52.08,1142.49,nan,否,ROE>40%；FCF/NI<70%,669.0,1142.49,nan,nan,nan,1018.42,50.05,32.43,77.05,57.95,20.65,0.46,139.64,1.56,1.79,-0.2,0.0,-199990000.0
52,01910,1910.HK,Consumer Cyclical,58.3,B-保留观察,0.0,8.930723,40.4,6.7,-2.59,否,无,21.98,6.7,-2.59,22.16,7.98,-2.38,59.6,8.26,18.06,5.65,45.91,1.48,4.13,1.66,0.68,1.43,-1.22,506300000.0
53,02050,2050.HK,Industrials,57.8,C-暂缓,14.0,23.393383,42.9,13.26,16.44,否,FCF/NI<70%；股数膨胀>2%,46.48,13.26,16.44,26.59,12.13,9.17,28.78,13.1,12.8,9.47,8.2,0.13,37.03,2.19,0.72,0.48,5.43,5090762717.98
54,07618,7618.HK,Consumer Cyclical,56.8,C-暂缓,8.0,11.965812,26.62,19.22,nan,否,应收增速>营收,17.17,19.22,nan,1.89,63.0,40.72,17.4,9.66,20.64,13.65,0.04,0.0,17121.06,2.26,1.41,0.9,0.0,2089421000.0
55,06181,6181.HK,Consumer Cyclical,56.5,C-暂缓,27.0,11.200022,58.78,176.31,272.04,否,利润增长显著快于营收；ROE>40%；FCF/NI<70%；股数膨胀>2%,898.0,176.31,272.04,nan,133.73,170.92,37.63,17.83,43.87,35.29,31.36,0.6,46.98,2.08,1.98,-1.44,2.86,-6848198000.0
56,02611,2611.HK,Financial Services,56.4,C-暂缓,6.0,6.967407,20.4,21.35,34.19,否,股数膨胀>2%,18.53,21.35,34.19,16.94,,,nan,44.82,8.42,1.76,24.11,1.54,,,0.04,2.86,25.56,81138252377.0
57,09896,9896.HK,Consumer Cyclical,55.9,C-暂缓,8.0,11.393755,57.65,28.59,23.6,否,应收增速>营收,51.95,28.59,23.6,22.39,58.18,45.92,44.99,5.62,11.35,5.15,37.83,1.02,5.44,1.66,0.92,1.31,-1.27,2577891000.0
58,00914,0914.HK,Basic Materials,54.8,C-暂缓,0.0,10.082205,35.96,-14.49,-19.69,否,无,27.14,-14.49,-19.69,19.93,-19.67,-13.35,24.16,9.83,4.22,3.18,10.42,0.14,17.01,3.19,0.32,0.86,0.0,16643907685.0
59,01810,1810.HK,Technology,54.8,C-暂缓,15.0,19.354313,53.66,17.76,156.28,否,利润增长显著快于营收；FCF/NI<70%,59.9,17.76,156.28,nan,16.93,17.1,22.26,9.11,15.64,9.14,8.23,0.16,14.66,1.32,1.0,0.51,1.32,34142377000.0
60,00883,0883.HK,Energy,54.7,C-暂缓,0.0,8.073597,20.4,-2.69,-4.85,否,无,30.98,-2.69,-4.85,0.56,-4.62,-0.8,67.49,30.66,15.21,11.33,6.35,0.09,27.07,3.24,0.37,0.8,-0.03,209042000000.0
61,02333,2333.HK,Consumer Cyclical,54.6,C-暂缓,10.0,6.849678,57.48,17.75,6.07,否,经营现金流3Y为负,19.86,17.75,6.07,-29.1,13.24,5.33,16.97,4.49,11.22,4.45,22.26,0.57,16.99,1.09,0.99,2.92,-0.79,17753789028.71
62,00016,0016.HK,Real Estate,53.9,C-暂缓,0.0,16.424399,16.2,-4.1,-13.68,否,无,148.8,-4.1,-13.68,26.21,-35.44,1.66,45.05,26.64,3.14,2.35,15.85,0.21,6.83,4.01,0.09,1.04,0.0,24516000000.0
63,01208,1208.HK,Basic Materials,53.5,C-暂缓,14.0,13.333917,24.67,24.09,43.5,否,应收增速>营收；股数膨胀>2%,11.96,24.09,43.5,47.85,45.74,-1.52,51.52,8.19,12.86,3.36,24.96,0.96,6.98,0.86,0.41,3.16,9.76,2689500000.0
64,00856,0856.HK,Technology,53.0,C-暂缓,0.0,9.599631,26.3,8.08,18.03,否,无,12.72,8.08,18.03,207.91,12.29,4.76,4.46,1.39,13.35,3.33,21.48,0.91,5.66,1.31,2.4,1.41,-0.49,1954632000.0
65,00010,0010.HK,Real Estate,52.6,C-暂缓,0.0,12.302839,26.62,-1.63,-20.42,否,无,17.54,-1.63,-20.42,10.91,-8.83,6.93,65.64,13.16,1.39,0.58,23.33,0.56,5.8,1.55,0.04,4.2,0.0,6062000000.0
66,06060,6060.HK,Financial Services,52.4,C-暂缓,6.0,11.868546,52.1,16.26,nan,否,股数膨胀>2%,20.92,16.26,nan,nan,23.18,,nan,3.17,4.33,2.39,5.93,0.11,5.86,,0.76,2.26,4.66,3535832000.0
67,01193,1193.HK,Utilities,52.3,C-暂缓,0.0,10.390422,31.14,1.19,-9.17,否,无,23.38,1.19,-9.17,14.75,-19.53,-5.47,17.82,3.63,8.03,2.64,17.7,0.55,11.79,0.54,0.73,0.93,-0.24,6575111000.0
68,03888,3888.HK,Communication Services,52.2,C-暂缓,10.0,10.165964,37.07,8.23,nan,否,经营现金流3Y为负,38.2,8.23,nan,-3.79,-2.89,-11.72,81.21,20.7,7.7,5.15,0.09,0.0,59.98,5.68,0.25,0.97,0.28,2291620000.0
69,01128,1128.HK,Consumer Cyclical,52.1,C-暂缓,0.0,18.967742,20.54,72.54,nan,否,无,7.4,72.54,nan,nan,37.81,6.81,38.9,5.62,-12.07,4.08,110.76,-3.33,1.64,1.23,0.73,3.33,-0.02,7369391000.0
70,02318,2318.HK,Financial Services,51.5,C-暂缓,0.0,6.439299,27.58,6.7,6.68,否,无,74.7,6.7,6.68,11.37,10.63,,nan,14.53,13.47,1.0,10.35,1.44,9.59,,0.07,4.82,-0.32,658632000000.0
71,02328,2328.HK,Financial Services,51.2,C-暂缓,0.0,7.337754,21.61,7.83,11.45,否,无,19.81,7.83,11.45,0.26,-62.35,,nan,7.89,14.12,4.93,1.53,0.05,49.87,,0.62,0.98,0.0,43048000000.0
72,06862,6862.HK,Consumer Cyclical,50.4,C-暂缓,23.0,13.106412,36.0,11.67,43.36,否,利润增长显著快于营收；ROE>40%；经营现金流3Y为负,17.86,11.67,43.36,-2.72,13.46,-1.93,26.15,9.37,40.44,18.05,26.87,0.59,25.4,1.33,1.93,0.97,-0.96,5664189000.0
73,01258,1258.HK,Basic Materials,50.0,C-暂缓,7.0,17.620724,24.83,-5.82,14.94,否,利润增长显著快于营收,19.05,-5.82,14.94,6.25,-45.84,-3.49,31.07,11.82,16.26,9.03,1.88,0.04,160.04,2.78,0.76,1.72,1.43,938657000.0
74,01364,1364.HK,Consumer Cyclical,49.9,C-暂缓,29.0,14.721478,20.59,32.44,103.93,否,利润增长显著快于营收；ROE>40%；应收增速>营收；FCF/NI<70%,31.28,32.44,103.93,33.55,150.27,22.59,33.0,24.08,53.39,26.43,39.16,1.12,51.7,1.39,1.1,0.69,0.65,2408612000.0
75,01378,1378.HK,Basic Materials,49.4,C-暂缓,15.0,8.057006,45.84,7.22,37.53,否,利润增长显著快于营收；应收增速>营收,41.36,7.22,37.53,72.31,24.48,-0.57,25.56,13.94,17.07,9.54,29.56,0.55,10.49,2.12,0.68,1.23,1.58,38995459000.0
76,00177,0177.HK,Industrials,48.7,C-暂缓,8.0,8.670331,15.29,15.24,7.25,否,FCF/NI<70%,11.25,15.24,7.25,6.95,23.02,-10.13,30.07,22.64,11.08,4.93,29.99,0.7,8.28,0.59,0.22,-0.19,0.0,6761638748.35
77,01698,1698.HK,Communication Services,48.2,C-暂缓,15.0,10.527025,65.95,5.1,44.33,否,利润增长显著快于营收；应收增速>营收,103.2,5.1,44.33,11.0,13.49,43.07,44.18,33.6,13.77,11.46,3.72,0.05,109.83,2.22,0.34,0.82,-3.34,10231000000.0
78,03933,3933.HK,Healthcare,47.8,C-暂缓,14.0,6.387779,51.5,5.24,9.68,否,FCF/NI<70%；股数膨胀>2%,17.97,5.24,9.68,22.69,1.76,3.07,41.74,15.79,11.99,7.35,16.15,0.29,37.25,1.83,0.47,0.41,2.78,3749820000.0
79,00179,0179.HK,Consumer Cyclical,47.8,C-暂缓,0.0,11.858137,56.14,0.04,8.6,否,无,45.78,0.04,8.6,2.89,0.07,1.46,23.02,5.54,7.12,4.84,8.94,0.14,10.64,2.39,0.87,0.91,-0.07,471090000.0
80,01286,1286.HK,Industrials,47.6,C-暂缓,8.0,20.303453,27.16,5.38,7.66,否,FCF/NI<70%,11.8,5.38,7.66,14.55,5.56,-2.2,27.48,14.25,12.96,8.27,25.89,0.43,10.06,1.6,0.58,0.49,0.05,1258721000.0
81,00921,0921.HK,Consumer Cyclical,47.4,C-暂缓,7.0,9.293122,20.31,5.86,30.46,否,利润增长显著快于营收,27.48,5.86,30.46,12.86,6.99,1.55,21.31,3.62,18.24,4.56,5.64,0.23,29.22,1.13,1.26,1.16,0.54,5796029180.51
82,02313,2313.HK,Consumer Cyclical,46.6,C-暂缓,8.0,9.267931,42.63,3.71,8.48,否,FCF/NI<70%,73.0,3.71,8.48,6.24,11.53,2.34,26.35,18.79,15.54,10.59,26.11,0.4,20.88,2.24,0.56,0.48,0.0,5549401000.0
83,01787,1787.HK,Basic Materials,45.1,C-暂缓,15.0,19.952644,53.57,27.51,56.03,否,利润增长显著快于营收；应收增速>营收,54.45,27.51,56.03,93.39,38.71,19.05,20.46,4.54,10.56,2.86,38.48,1.46,5.71,0.47,0.63,1.81,1.01,21492754843.56
84,01766,1766.HK,Industrials,45.0,C-暂缓,0.0,9.654574,21.89,6.99,4.19,否,无,6.76,6.99,4.19,0.32,9.4,14.65,21.38,4.83,7.66,2.48,3.94,0.13,18.68,1.18,0.51,1.12,0.0,24185716000.0
85,03668,3668.HK,Energy,44.9,C-暂缓,0.0,18.717688,34.07,-18.33,-50.31,否,无,49.08,-18.33,-50.31,,-10.37,14.01,76.15,7.68,4.87,3.58,0.69,0.01,18.8,2.32,0.47,1.15,0.0,
86,00101,0101.HK,Real Estate,44.9,C-暂缓,6.0,22.188987,29.56,-1.3,-22.21,否,股数膨胀>2%,10.3,-1.3,-22.21,12.31,-8.9,6.95,65.6,18.15,1.34,0.81,24.17,0.4,5.76,1.51,0.04,3.11,3.97,5864000000.0
87,06031,6031.HK,Industrials,44.3,C-暂缓,13.0,18.052073,31.08,3.53,25.14,否,利润增长显著快于营收；股数膨胀>2%,27.16,3.53,25.14,69.51,0.69,4.5,27.91,9.37,9.52,5.17,14.27,0.28,18.42,1.73,0.55,2.05,2.68,19975261000.0
88,02714,2714.HK,Consumer Defensive,43.9,C-暂缓,8.0,17.822877,29.98,4.91,5.29,否,应收增速>营收,50.7,4.91,5.29,9.31,49.38,-0.95,17.82,10.74,19.93,8.62,40.9,0.9,7.18,0.78,0.8,1.33,-0.06,30056186914.47
89,00688,0688.HK,Real Estate,43.8,C-暂缓,0.0,10.464869,15.27,-2.31,-18.29,否,无,16.7,-2.31,-18.29,nan,-16.4,-0.32,15.51,7.55,3.27,1.39,27.05,0.64,36.05,2.46,0.18,1.3,-0.0,16733455000.0
90,80700,80700.HK,,43.4,C-暂缓,0.0,14.948513,38.03,,,否,无,625.5,,,,,,nan,nan,nan,,,,,,,nan,,
91,01428,1428.HK,Financial Services,43.3,C-暂缓,8.0,18.860759,55.86,4.57,2.6,否,FCF/NI<70%,16.88,4.57,2.6,nan,8.29,,88.05,66.47,30.86,7.76,51.4,2.27,5.85,1.27,0.12,-0.81,0.0,-540421000.0
92,06690,6690.HK,Consumer Cyclical,43.3,C-暂缓,8.0,9.070094,24.61,7.47,9.95,否,应收增速>营收,28.2,7.47,9.95,8.68,19.43,4.05,26.66,6.47,16.47,6.67,15.32,0.38,9.76,1.07,1.03,0.88,0.73,26002941969.92
93,00012,0012.HK,Real Estate,43.1,C-暂缓,0.0,24.719298,20.98,0.25,-15.1,否,无,35.66,0.25,-15.1,3.45,-57.73,-6.45,31.91,21.96,1.75,1.06,14.78,0.25,3.81,3.1,0.05,2.18,0.0,12325000000.0
94,03330,3330.HK,Basic Materials,42.7,C-暂缓,21.0,18.899676,25.13,9.08,85.89,否,利润增长显著快于营收；FCF/NI<70%；股数膨胀>2%,31.2,9.08,85.89,9.4,-3.44,24.47,21.46,11.74,31.63,17.1,38.91,0.86,16.41,1.16,1.46,-0.25,14.19,725733000.0
95,02285,2285.HK,Industrials,42.7,C-暂缓,8.0,12.101234,26.47,-6.47,-11.2,否,应收增速>营收,27.2,-6.47,-11.2,115.04,27.77,-9.28,32.92,6.0,9.59,5.09,15.21,0.28,14.23,2.18,0.85,1.6,1.4,229355000.0
96,86618,86618.HK,,42.5,C-暂缓,0.0,16.767573,48.74,,,否,无,63.75,,,,,,nan,nan,nan,,,,,,,nan,,
97,82020,82020.HK,,42.2,C-暂缓,0.0,13.212595,32.95,,,否,无,95.75,,,,,,nan,nan,nan,,,,,,,nan,,
98,82331,82331.HK,,42.1,C-暂缓,0.0,10.880282,39.65,,,否,无,20.48,,,,,,nan,nan,nan,,,,,,,nan,,
99,01157,1157.HK,Industrials,42.0,C-暂缓,15.0,12.109832,34.21,7.77,28.2,否,利润增长显著快于营收；FCF/NI<70%,10.67,7.77,28.2,26.21,7.39,13.04,28.04,9.32,8.44,3.78,25.25,0.58,10.85,1.72,0.41,0.05,-0.11,4873901652.93
100,01199,1199.HK,Industrials,41.7,C-暂缓,6.0,8.175276,21.04,5.01,0.6,否,股数膨胀>2%,6.56,5.01,0.6,9.36,4.82,5.81,24.9,18.7,4.87,2.52,32.47,0.65,3.89,0.88,0.13,1.32,4.8,611634000.0
