代码,TS代码,板块,简称,最新价,流通市值_亿,总市值_亿,PE_TTM,扣非PE,PB,PS_TTM,股息率_%,52周高点,距52周高点跌幅_%,已在Watchlist
600809,600809.SH,沪,山西汾酒,116.55,1421.87,1421.87,12.9481,12.9538,3.8408,3.8306,5.63,212.5,45.15,否
600817,600817.SH,沪,宇通重工,9.54,50.51,50.76,17.2742,23.6496,2.0676,1.5262,5.24,13.07,27.01,否
600820,600820.SH,沪,隧道股份,5.3,166.64,166.64,7.6412,8.3829,0.5247,0.3013,3.77,7.34,27.79,否
600826,600826.SH,沪,兰生股份,7.88,57.07,57.07,16.9292,23.1072,1.3708,3.4825,3.81,13.24,40.48,否
600827,600827.SH,沪,百联股份,7.46,119.69,133.1,10.8202,136.4426,0.6553,0.5521,2.01,10.37,28.06,否
600835,600835.SH,沪,上海机电,18.26,147.27,183.93,26.3773,32.1745,1.3144,0.952,0.88,33.8,45.98,否
600846,600846.SH,沪,同济科技,11.47,71.66,71.66,28.7305,29.544,1.6882,1.3673,1.15,18.37,37.56,否
600848,600848.SH,沪,上海临港,8.42,201.57,212.39,24.1106,37.6341,1.3053,2.7359,2.38,14.19,40.66,否
600861,600861.SH,沪,北京人力,12.9,73.03,73.03,8.6765,15.0318,1.0455,0.1597,8.01,22.5,42.67,否
600862,600862.SH,沪,中航高科,17.38,242.11,242.11,26.204,26.4234,3.1773,5.1648,1.28,28.5,39.02,否
600867,600867.SH,沪,通化东宝,8.11,158.84,158.84,12.8438,40.4944,2.3875,5.2191,3.69,10.67,23.99,否
600872,600872.SH,沪,中炬高新,18.37,141.63,142.24,20.4842,22.2417,2.717,3.0855,2.38,22.21,17.29,否
600873,600873.SH,沪,梅花生物,7.76,217.61,217.61,10.006,21.1598,1.3886,0.9006,5.51,13.24,41.39,否
600874,600874.SH,沪,创业环保,5.57,68.53,87.47,9.8953,11.0369,0.8569,1.8199,3.75,6.81,18.21,否
600875,600875.SH,沪,东方电气,26.23,593.68,907.13,21.2794,27.3772,2.0136,1.1405,2.02,45.38,42.2,否
600888,600888.SH,沪,新疆众和,10.25,159.19,159.19,20.0683,22.7867,1.2277,1.9958,1.27,17.28,40.68,否
600894,600894.SH,沪,广日股份,7.75,65.34,65.66,9.2297,9.9495,0.7674,0.8928,6.49,11.2,30.8,否
600897,600897.SH,沪,厦门空港,14.65,61.08,61.08,11.9884,13.255,1.2697,2.9427,2.59,22.44,34.71,否
600906,600906.SH,沪,财达证券,6.43,136.59,208.65,18.3226,18.3419,1.6354,5.9024,1.87,8.17,21.3,否
600909,600909.SH,沪,华安证券,8.17,410.48,410.48,20.3505,20.589,1.5924,8.9054,1.92,12.95,36.91,否
600918,600918.SH,沪,中泰证券,5.54,252.78,438.68,17.7177,18.6092,0.9835,3.2085,0.9,7.44,25.54,否
600927,600927.SH,沪,永安期货,12.88,186.82,186.82,22.3334,22.3088,1.4127,1714.7191,1.09,16.96,24.06,否
600938,600938.SH,沪,中国海油,33.86,1012.41,16093.64,12.9097,13.1495,1.9763,3.9499,3.38,44.54,23.98,否
