代码,TS代码,板块,简称,最新价,流通市值_亿,总市值_亿,PE_TTM,扣非PE,PB,PS_TTM,股息率_%,52周高点,距52周高点跌幅_%,已在Watchlist
603456,603456.SH,沪,九洲药业,16.6,146.36,146.36,24.7389,24.8335,1.6444,2.8077,1.2,22.25,25.39,否
603486,603486.SH,沪,科沃斯,61.15,350.61,354.27,17.48,22.639,3.716,1.7111,1.5,111.69,45.25,否
603507,603507.SH,沪,振江股份,23.04,54.44,55.05,27.3509,36.4165,2.1629,1.2171,1.0,49.77,53.71,否
603508,603508.SH,沪,思维列控,21.2,80.83,80.83,14.1744,14.3065,1.9612,5.1844,2.47,37.54,43.53,否
603515,603515.SH,沪,欧普照明,16.3,120.25,120.99,13.2905,15.4656,1.8569,1.7355,5.2,21.82,25.3,否
603529,603529.SH,沪,爱玛科技,21.27,180.96,183.83,11.306,11.9396,1.9526,0.7677,5.54,38.35,44.54,否
603556,603556.SH,沪,海兴电力,25.75,125.21,125.21,19.0634,21.8533,1.839,2.3929,3.08,43.28,40.5,否
603568,603568.SH,沪,伟明环保,14.6,299.07,299.07,17.405,18.7476,2.0483,5.5376,3.43,29.37,50.29,否
603583,603583.SH,沪,捷昌驱动,23.17,88.57,89.38,26.6686,29.3182,1.9492,2.2221,1.34,46.95,50.65,否
603587,603587.SH,沪,地素时尚,11.64,55.02,55.02,19.7594,22.328,1.5523,2.5405,3.43,14.02,16.98,否
603588,603588.SH,沪,高能环境,13.83,210.66,210.66,15.5188,16.0657,2.0208,1.1479,1.73,20.7,33.19,否
603589,603589.SH,沪,口子窖,18.94,113.28,113.28,28.9323,30.1346,1.0859,3.186,2.63,35.79,47.08,否
603596,603596.SH,沪,伯特利,25.12,225.49,225.49,17.2428,18.6575,2.8795,1.8712,1.02,59.4,57.71,否
603599,603599.SH,沪,广信股份,10.11,92.03,92.03,14.0878,17.8561,0.9184,2.658,2.18,16.65,39.28,否
603605,603605.SH,沪,珀莱雅,57.0,225.71,225.71,15.3109,15.7316,3.8352,2.1407,3.48,92.0,38.04,否
603606,603606.SH,沪,东方电缆,34.11,281.34,281.34,20.6379,20.819,3.3269,2.3041,1.36,73.94,53.87,否
603612,603612.SH,沪,索通发展,16.66,82.98,82.98,13.179,13.7311,1.3852,0.4191,0.72,36.35,54.17,否
603613,603613.SH,沪,国联股份,18.24,131.43,131.43,9.9081,10.3385,1.402,0.264,0.0,33.46,45.49,否
603658,603658.SH,沪,安图生物,34.6,197.71,197.71,19.1104,20.3007,2.3498,4.6822,3.79,42.75,19.06,否
603659,603659.SH,沪,璞泰来,24.18,518.46,518.46,18.8149,20.4197,2.4223,2.7669,0.93,37.66,35.79,否
603680,603680.SH,沪,今创集团,10.23,80.17,80.17,12.9024,12.8933,1.3928,1.8254,2.93,17.95,43.01,否
603693,603693.SH,沪,江苏新能,11.19,99.76,99.76,22.0085,23.2059,1.4151,4.9377,1.34,20.37,45.07,否
603699,603699.SH,沪,纽威股份,55.65,421.91,431.44,25.4138,25.6429,11.314,5.2231,2.61,67.17,17.15,否
603707,603707.SH,沪,健友股份,7.96,128.61,128.61,21.9526,26.573,1.8965,3.1879,1.25,12.27,35.13,否
603708,603708.SH,沪,家家悦,9.02,57.58,57.58,28.2358,31.9859,2.3575,0.3214,3.39,14.16,36.3,否
603713,603713.SH,沪,密尔克卫,66.27,115.34,115.34,17.583,19.3283,2.3792,0.8083,1.37,83.97,21.08,否
603733,603733.SH,沪,仙鹤股份,21.58,176.36,176.36,17.1684,19.1057,2.1367,1.4088,2.88,29.83,27.66,否
603737,603737.SH,沪,三棵树,25.29,223.91,223.91,28.8385,37.5794,7.5902,1.7449,1.87,58.37,56.67,否
603766,603766.SH,沪,隆鑫通用,13.86,284.62,284.62,18.1896,18.026,3.5047,1.4856,5.05,16.78,17.4,否
603786,603786.SH,沪,科博达,40.29,162.71,162.71,21.0015,21.4085,2.9487,2.295,1.54,109.23,63.11,否
603799,603799.SH,沪,华友钴业,40.59,766.18,768.58,11.1278,11.7944,1.5109,0.7733,1.23,82.17,50.6,否
603809,603809.SH,沪,豪能股份,8.9,81.91,81.91,29.1297,29.8324,2.2018,2.7941,1.69,18.12,50.88,否
603816,603816.SH,沪,顾家家居,24.83,202.58,229.86,13.0067,14.5508,1.9443,1.1393,4.93,37.59,33.95,否
603833,603833.SH,沪,欧派家居,32.07,194.26,194.26,10.5367,12.3504,1.0944,1.1817,7.72,62.93,49.04,否
603848,603848.SH,沪,好太太,13.03,52.43,52.43,23.9115,25.5554,2.0275,3.2378,1.53,34.29,62.0,否
603855,603855.SH,沪,华荣股份,16.03,53.79,54.1,15.5397,15.8317,2.8296,1.7461,6.18,23.26,31.08,否
603867,603867.SH,沪,新化股份,28.2,60.82,61.33,22.3431,23.9089,1.9588,1.9411,2.12,43.98,35.88,否
603868,603868.SH,沪,飞科电器,29.99,130.64,130.64,25.136,28.3515,3.9618,3.527,1.67,45.0,33.36,否
603871,603871.SH,沪,嘉友国际,12.72,174.01,174.01,14.417,14.586,2.8917,2.1712,3.14,16.55,23.14,否
603877,603877.SH,沪,太平鸟,12.5,58.67,58.74,29.624,57.3332,1.3393,0.9303,2.4,18.05,30.75,否
603883,603883.SH,沪,老百姓,13.2,100.17,100.17,25.3561,27.5485,1.5191,0.4496,3.11,20.03,34.1,否
603885,603885.SH,沪,吉祥航空,10.38,225.14,225.14,19.8335,20.5677,2.269,0.9893,1.88,15.97,35.0,否
603889,603889.SH,沪,新澳股份,5.54,52.19,52.59,10.539,10.8593,1.4789,1.0046,4.86,9.68,42.77,否
603890,603890.SH,沪,春秋电子,18.07,80.74,80.74,26.4449,31.1392,2.5144,1.743,1.11,32.58,44.54,否
603897,603897.SH,沪,长城科技,30.66,63.29,63.29,19.7833,19.6981,2.663,0.4558,4.57,60.6,49.41,否
603899,603899.SH,沪,晨光股份,22.21,203.4,203.4,15.301,18.5195,2.3335,0.8024,4.5,32.65,31.98,否
603929,603929.SH,沪,亚翔集成,166.99,356.29,356.29,29.1639,29.5202,14.922,6.1738,1.98,285.0,41.41,否
603969,603969.SH,沪,银龙股份,7.3,62.16,63.62,14.6282,14.7079,2.1496,1.9142,0.96,11.53,36.69,否
603977,603977.SH,沪,国泰集团,11.65,72.37,72.37,29.0579,33.7024,2.1427,3.0453,1.12,17.56,33.66,否
603979,603979.SH,沪,金诚信,75.1,468.47,468.47,18.6029,18.6687,4.2448,3.2315,0.88,89.77,16.34,否
603993,603993.SH,沪,洛阳钼业,18.62,3251.21,3983.62,14.3194,14.5978,4.4425,1.6113,2.05,28.78,35.3,否
603997,603997.SH,沪,继峰股份,11.58,147.33,147.33,22.1622,27.7471,2.679,0.5815,0.92,15.95,27.4,否
605007,605007.SH,沪,五洲特纸,15.09,71.61,71.79,20.3379,21.1973,1.9677,0.7433,1.06,17.98,16.07,否
605009,605009.SH,沪,豪悦护理,24.07,51.76,51.74,21.7994,22.4145,1.6215,1.3076,3.52,43.59,44.78,否
605020,605020.SH,沪,永和股份,32.33,162.6,165.15,20.5623,19.9536,2.7349,2.8016,2.16,51.0,36.61,否
605050,605050.SH,沪,福然德,10.33,50.91,50.91,13.7151,15.0881,1.1656,0.429,3.86,22.79,54.67,否
605056,605056.SH,沪,咸亨国际,14.19,57.24,58.09,22.0032,22.2452,3.3962,1.2104,2.75,30.65,53.7,否
605090,605090.SH,沪,九丰能源,35.68,251.86,252.11,16.0645,17.4686,2.051,1.2944,1.26,55.33,35.51,否
605098,605098.SH,沪,行动教育,55.0,65.59,65.59,18.2073,21.2546,6.2853,7.326,4.9,69.8,21.2,否
605099,605099.SH,沪,共创草坪,33.88,136.24,136.42,19.1492,19.6195,4.523,3.9985,2.45,55.88,39.37,否
605116,605116.SH,沪,奥锐特,19.95,81.03,81.03,20.5816,21.197,3.1626,4.8098,1.69,35.58,43.93,否
605183,605183.SH,沪,确成股份,14.39,59.35,59.75,13.631,13.299,1.6499,2.6721,2.77,23.92,39.84,否
605277,605277.SH,沪,新亚电子,14.72,56.85,57.23,26.2772,26.4044,3.4126,1.4166,1.19,31.5,53.27,否
605305,605305.SH,沪,中际联合,37.19,79.04,79.04,14.0978,14.9566,2.6494,3.9514,2.02,49.77,25.28,否
605319,605319.SH,沪,无锡振华,24.13,84.01,84.48,18.0096,18.0323,2.9368,2.7438,1.86,38.43,37.21,否
605333,605333.SH,沪,沪光股份,17.57,81.53,81.53,19.488,20.5265,2.4299,0.9501,1.14,39.88,55.94,否
605499,605499.SH,沪,东鹏饮料,120.03,811.42,881.26,17.9581,19.5345,4.525,3.9025,4.1,316.98,62.13,否
605507,605507.SH,沪,国邦医药,15.58,121.89,121.89,17.2503,18.6098,1.4512,1.9892,2.75,29.98,48.03,否
605599,605599.SH,沪,菜百股份,16.86,131.13,131.13,10.8217,10.9443,2.9455,0.3761,4.63,28.35,40.53,否
688016,688016.SH,科,心脉医疗,92.46,113.97,113.97,19.3649,21.4791,2.7816,8.2069,2.44,124.3,25.62,否
688029,688029.SH,科,南微医学,74.14,139.27,139.27,25.0552,26.086,3.4341,4.1718,2.01,101.61,27.03,否
688036,688036.SH,科,传音控股,57.81,665.5,665.5,21.1859,26.0497,3.1444,0.925,2.94,104.9,44.89,否
688050,688050.SH,科,爱博医疗,40.48,78.3,78.3,29.5609,30.3994,2.7938,5.1388,0.79,83.83,51.71,否
688076,688076.SH,科,ST诺泰,27.33,86.59,86.59,27.9972,25.5249,2.874,4.4859,1.28,50.86,46.26,否
688093,688093.SH,科,世华科技,25.34,71.05,71.05,17.8913,18.6077,2.5497,6.6386,2.75,45.47,44.27,否
688100,688100.SH,科,威胜信息,25.66,126.17,126.17,22.389,23.1503,3.5044,4.714,1.16,48.87,47.49,否
688117,688117.SH,科,圣诺生物,25.79,56.83,56.83,27.8337,27.0978,4.9676,6.2367,0.97,47.97,46.24,否
688128,688128.SH,科,中国电研,21.95,88.79,88.79,16.3809,18.0859,2.5483,1.8443,2.51,38.29,42.67,否
688155,688155.SH,科,先惠技术,60.02,76.44,76.44,17.1404,17.6979,3.1842,2.1516,1.65,107.77,44.31,否
688169,688169.SH,科,石头科技,116.46,302.27,302.27,21.3014,27.249,2.1323,1.5506,0.45,222.1,47.56,否
688187,688187.SH,科,时代电气,47.6,413.6,633.41,15.3097,16.0181,1.4937,2.1429,2.39,69.27,31.28,否
688208,688208.SH,科,道通科技,25.06,167.95,167.95,18.0389,19.384,4.7693,3.3335,4.26,42.75,41.38,否
688219,688219.SH,科,会通股份,10.36,56.94,56.94,28.9194,31.9743,1.941,0.8021,1.44,15.36,32.55,否
688332,688332.SH,科,中科蓝讯,91.12,162.64,162.64,9.22,72.4802,2.8559,8.4045,1.48,173.0,47.33,否
688334,688334.SH,科,西高院,17.94,56.0,56.79,22.2558,24.2356,1.9037,6.3868,2.5,28.73,37.56,否
688336,688336.SH,科,三生国健,47.65,427.05,427.05,13.8639,14.8884,5.0218,9.6557,0.74,96.6,50.67,否
688349,688349.SH,科,三一重能,14.0,219.27,223.07,20.5997,30.5013,1.6033,0.7645,2.03,33.52,58.23,否
688472,688472.SH,科,阿特斯,10.47,381.44,381.44,25.6354,32.4076,1.6384,0.9831,0.93,24.28,56.88,否
688513,688513.SH,科,苑东生物,45.56,80.43,80.43,29.0103,40.6449,2.7419,6.0208,1.06,80.48,43.39,否
688525,688525.SH,科,佰维存储,238.96,1126.86,1126.86,28.5316,29.5194,13.1476,6.7992,0.09,517.0,53.78,否
688526,688526.SH,科,科前生物,13.09,61.02,61.02,15.6563,18.5191,1.52,6.5462,4.89,20.39,35.8,否
688550,688550.SH,科,瑞联新材,38.79,68.3,68.3,25.0859,26.4481,2.0389,4.0304,2.6,62.9,38.33,否
688566,688566.SH,科,吉贝尔,26.28,52.85,52.85,20.8011,25.1251,2.1584,5.3347,1.97,44.68,41.18,否
688578,688578.SH,科,艾力斯,116.5,524.25,524.25,19.5714,21.1131,6.1953,8.5475,1.03,138.3,15.76,否
688612,688612.SH,科,威迈斯,33.18,85.17,139.09,24.2756,26.452,3.8688,2.2256,1.98,42.26,21.49,否
688778,688778.SH,科,厦钨新能,45.88,231.55,231.55,24.6567,25.65,2.4347,0.8629,1.31,102.58,55.27,否
688779,688779.SH,科,五矿新能,8.16,157.42,157.42,24.8898,24.4172,2.1518,1.1049,0.51,12.78,36.15,否
688789,688789.SH,科,宏华数科,46.23,83.33,83.33,18.0563,20.0738,2.3749,3.8008,1.92,90.0,48.63,否
688799,688799.SH,科,华纳药厂,43.65,58.33,58.33,26.048,46.7994,2.8428,3.9083,0.41,66.88,34.73,否
688819,688819.SH,科,天能股份,21.78,211.72,211.72,16.9899,23.4527,1.275,0.4674,2.52,37.44,41.83,否
920029,920029.BJ,北,开发科技,34.5,69.47,71.39,12.8154,13.1259,2.005,2.606,3.11,108.99,68.35,否
920185,920185.BJ,北,贝特瑞,20.4,228.37,232.19,27.0168,34.3164,1.8501,1.297,1.46,39.88,48.85,否
920186,920186.BJ,北,中科仪,73.4,85.93,164.3,16.4475,124.3886,4.7096,12.0545,0.21,127.0,42.2,否
920599,920599.BJ,北,同力股份,17.0,59.6,78.63,9.3515,9.4497,2.2503,1.2335,4.07,25.92,34.41,否
920982,920982.BJ,北,锦波生物,121.65,67.47,139.98,22.4303,23.3507,7.0752,8.7252,1.23,345.53,64.79,否
