二筛排名,代码,行业,二筛总分,优先级,异常惩罚,PE_TTM,距52周高点跌幅_%,营收5年CAGR_%,净利润5年CAGR_%,已在Watchlist,量化警示,52周高点,营收3年CAGR_%,净利润3年CAGR_%,经营现金流3年CAGR_%,应收账款3年CAGR_%,库存3年CAGR_%,毛利率_%,净利率_%,ROE_%,ROA_%,资产负债率_%,长期债务权益比,利息保障倍数,流动比率,总资产周转率,FCF净利润转化率,股数3年CAGR_%,经营现金流_原始值
1,INTU,Technology,89.9,A-优先三件套,0.0,22.168596,48.99,13.95,23.26,否,无,705.08,13.95,23.26,16.86,5.92,,79.57,20.55,19.63,11.2,17.96,0.34,20.57,1.36,0.55,1.57,-0.33,6207000000.0
2,FUTU,Financial Services,85.7,A-优先三件套,0.0,12.095374,45.8,44.24,57.05,否,无,202.53,44.24,57.05,127.26,41.2,,87.12,49.62,28.34,5.86,7.65,0.44,48.14,1.19,0.12,3.59,0.12,40788133000.0
3,SGHC,Consumer Cyclical,84.7,A-优先三件套,0.0,18.30493,15.01,17.2,3.7,否,无,15.86,17.2,3.7,26.25,-23.33,107.56,52.8,9.73,27.02,18.37,6.39,0.1,33.36,1.94,1.89,1.11,0.53,360000000.0
4,OGC,Basic Materials,80.3,A-优先三件套,7.0,8.006127,30.52,25.08,68.0,否,利润增长显著快于营收,43.33,25.08,68.0,38.72,-20.09,14.03,46.35,33.21,27.73,21.89,1.54,0.02,71.39,1.45,0.66,0.86,-1.37,984200000.0
5,CDE,Basic Materials,77.8,A-优先三件套,6.0,17.588235,24.16,38.12,nan,否,股数膨胀>2%,27.77,38.12,nan,225.93,42.36,30.37,44.47,28.3,17.68,16.75,7.51,0.11,24.85,2.47,0.59,1.14,29.49,886879000.0
6,NTES,Communication Services,76.0,A-优先三件套,0.0,16.579169,24.13,5.29,18.4,否,无,159.55,5.29,18.4,22.34,2.18,-11.48,64.29,29.98,21.06,16.18,3.04,0.04,,3.45,0.54,1.44,-0.33,50739800000.0
7,BSX,Healthcare,75.2,A-优先三件套,7.0,21.073548,53.9,16.54,60.72,否,利润增长显著快于营收,109.5,16.54,60.72,43.76,14.1,16.38,69.01,14.44,11.96,6.98,26.19,0.47,10.7,1.62,0.48,1.17,1.14,4534000000.0
8,AEM,Basic Materials,74.4,B-保留观察,13.0,17.784247,18.71,27.53,88.11,否,利润增长显著快于营收；股数膨胀>2%,255.24,27.53,88.11,48.15,29.64,12.0,58.13,37.47,18.03,13.84,0.93,0.01,201.46,2.02,0.37,0.96,3.09,6817113000.0
9,B,Basic Materials,73.6,A-优先三件套,7.0,11.629948,16.59,15.47,126.1,否,利润增长显著快于营收,54.69,15.47,126.1,30.23,9.97,5.11,51.26,29.45,18.8,10.07,10.1,0.2,25.59,2.92,0.34,0.77,-1.54,7689000000.0
10,HONA,Industrials,73.4,A-优先三件套,0.0,27.747557,42.55,12.34,-21.47,否,无,297.5,12.34,-21.47,11.43,6.79,10.85,34.84,10.23,21.19,10.31,1.53,0.03,3.88,1.28,1.01,1.8,0.0,3705000000.0
