二筛排名,代码,行业,二筛总分,优先级,异常惩罚,PE_TTM,距52周高点跌幅_%,营收5年CAGR_%,净利润5年CAGR_%,已在Watchlist,量化警示,52周高点,营收3年CAGR_%,净利润3年CAGR_%,经营现金流3年CAGR_%,应收账款3年CAGR_%,库存3年CAGR_%,毛利率_%,净利率_%,ROE_%,ROA_%,资产负债率_%,长期债务权益比,利息保障倍数,流动比率,总资产周转率,FCF净利润转化率,股数3年CAGR_%,经营现金流_原始值
1,INTU,Technology,91.0,A-优先三件套,0.0,20.4708,53.61,13.95,23.26,否,无,721.54,13.95,23.26,16.86,5.92,,79.57,20.55,19.63,11.2,17.96,0.34,20.57,1.36,0.55,1.57,-0.33,6207000000.0
2,UTHR,Healthcare,85.9,A-优先三件套,0.0,18.309469,16.02,18.02,22.43,否,无,609.35,18.02,22.43,24.84,16.69,21.53,87.92,41.94,18.81,17.51,3.81,0.04,88.89,6.6,0.42,0.78,-1.76,1561200000.0
3,SGHC,Consumer Cyclical,85.9,A-优先三件套,0.0,17.818097,19.23,17.2,3.7,否,无,15.86,17.2,3.7,26.25,-23.33,107.56,52.8,9.73,27.02,18.37,6.39,0.1,33.36,1.94,1.89,1.11,0.53,360000000.0
4,DOCS,Healthcare,85.7,A-优先三件套,0.0,29.659538,67.34,15.45,20.23,否,无,76.51,15.45,20.23,22.04,10.59,,89.09,30.4,20.62,16.42,0.91,0.01,,6.09,0.54,1.62,-1.91,326458000.0
5,FUTU,Financial Services,85.3,A-优先三件套,0.0,11.62447,48.08,44.24,57.05,否,无,202.53,44.24,57.05,127.26,41.2,,87.12,49.62,28.34,5.86,7.65,0.44,48.14,1.19,0.12,3.59,0.12,40788133000.0
6,DECK,Consumer Cyclical,85.0,A-优先三件套,6.0,12.856714,27.3,14.69,25.6,否,ROE>40%,125.45,14.69,25.6,30.05,1.89,-2.95,57.7,18.71,40.97,28.22,10.17,0.15,525.25,3.54,1.51,1.07,-3.76,1181955000.0
7,KGC,Basic Materials,82.7,A-优先三件套,0.0,10.448669,29.74,26.84,nan,否,无,39.11,26.84,nan,52.99,nan,8.52,52.7,33.9,27.87,20.54,5.95,0.09,40.06,2.35,0.61,1.07,-0.61,3760500000.0
8,PEGA,Technology,80.5,A-优先三件套,6.0,17.446461,53.96,9.83,nan,否,ROE>40%,68.1,9.83,nan,182.81,1.23,,75.86,22.54,49.97,23.14,4.66,0.1,219.39,1.33,1.03,1.25,1.09,505227000.0
9,HTHT,Consumer Cyclical,79.3,A-优先三件套,0.0,18.03244,27.17,22.22,nan,否,无,56.64,22.22,nan,74.98,-13.39,-6.62,39.39,20.07,39.68,7.98,55.68,2.82,22.67,0.91,0.4,1.48,-0.44,8379000000.0
10,LOPE,Consumer Defensive,79.2,A-优先三件套,0.0,17.202779,36.31,6.67,5.39,否,无,223.04,6.67,5.39,7.39,2.87,,53.19,19.54,28.94,21.5,10.82,0.14,75830.25,3.65,1.1,1.1,-4.1,273491000.0
11,CDE,Basic Materials,78.8,A-优先三件套,6.0,15.798319,32.3,38.12,nan,否,股数膨胀>2%,27.77,38.12,nan,225.93,42.36,30.37,44.47,28.3,17.68,16.75,7.51,0.11,24.85,2.47,0.59,1.14,29.49,886879000.0
12,PAAS,Basic Materials,77.3,A-优先三件套,6.0,16.45224,25.16,34.28,nan,否,股数膨胀>2%,69.99,34.28,nan,247.38,19.31,7.63,38.82,27.02,13.98,11.54,8.75,0.12,23.51,2.69,0.43,1.04,26.04,1333000000.0
13,AEM,Basic Materials,75.5,B-保留观察,13.0,15.854452,27.45,27.53,88.11,否,利润增长显著快于营收；股数膨胀>2%,255.24,27.53,88.11,48.15,29.64,12.0,58.13,37.47,18.03,13.84,0.93,0.01,201.46,2.02,0.37,0.96,3.09,6817113000.0
14,BSX,Healthcare,75.4,A-优先三件套,7.0,20.83449,53.04,16.54,60.72,否,利润增长显著快于营收,109.5,16.54,60.72,43.76,14.1,16.38,69.01,14.44,11.96,6.98,26.19,0.47,10.7,1.62,0.48,1.17,1.14,4534000000.0
15,B,Basic Materials,75.3,A-优先三件套,7.0,10.888787,24.61,15.47,126.1,否,利润增长显著快于营收,54.69,15.47,126.1,30.23,9.97,5.11,51.26,29.45,18.8,10.07,10.1,0.2,25.59,2.92,0.34,0.77,-1.54,7689000000.0
16,NTES,Communication Services,75.2,A-优先三件套,0.0,16.170065,22.21,5.29,18.4,否,无,159.55,5.29,18.4,22.34,2.18,-11.48,64.29,29.98,21.06,16.18,3.04,0.04,,3.45,0.54,1.44,-0.33,50739800000.0
17,BR,Technology,74.9,A-优先三件套,0.0,17.632292,36.21,7.25,21.26,否,无,265.37,7.25,21.26,17.79,5.06,,31.78,15.04,39.58,12.86,39.32,1.24,13.93,1.24,0.85,1.1,-1.15,1345600000.0
18,SPOT,Communication Services,73.7,A-优先三件套,6.0,26.912377,34.57,13.59,nan,否,股数膨胀>2%,748.3,13.59,nan,299.5,2.21,,31.98,12.87,26.56,16.37,13.03,0.23,72.74,1.72,1.27,1.3,2.12,2933000000.0
19,HONA,Industrials,73.6,A-优先三件套,0.0,27.32899,43.6,12.34,-21.47,否,无,297.5,12.34,-21.47,11.43,6.79,10.85,34.84,10.23,21.19,10.31,1.53,0.03,3.88,1.28,1.01,1.8,0.0,3705000000.0
20,LRN,Consumer Defensive,72.9,A-优先三件套,7.0,11.007003,54.09,11.08,38.66,否,利润增长显著快于营收,171.17,11.08,38.66,28.77,12.76,1.37,37.75,13.43,20.72,14.3,22.42,0.33,38.46,5.94,1.06,1.05,-1.2,433814000.0
21,WSE,Technology,72.6,A-优先三件套,7.0,25.500723,29.31,46.67,131.92,否,利润增长显著快于营收,17.47,46.67,131.92,12.15,11.23,,72.41,23.07,30.06,2.45,0.96,0.13,37.68,1.08,0.11,10.7,-0.46,5814455929.73
22,SEZL,Financial Services,71.3,B-保留观察,12.0,27.584314,35.91,53.06,nan,否,ROE>40%；股数膨胀>2%,195.71,53.06,nan,191.07,11.97,,70.06,29.57,78.4,38.11,35.18,0.83,11.83,3.92,1.29,1.56,83.8,209907000.0
23,INFY,Technology,70.3,B-保留观察,0.0,15.158005,59.07,3.44,3.58,否,无,30.0,3.44,3.58,12.29,6.29,,30.16,16.44,33.85,19.57,5.88,0.1,96.87,1.98,1.19,1.13,-0.73,4039000000.0
24,MZTI,Consumer Defensive,70.2,B-保留观察,0.0,18.140318,39.31,4.43,23.16,否,无,190.96,4.43,23.16,36.95,-10.91,5.37,23.87,8.77,16.76,13.49,4.36,0.06,,2.38,1.54,1.22,0.02,261496000.0
25,IAG,Basic Materials,70.0,B-保留观察,6.0,9.1326,27.34,43.83,nan,否,股数膨胀>2%,24.87,43.83,nan,40.87,nan,23.55,42.28,23.29,15.85,11.84,13.02,0.18,10.24,1.75,0.51,1.27,7.26,1142600000.0
26,CHKP,Technology,69.9,B-保留观察,0.0,13.166776,38.63,5.37,9.87,否,无,210.66,5.37,9.87,2.97,6.09,,86.72,38.78,36.67,15.59,25.26,0.68,473.55,2.05,0.4,1.11,-4.37,1199400000.0
27,DAVE,Technology,69.7,B-保留观察,12.0,20.266725,31.0,39.34,nan,否,ROE>40%；股数膨胀>2%,458.25,39.34,nan,nan,41.84,,86.69,35.34,55.53,49.79,15.43,0.21,24.86,3.83,1.41,1.45,4.72,290023000.0
28,PLNT,Consumer Cyclical,69.7,B-保留观察,0.0,16.419724,57.76,12.23,30.14,否,无,114.26,12.23,30.14,20.32,15.06,12.91,51.94,16.55,-45.38,7.1,93.49,-6.01,3.85,2.11,0.43,1.16,-1.21,418421000.0
29,MKTX,Financial Services,69.3,B-保留观察,0.0,19.241256,17.03,5.62,-0.48,否,无,195.97,5.62,-0.48,9.73,8.78,,59.42,29.14,21.53,13.24,14.73,0.25,247.8,2.77,0.45,1.31,-1.69,382139000.0
30,NICE,Technology,69.2,B-保留观察,7.0,14.228447,35.87,10.53,32.03,否,利润增长显著快于营收,153.68,10.53,32.03,14.31,12.48,,66.41,20.78,15.79,11.77,1.74,0.02,,1.55,0.57,1.02,-1.71,716549000.0
31,MORN,Financial Services,68.9,B-保留观察,7.0,18.792578,25.76,9.34,74.44,否,利润增长显著快于营收,266.05,9.34,74.44,25.57,8.23,,61.03,15.3,30.62,10.48,35.13,1.03,13.47,0.99,0.69,1.18,-2.2,589700000.0
32,PATH,Technology,68.5,B-保留观察,0.0,25.23411,23.08,15.01,nan,否,无,19.84,15.01,nan,nan,9.27,,83.17,17.53,13.56,9.34,2.56,0.04,,2.48,0.53,1.25,-1.19,371208000.0
33,ITRI,Technology,68.0,B-保留观察,0.0,17.109286,27.74,9.65,nan,否,无,142.0,9.65,nan,154.94,11.1,2.03,37.69,12.72,17.54,8.45,34.08,0.74,16.25,1.8,0.66,1.27,-0.19,405952000.0
34,LULU,Consumer Cyclical,67.6,B-保留观察,8.0,9.747645,46.51,11.03,22.7,否,FCF/NI<70%,225.98,11.03,22.7,18.36,12.78,5.52,56.6,14.22,31.83,19.67,21.27,0.36,,2.26,1.38,0.58,-2.92,1602477000.0
35,DUOL,Technology,67.3,B-保留观察,14.0,16.052754,63.77,41.08,nan,否,应收增速>营收；股数膨胀>2%,371.63,41.08,nan,93.35,51.61,,72.23,39.91,30.74,25.14,4.71,0.07,,2.61,0.63,0.87,4.93,387823000.0
36,BRO,Financial Services,67.1,B-保留观察,6.0,22.370414,27.71,17.38,16.19,否,股数膨胀>2%,98.3,17.38,16.19,18.07,12.26,,49.07,18.29,8.4,4.43,26.4,0.63,5.48,1.04,0.24,1.31,5.86,1450000000.0
37,TMDX,Healthcare,66.9,B-保留观察,12.0,21.662156,44.22,86.42,nan,否,ROE>40%；股数膨胀>2%,156.0,86.42,nan,nan,45.06,33.37,59.92,31.43,40.22,20.33,48.6,1.1,8.8,7.14,0.65,0.7,2.16,192840000.0
38,TRI,Industrials,66.5,B-保留观察,0.0,27.131148,42.99,4.1,3.93,否,无,180.0,4.1,3.93,11.45,2.23,-7.44,75.8,20.09,12.61,8.26,13.22,0.2,11.57,0.64,0.41,1.34,-1.02,2651000000.0
39,PDD,Consumer Cyclical,66.5,B-保留观察,14.0,9.515939,36.13,49.0,45.85,否,应收增速>营收；股数膨胀>2%,139.41,49.0,45.85,30.15,105.62,nan,56.28,22.66,23.67,17.24,0.85,0.01,,2.43,0.76,1.08,2.56,106938690000.0
40,HURN,Industrials,66.4,B-保留观察,0.0,22.589994,19.53,13.6,11.61,否,无,186.78,13.6,11.61,31.32,8.05,,31.81,6.18,19.87,7.32,35.92,1.04,,1.17,1.18,1.55,-4.58,193394000.0
41,LVS,Consumer Cyclical,66.1,B-保留观察,6.0,17.717272,35.16,46.86,-3.88,否,ROE>40%,70.45,46.86,-3.88,nan,40.59,18.0,49.79,12.5,102.33,7.64,72.01,9.93,3.97,1.14,0.61,1.09,-4.05,3023000000.0
42,BIRK,Consumer Cyclical,66.0,B-保留观察,8.0,16.549132,31.37,19.06,23.02,否,应收增速>营收,53.53,19.06,23.02,17.96,33.26,9.56,59.11,16.61,12.79,7.09,26.5,0.48,7.22,2.81,0.43,0.86,-0.7,384300000.0
43,NYT,Communication Services,65.6,B-保留观察,0.0,26.640516,26.58,6.96,25.53,否,无,87.1,6.96,25.53,57.12,10.16,,50.81,12.18,16.85,11.78,1.22,0.02,387.68,1.54,0.97,1.6,-0.66,584489000.0
44,HMY,Basic Materials,65.6,B-保留观察,8.0,12.774103,23.79,19.97,nan,否,应收增速>营收,26.06,19.97,nan,50.34,41.82,13.07,23.05,13.99,21.06,14.59,3.8,0.06,15.79,1.56,1.04,0.84,0.28,15650000000.0
45,APP,Communication Services,64.7,B-保留观察,14.0,23.351559,59.26,24.84,nan,否,ROE>40%；应收增速>营收,745.61,24.84,nan,112.68,37.31,,87.86,60.83,156.17,50.79,48.83,1.66,20.09,3.32,0.83,1.18,-3.28,3971094000.0
46,SAP,Technology,64.7,B-保留观察,7.0,26.7586,27.44,7.63,46.36,否,利润增长显著快于营收,281.37,7.63,46.36,17.48,0.05,,72.86,19.46,16.06,9.9,10.63,0.17,21.87,1.16,0.51,1.18,0.01,9156000000.0
47,AGI,Basic Materials,64.6,B-保留观察,21.0,12.017921,39.49,30.11,187.95,否,利润增长显著快于营收；FCF/NI<70%；股数膨胀>2%,55.41,30.11,187.95,38.63,,-1.27,55.25,48.97,19.92,15.12,3.49,0.05,103.8,2.0,0.31,0.31,2.16,795300000.0
48,PNR,Industrials,64.4,B-保留观察,0.0,16.524138,42.28,0.44,10.78,否,无,113.95,0.44,10.78,30.9,8.2,-7.14,40.48,15.66,16.9,9.82,25.71,0.46,11.9,1.61,0.63,1.14,-0.27,814800000.0
49,AU,Basic Materials,64.1,B-保留观察,21.0,13.128145,24.18,30.02,124.49,否,利润增长显著快于营收；应收增速>营收；股数膨胀>2%,129.14,30.02,124.49,38.42,82.72,11.65,49.24,26.65,32.58,18.62,15.13,0.28,20.89,2.87,0.7,1.27,6.45,4784000000.0
50,SFM,Consumer Defensive,64.0,B-保留观察,8.0,16.578346,43.47,11.2,26.1,否,应收增速>营收,152.25,11.2,26.1,24.47,59.39,11.21,38.8,5.95,37.32,13.43,46.73,1.39,390.36,0.93,2.26,0.89,-2.99,715998000.0
51,MC,Financial Services,63.8,B-保留观察,12.0,23.090592,15.27,15.47,15.73,否,ROE>40%；股数膨胀>2%,78.22,15.47,15.73,159.46,19.78,,32.95,15.36,41.0,14.94,15.35,0.47,,0.78,0.97,2.32,4.69,576297000.0
52,BVN,Basic Materials,63.7,B-保留观察,8.0,8.253561,22.54,28.05,9.08,否,FCF/NI<70%,44.67,28.05,9.08,nan,33.88,-5.03,45.18,45.17,19.26,14.13,0.15,0.0,17.57,2.01,0.31,0.13,0.0,238347000.0
53,BTG,Basic Materials,63.3,B-保留观察,6.0,9.29199,17.17,20.89,16.7,否,股数膨胀>2%,6.29,20.89,16.7,14.56,nan,23.62,50.01,13.13,11.18,7.52,10.18,0.17,26.91,1.06,0.57,2.23,7.65,895836000.0
54,ZTS,Healthcare,62.9,B-保留观察,6.0,12.042104,54.17,5.42,8.13,否,ROE>40%,160.48,5.42,8.13,14.95,9.38,1.19,71.84,28.23,80.25,18.0,59.73,2.77,16.14,3.03,0.64,0.85,-2.88,2904000000.0
55,AOS,Industrials,62.8,B-保留观察,7.0,17.440632,23.55,0.67,32.33,否,利润增长显著快于营收,81.87,0.67,32.33,16.37,0.06,-2.45,38.83,14.26,29.4,17.11,6.11,0.1,53.97,1.5,1.2,1.0,-2.87,616800000.0
56,LOGI,Technology,62.4,B-保留观察,7.0,18.962863,20.35,2.17,24.95,否,利润增长显著快于营收,129.66,2.17,24.95,24.77,-7.07,-10.48,43.2,14.69,32.16,19.25,2.29,0.04,,2.22,1.31,1.37,-3.43,1037207000.0
57,ANF,Consumer Cyclical,61.8,B-保留观察,7.0,10.720779,15.69,12.51,464.64,否,利润增长显著快于营收,133.11,12.51,464.64,nan,11.98,5.94,61.47,9.63,36.11,14.82,32.98,0.83,304.48,1.49,1.54,0.75,-3.21,619142000.0
58,CRM,Technology,61.7,B-保留观察,7.0,22.441048,28.16,9.82,229.74,否,利润增长显著快于营收,269.11,9.82,229.74,28.24,10.06,,77.68,17.96,12.61,6.93,15.29,0.29,,0.76,0.39,1.93,-1.8,14996000000.0
59,BZ,Communication Services,60.9,B-保留观察,21.0,15.471228,36.3,22.38,194.36,否,利润增长显著快于营收；应收增速>营收；股数膨胀>2%,25.26,22.38,194.36,65.57,49.78,nan,85.06,33.09,13.66,12.47,0.64,0.01,,4.66,0.38,1.62,2.46,4552371000.0
60,ARIS,Basic Materials,60.6,B-保留观察,6.0,12.957462,23.79,32.37,nan,否,股数膨胀>2%,23.29,32.37,nan,69.26,-43.05,28.29,49.61,8.45,5.42,3.48,20.96,0.36,6.36,1.76,0.41,1.65,14.74,372974000.0
61,RELX,Industrials,60.6,B-保留观察,6.0,20.869034,29.46,3.89,8.12,否,ROE>40%,48.98,3.89,8.12,5.71,1.38,0.22,66.29,21.53,87.28,13.82,49.24,3.07,11.07,0.49,0.64,1.12,-1.6,2836000000.0
62,AXIA,Utilities,60.1,B-保留观察,0.0,15.96052,24.52,6.6,21.74,否,无,13.54,6.6,21.74,40.82,5.16,-0.53,87.8,15.89,5.54,2.3,27.63,0.65,0.16,1.68,0.14,1.83,-0.77,14509830000.0
63,CVSA,Consumer Defensive,60.1,B-保留观察,7.0,18.194057,17.94,10.44,39.16,否,利润增长显著快于营收,156.26,10.44,39.16,34.83,18.17,,57.34,12.87,17.4,8.73,30.06,0.63,9.81,1.09,0.68,1.56,-7.0,470422000.0
64,PAC,Industrials,59.7,B-保留观察,14.0,20.145272,28.44,14.78,2.0,否,ROE>40%；FCF/NI<70%,300.41,14.78,2.0,13.38,13.81,,57.14,23.1,42.57,11.27,60.24,2.36,4.23,0.91,0.49,0.61,0.0,18249740000.0
65,VICI,Real Estate,59.5,B-保留观察,6.0,10.104651,23.13,15.49,35.42,否,股数膨胀>2%,33.91,15.49,35.42,8.9,-38.52,,99.33,69.28,9.98,6.03,37.86,0.64,4.34,26.68,0.09,0.9,3.53,2509991000.0
66,NOC,Industrials,59.3,B-保留观察,0.0,18.32784,25.41,4.65,-5.12,否,无,774.0,4.65,-5.12,17.92,-3.1,10.2,19.81,9.97,25.08,8.3,33.13,1.02,8.62,1.1,0.83,0.79,-2.49,4757000000.0
67,LTM,Industrials,59.2,B-保留观察,6.0,9.657459,25.53,15.07,2.92,否,ROE>40%,70.42,15.07,2.92,,11.08,-1.36,29.16,10.23,108.5,8.88,45.85,6.01,3.61,0.6,0.87,1.27,-1.74,
68,BFAM,Consumer Cyclical,59.1,B-保留观察,7.0,22.592133,42.49,13.24,33.79,否,利润增长显著快于营收,124.25,13.24,33.79,23.0,10.62,,23.77,6.58,14.42,4.99,45.26,1.31,7.03,0.52,0.76,1.34,-1.12,350726000.0
69,YMM,Technology,58.2,B-保留观察,15.0,16.117394,34.12,22.87,121.3,否,利润增长显著快于营收；应收增速>营收,14.07,22.87,121.3,nan,79.39,,63.02,35.29,11.01,10.3,0.08,0.0,,8.09,0.29,1.02,-0.71,4626880000.0
70,HII,Industrials,57.6,C-暂缓,0.0,19.462009,28.96,5.35,1.47,否,无,460.0,5.35,1.47,16.01,-18.92,6.17,12.7,4.85,11.93,4.86,22.93,0.58,8.4,1.13,1.0,1.31,-0.55,1196000000.0
