代码,行业,最新价,流通市值_亿美元,PE_TTM,距52周高点跌幅_%,52周高点,营收5年CAGR_%,净利润5年CAGR_%,最新季度营收同比_%,最新季度净利润同比_%,营业利润占比_%,ROE_%,资产负债率_%,经营现金流_原始值,数据日期,待核验项
TIMB,Wireless Telecommunication Services,22.05,105.4,12.72,21.86,28.22,9.05,18.52,20.07,2.44,146.05,17.72,57.75,13440069000.0,2026-07-17,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长
SKHY,待识别,152.31,8811.13,22.01,21.81,194.8,24.95,55.27,405.48,397.47,93.54,61.17,26.23,53373126000000.0,2026-07-17,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长
FIVE,Specialty Stores,197.71,106.8,24.93,21.43,251.63,19.41,23.79,203.35,199.06,95.22,21.13,54.25,586428000.0,2026-07-17,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长
EME,Construction & Engineering,750.04,330.9,25.16,21.21,951.96,14.07,57.12,23.04,26.93,91.67,39.23,59.32,1302063000.0,2026-07-17,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长
SPGI,Financial Exchanges & Data,457.38,1349.27,28.93,21.01,579.05,15.56,13.83,13.17,27.98,103.82,13.94,40.44,5651000000.0,2026-07-17,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长
ENSG,Health Care Facilities,172.89,97.43,28.16,20.69,218.0,16.05,15.07,23.16,24.16,93.35,16.92,57.77,564270000.0,2026-07-17,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长
JKHY,Transaction & Payment Processing Services,153.84,108.53,21.49,20.45,193.39,6.96,8.97,21.68,20.8,97.04,24.89,28.69,641504000.0,2026-07-17,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长
AZN,Pharmacy,169.29,2613.84,25.5,20.41,212.71,17.15,26.19,18.4,5.62,115.24,23.48,58.44,14575000000.0,2026-07-17,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长
NXPI,Semiconductors,270.66,681.18,25.89,20.38,339.95,7.33,107.93,19.4,128.98,125.88,25.81,58.42,2820000000.0,2026-07-17,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长
GMED,Health Care Equipment,80.91,90.4,18.86,20.21,101.3975,30.08,39.37,64.84,64.72,99.21,13.3,13.0,753447000.0,2026-07-17,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长
DCI,Industrial Machinery,91.11,105.08,24.56,19.26,112.84,7.41,7.39,7.45,15.05,114.53,27.78,49.89,418800000.0,2026-07-17,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长
SBS,Water Utilities,5.79,136.73,12.25,19.1,7.157,16.44,54.11,19.16,18.01,107.59,21.23,62.45,8361115000.0,2026-07-17,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长
NTES,Interactive Home Entertainment,130.33,453.55,16.98,18.31,159.55,8.86,22.85,21.22,3.62,87.77,22.13,26.81,50739800000.0,2026-07-17,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长
CVCO,Homebuilding,585.49,44.44,24.42,17.88,713.005,15.16,19.98,56.57,50.0,93.41,17.58,24.99,267491000.0,2026-07-17,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长
MSA,Office Services & Supplies,173.39,62.75,23.39,17.01,208.92,6.82,17.59,14.51,19.57,115.26,22.83,47.14,363867000.0,2026-07-17,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长
MLI,Industrial Machinery,58.97,127.09,15.45,16.89,70.95,11.75,40.55,43.43,51.82,87.63,28.3,14.75,755444000.0,2026-07-17,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长
META,Interactive Media & Services,664.54,14500.26,24.17,16.54,796.25,18.51,15.71,30.29,60.86,96.91,32.93,38.35,115800000000.0,2026-07-17,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长
LECO,Industrial Machinery,259.31,141.34,26.75,16.35,310.0,9.78,20.36,19.37,15.1,105.19,37.77,61.25,661173000.0,2026-07-17,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长
MWA,Industrial Machinery,25.94,40.22,19.65,16.32,31.0,8.2,21.63,14.5,22.38,107.67,21.33,44.87,219300000.0,2026-07-17,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长
