二筛排名,代码,行业,二筛总分,优先级,异常惩罚,PE_TTM,距52周高点跌幅_%,营收5年CAGR_%,净利润5年CAGR_%,已在Watchlist,量化警示,52周高点,营收3年CAGR_%,净利润3年CAGR_%,经营现金流3年CAGR_%,应收账款3年CAGR_%,库存3年CAGR_%,毛利率_%,净利率_%,ROE_%,ROA_%,资产负债率_%,长期债务权益比,利息保障倍数,流动比率,总资产周转率,FCF净利润转化率,股数3年CAGR_%,经营现金流_原始值
1,UTHR,Healthcare,85.7,A-优先三件套,0.0,18.443287,15.41,18.02,22.43,否,无,609.35,18.02,22.43,24.84,16.69,21.53,87.92,41.94,18.81,17.51,3.81,0.04,88.89,6.6,0.42,0.78,-1.76,1561200000.0
2,FUTU,Financial Services,85.5,A-优先三件套,0.0,12.389746,38.65,44.24,57.05,否,无,202.53,44.24,57.05,127.26,41.2,,87.12,49.62,28.34,5.86,7.65,0.44,48.14,1.19,0.12,3.59,0.12,40788133000.0
3,LOPE,Consumer Defensive,78.4,A-优先三件套,0.0,18.308378,32.21,6.67,5.39,否,无,223.04,6.67,5.39,7.39,2.87,,53.19,19.54,28.94,21.5,10.82,0.14,75830.25,3.65,1.1,1.1,-4.1,273491000.0
4,CDE,Basic Materials,77.9,A-优先三件套,6.0,17.756303,23.91,38.12,nan,否,股数膨胀>2%,27.77,38.12,nan,225.93,42.36,30.37,44.47,28.3,17.68,16.75,7.51,0.11,24.85,2.47,0.59,1.14,29.49,886879000.0
5,BSX,Healthcare,76.7,A-优先三件套,7.0,18.978753,57.22,16.54,60.72,否,利润增长显著快于营收,109.5,16.54,60.72,43.76,14.1,16.38,69.01,14.44,11.96,6.98,26.19,0.47,10.7,1.62,0.48,1.17,1.14,4534000000.0
6,AWI,Industrials,75.0,A-优先三件套,0.0,23.992997,15.04,9.54,15.01,否,无,206.08,9.54,15.01,24.91,6.74,4.24,40.64,19.05,34.27,16.39,25.66,0.55,13.13,1.46,0.86,0.8,-1.98,355500000.0
7,AEM,Basic Materials,74.5,B-保留观察,13.0,17.65839,19.19,27.53,88.11,否,利润增长显著快于营收；股数膨胀>2%,255.24,27.53,88.11,48.15,29.64,12.0,58.13,37.47,18.03,13.84,0.93,0.01,201.46,2.02,0.37,0.96,3.09,6817113000.0
8,HONA,Industrials,74.3,A-优先三件套,0.0,26.444625,45.42,12.34,-21.47,否,无,297.5,12.34,-21.47,11.43,6.79,10.85,34.84,10.23,21.19,10.31,1.53,0.03,3.88,1.28,1.01,1.8,0.0,3705000000.0
9,B,Basic Materials,73.7,A-优先三件套,7.0,11.763951,16.53,15.47,126.1,否,利润增长显著快于营收,54.69,15.47,126.1,30.23,9.97,5.11,51.26,29.45,18.8,10.07,10.1,0.2,25.59,2.92,0.34,0.77,-1.54,7689000000.0
10,LRN,Consumer Defensive,73.7,A-优先三件套,7.0,12.162465,47.98,11.08,38.66,否,利润增长显著快于营收,166.93,11.08,38.66,28.77,12.76,1.37,37.75,13.43,20.72,14.3,22.42,0.33,38.46,5.94,1.06,1.05,-1.2,433814000.0
