代码,行业,最新价,流通市值_亿美元,PE_TTM,距52周高点跌幅_%,52周高点,营收5年CAGR_%,净利润5年CAGR_%,最新季度营收同比_%,最新季度净利润同比_%,营业利润占比_%,ROE_%,资产负债率_%,经营现金流_原始值,数据日期,待核验项,已在Watchlist
AA,Basic Materials,47.69,125.27,9.886153,43.48,84.38,1.01,nan,,,,18.91,16.78,1185000000.0,2026-08-06,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
AB,Financial Services,37.1,34.34,10.951131,15.89,44.11,2.89,3.03,,,,24.21,,352372000.0,2026-08-06,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
ABG,Consumer Cyclical,219.47,36.96,8.209291,16.67,263.38,5.26,-20.98,,,,12.64,52.53,775200000.0,2026-08-06,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
ACM,Industrials,74.9,95.62,19.556136,44.73,135.52,7.07,21.84,,,,22.54,26.47,821602000.0,2026-08-06,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
ADMA,Healthcare,9.26,21.02,13.617647,54.74,20.458,49.05,nan,,,,30.78,12.8,50396000.0,2026-08-06,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
AEM,Basic Materials,165.45,839.11,14.16524,35.18,255.24,27.53,88.11,,,,18.03,0.93,6817113000.0,2026-08-06,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
AEO,Consumer Cyclical,17.82,27.09,11.065478,37.39,28.46,3.59,15.33,,,,11.34,42.41,456182000.0,2026-08-06,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
AFFS,,15.31,27.57,15.673307,,,,,,,,nan,,,2026-08-06,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
AFFT,,16.0,28.81,16.379681,,,,,,,,nan,,,2026-08-06,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
AG,Basic Materials,17.61,85.82,25.359329,45.04,32.04,26.37,nan,,,,5.97,6.58,526010000.0,2026-08-06,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
AGCO,Industrials,103.83,59.9,14.238753,27.79,143.78,-7.29,-6.53,,,,17.0,21.49,988100000.0,2026-08-06,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
AGI,Basic Materials,31.27,130.72,11.207885,43.57,55.41,30.11,187.95,,,,19.92,3.49,795300000.0,2026-08-06,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
AIRC,,39.08,56.21,9.031555,,,,,,,,nan,,,2026-08-06,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
AKO.B,,31.26,24.22,15.666754,,,,,,,,nan,,,2026-08-06,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
ALE,,67.9,39.27,23.831376,,,,,,,,nan,,,2026-08-06,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
AMRZ,Basic Materials,52.88,258.83,25.302501,19.81,65.94,3.28,2.26,,,,8.94,26.16,2208000000.0,2026-08-06,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
AMT,Real Estate,168.07,784.73,23.119751,21.75,214.79,3.34,12.73,,,,69.25,71.16,5464000000.0,2026-08-06,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
AMX,Communication Services,24.02,204.89,14.10361,15.6,28.46,3.77,2.83,,,,22.87,41.07,272399022000.0,2026-08-06,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
