二筛排名,代码,Yahoo代码,行业,二筛总分,优先级,异常惩罚,PE_TTM,距52周高点跌幅_%,营收5年CAGR_%,净利润5年CAGR_%,已在Watchlist,量化警示,52周高点,营收3年CAGR_%,净利润3年CAGR_%,经营现金流3年CAGR_%,应收账款3年CAGR_%,库存3年CAGR_%,毛利率_%,净利率_%,ROE_%,ROA_%,资产负债率_%,长期债务权益比,利息保障倍数,流动比率,总资产周转率,FCF净利润转化率,股数3年CAGR_%,经营现金流_原始值
105,02921,2921.HK,,37.5,C-暂缓,0.0,17.466035,,,,否,无,,,,,,,nan,nan,nan,,,,,,,nan,,
106,01299,1299.HK,Financial Services,37.3,C-暂缓,10.0,12.937207,15.9,nan,23.23,否,经营现金流3Y为负,92.15,nan,23.23,-10.94,-5.85,,nan,15.74,14.42,1.92,4.25,0.34,12.27,,0.12,1.08,-3.74,6970000000.0
107,81211,81211.HK,Consumer Cyclical,37.2,C-暂缓,18.0,22.769517,26.13,23.77,25.2,否,经营现金流3Y为负；FCF/NI<70%,99.5,23.77,25.2,-25.12,-1.59,20.5,17.74,4.06,13.24,3.91,13.48,0.48,16.58,0.79,0.96,-2.99,1.44,59135544000.0
108,89618,89618.HK,,37.1,C-暂缓,0.0,19.267569,27.76,,,否,无,131.5,,,,,,nan,nan,nan,,,,,,,nan,,
109,06099,6099.HK,Financial Services,36.6,C-暂缓,8.0,6.83025,15.5,10.31,15.24,否,FCF/NI<70%,18.65,10.31,15.24,nan,,,nan,52.4,8.95,1.67,29.45,1.61,,,0.03,-2.6,0.0,-31368505124.65
110,00291,0291.HK,Consumer Defensive,36.6,C-暂缓,8.0,19.060844,35.78,2.51,-8.11,否,应收增速>营收,29.4,2.51,-8.11,1.35,14.69,7.67,43.07,8.87,10.45,4.89,4.96,0.11,92.5,0.82,0.55,1.58,0.0,7127000000.0
111,80941,80941.HK,,36.0,C-暂缓,0.0,11.23087,16.15,,,否,无,81.4,,,,,,nan,nan,nan,,,,,,,nan,,
112,06655,6655.HK,Basic Materials,35.9,C-暂缓,8.0,8.955776,16.68,5.07,1.87,否,应收增速>营收,20.2,5.07,1.87,13.59,32.33,1.21,30.22,8.07,8.9,3.79,31.15,0.79,7.24,0.97,0.47,1.43,-0.28,6694037666.0
113,00868,0868.HK,Basic Materials,35.7,C-暂缓,16.0,12.080112,24.98,-2.87,-15.53,否,经营现金流3Y为负；股数膨胀>2%,12.35,-2.87,-15.53,-3.65,-21.36,-2.69,31.12,13.1,7.41,5.7,10.09,0.13,24.7,1.36,0.44,1.43,2.49,5321500000.0
114,01818,1818.HK,Basic Materials,35.7,C-暂缓,25.0,18.482945,47.78,18.97,250.49,否,利润增长显著快于营收；经营现金流3Y为负；FCF/NI<70%,42.36,18.97,250.49,-2.53,0.96,14.32,39.15,12.56,6.85,2.89,37.43,0.95,5.97,0.96,0.23,0.36,1.33,2597165000.0
115,00857,0857.HK,Energy,35.6,C-暂缓,0.0,9.060418,16.86,-4.01,1.88,否,无,12.22,-4.01,1.88,1.56,2.66,-3.54,21.59,5.49,9.92,5.64,12.51,0.22,13.87,1.1,1.03,0.76,0.0,412510000000.0
116,02688,2688.HK,Utilities,35.3,C-暂缓,8.0,7.692722,32.79,0.56,0.21,否,FCF/NI<70%,73.8,0.56,0.21,1.08,-5.39,-2.36,11.88,5.28,12.35,5.64,18.62,0.41,14.48,0.64,1.07,0.57,-0.56,10433000000.0
117,01044,1044.HK,Consumer Defensive,35.3,C-暂缓,10.0,8.557608,29.11,0.66,9.61,否,经营现金流3Y为负,29.96,0.66,9.61,-5.25,-5.55,-0.6,33.84,10.99,11.65,6.11,36.5,0.72,12.05,1.15,0.56,0.86,-0.71,3241140000.0
118,09976,9976.HK,,35.1,C-暂缓,0.0,7.646305,,,,否,无,,,,,,,nan,nan,nan,,,,,,,nan,,
