二筛排名,代码,TS代码,板块,简称,二筛总分,评级档,异常惩罚,PE_TTM,扣非PE,距52周高点跌幅_%,营收5年CAGR_%,净利润5年CAGR_%,已在Watchlist,量化警示,营收3年CAGR_%,净利润3年CAGR_%,经营现金流3年CAGR_%,应收账款3年CAGR_%,库存3年CAGR_%,毛利率_%,净利率_%,ROE_%,ROA_%,资产负债率_%,长期债务权益比,利息保障倍数,FCF净利润转化率,股数3年CAGR_%,最新季度营收同比_%,最新季度净利润同比_%,经营现金流_原始值
597,002594,002594.SZ,深,比亚迪,15.1,C-暂缓,24.0,29.941,32.4461,22.4,38.7,41.21,否,经营现金流3Y为负；FCF/NI<70%；股数膨胀>2%,23.77,23.99,-25.12,-1.59,20.5,17.74,4.2,14.77,4.05,70.74,2.4176,15.62,-2.8309,46.31,3.46,-18.82,59135544000
598,000100,000100.SZ,深,TCL科技,15.0,C-暂缓,26.0,20.6748,33.8159,19.65,19.11,-46.9,否,增速异常；应收增速>营收；股数膨胀>2%,3.4,-50.73,33.68,16.39,0.68,13.15,0.12,0.16,0.06,64.23,1.7956,0.96,130.4877,6.81,11.67,105.15,44021698000
599,000685,000685.SZ,深,中山公用,15.0,C-暂缓,26.0,7.4676,7.8073,25.76,16.13,6.81,否,应收增速>营收；经营现金流3Y为负；FCF/NI<70%,8.42,21.4,-0.47,34.59,-10.47,22.87,40.67,10.11,5.44,47.33,0.8986,7.28,-0.3527,0.0,-18.78,54.87,297655047
600,600030,600030.SH,沪,中信证券,15.0,C-暂缓,18.0,10.6732,10.5037,16.63,6.6,14.85,否,应收增速>营收；经营现金流3Y为负,4.76,11.83,-1.91,27.4,nan,,41.42,9.93,1.64,84.35,5.3898,,2.3419,0.0,17.35,37.26,74104321266
601,600150,600150.SH,沪,中国船舶,15.0,C-暂缓,33.0,21.9377,25.9266,22.43,22.43,110.25,否,增速异常；利润增速显著快于营收；FCF/NI<70%；股数膨胀>2%,36.65,129.26,nan,32.23,32.55,12.58,6.92,7.27,2.55,64.42,1.8106,11.88,0.4886,18.94,93.39,172.52,7766831729
602,000683,000683.SZ,深,博源化工,14.7,C-暂缓,25.0,21.7615,17.3293,39.5,9.42,63.53,否,利润增速显著快于营收；经营现金流3Y为负；FCF/NI<70%,3.2,-22.62,-7.65,-24.05,-7.39,30.46,12.24,8.17,4.02,55.98,1.2717,7.95,-0.5113,0.87,-8.97,-48.56,2559844674
603,001287,001287.SZ,深,中电港,14.7,C-暂缓,22.0,28.3187,26.1152,29.63,20.28,-2.3,否,应收增速>营收；FCF/NI<70%；股数膨胀>2%,14.81,-10.81,nan,27.48,8.51,3.24,0.43,5.35,1.01,81.91,4.5279,1.65,-4.4242,10.06,34.72,19.9,-1184404198
604,000913,000913.SZ,深,钱江摩托,14.5,C-暂缓,29.0,6.9486,32.4443,42.06,8.43,37.67,否,利润增速显著快于营收；应收增速>营收；FCF/NI<70%；股数膨胀>2%,-1.4,34.82,nan,10.56,9.11,25.16,17.98,19.14,9.63,45.86,0.8471,54.78,-0.9775,3.94,-10.22,44.88,-403081378
605,600846,600846.SH,沪,同济科技,14.5,C-暂缓,10.0,28.7305,29.544,37.56,-6.76,-19.85,否,经营现金流3Y为负,4.05,-8.09,-21.97,11.48,17.6,13.33,6.49,6.72,2.28,66.7,2.003,11.38,3.2259,0.0,6.44,-30.08,948346371
606,601512,601512.SH,沪,中新集团,14.5,C-暂缓,20.0,12.5339,12.7773,32.87,-1.2,-5.54,否,增速异常；应收增速>营收,-12.16,-17.69,6.53,-1.15,-1.25,44.24,37.87,6.17,3.39,44.52,0.8025,7.16,0.7051,0.0,19.71,95.11,1406780224
607,600056,600056.SH,沪,中国医药,14.4,C-暂缓,10.0,28.1406,35.0563,26.28,-2.1,-13.41,否,经营现金流3Y为负,-2.02,-8.75,-4.67,2.54,-0.06,10.5,1.91,4.7,1.84,61.04,1.5667,5.9,1.657,0.0,3.55,-1.75,1425879279
608,600888,600888.SH,沪,新疆众和,14.0,C-暂缓,18.0,20.0683,22.7867,40.68,6.67,13.52,否,经营现金流3Y为负；FCF/NI<70%,0.68,-24.89,-29.65,5.32,7.42,8.98,8.39,5.52,3.29,42.67,0.7443,8.55,-4.9967,1.38,7.83,-45.04,373449313
609,603281,603281.SH,沪,江瀚新材,14.0,C-暂缓,24.0,25.9747,27.1111,55.93,6.4,6.17,否,经营现金流3Y为负；FCF/NI<70%；股数膨胀>2%,-17.52,-26.19,-31.02,-11.93,-9.89,27.22,22.51,8.59,7.93,8.52,0.0931,611.44,0.6809,23.13,-16.14,-30.54,433765051
610,603507,603507.SH,沪,振江股份,14.0,C-暂缓,22.0,27.3509,36.4165,53.71,15.51,15.4,否,应收增速>营收；FCF/NI<70%；股数膨胀>2%,11.0,3.12,nan,28.44,17.13,20.87,2.92,4.58,1.46,71.69,2.5323,1.81,-10.5515,8.92,0.65,-35.22,-143372778
611,605009,605009.SH,沪,豪悦护理,13.9,C-暂缓,32.0,21.7994,22.4145,44.78,7.71,-17.36,否,应收增速>营收；经营现金流3Y为负；FCF/NI<70%；股数膨胀>2%,10.26,-18.14,-26.26,21.07,13.48,31.51,6.18,6.91,4.66,33.14,0.4957,17.96,-1.3233,11.48,28.22,-40.14,237549096
612,300358,300358.SZ,创,楚天科技,13.6,C-暂缓,26.0,19.4427,27.2285,34.26,10.01,4.35,否,增速异常；应收增速>营收；股数膨胀>2%,-3.66,-24.24,215.52,17.82,-2.0,32.23,4.32,5.03,1.88,57.66,1.3618,4.34,2.275,7.54,-1.14,154.03,778927922
613,000544,000544.SZ,深,中原环保,13.5,C-暂缓,16.0,6.6246,7.0141,24.37,20.84,16.16,否,应收增速>营收；FCF/NI<70%,-3.77,31.63,nan,88.33,-8.93,46.81,19.76,9.63,2.57,73.43,2.7636,2.56,-1.7457,0.0,1.77,2.16,565688707
614,600546,600546.SH,沪,山煤国际,13.5,C-暂缓,17.0,19.5429,18.2563,16.02,-10.39,12.55,否,利润增速显著快于营收；经营现金流3Y为负,-23.87,-46.44,-37.12,-48.23,-5.33,35.61,8.25,8.62,4.23,51.21,1.0496,12.14,1.2706,0.0,-30.75,-46.51,3355765385
615,002101,002101.SZ,深,广东鸿图,13.4,C-暂缓,32.0,18.2745,19.8828,42.46,10.45,13.35,否,应收增速>营收；经营现金流3Y为负；FCF/NI<70%；股数膨胀>2%,11.3,-9.01,-38.0,22.62,5.9,14.39,3.93,4.44,2.46,44.21,0.7924,8.65,-1.3391,7.9,14.22,-16.21,211852094
616,601688,601688.SH,沪,华泰证券,13.4,C-暂缓,16.0,9.5715,9.6186,27.77,2.63,8.54,否,应收增速>营收；FCF/NI<70%,3.79,12.94,nan,17.28,nan,,45.72,8.21,1.73,80.79,4.2056,,-0.8443,-0.18,-13.64,5.5,-12601571386
617,603217,603217.SH,沪,元利科技,13.2,C-暂缓,16.0,26.6084,27.6379,20.28,12.24,4.12,否,应收增速>营收；FCF/NI<70%,-6.73,-25.62,nan,2.42,-2.52,17.25,8.87,5.78,4.09,33.31,0.4995,27.4,-0.5574,-0.02,-1.91,-6.76,-30980243
618,603529,603529.SH,沪,爱玛科技,13.2,C-暂缓,32.0,11.306,11.9396,44.54,14.23,27.73,否,应收增速>营收；经营现金流3Y为负；FCF/NI<70%；股数膨胀>2%,6.45,3.46,-9.17,20.27,2.56,18.29,8.26,21.57,8.48,60.57,1.5361,28.27,0.5297,14.78,16.14,3.04,3784884313
619,688472,688472.SH,科,阿特斯,13.2,C-暂缓,16.0,25.6354,32.4076,56.88,11.58,-8.41,否,应收增速>营收；FCF/NI<70%,-5.39,-21.34,7.71,10.28,-14.6,10.37,2.6,4.52,1.61,63.65,1.751,2.09,0.3106,-0.61,-12.8,-53.19,7075155179
620,603997,603997.SH,沪,继峰股份,13.1,C-暂缓,26.0,22.1622,27.7471,27.4,7.69,nan,否,增速异常；应收增速>营收；股数膨胀>2%,8.24,nan,18.48,32.36,4.43,16.09,1.99,8.6,2.07,75.94,3.1563,2.34,1.3168,4.44,2.37,166.59,1750423796
621,601611,601611.SH,沪,中国核建,13.0,C-暂缓,14.0,27.5751,27.5973,46.72,6.96,5.75,否,FCF/NI<70%；股数膨胀>2%,0.93,-1.89,nan,4.41,0.41,12.14,2.27,5.01,1.0,78.63,3.6795,1.95,-0.7648,4.41,-10.24,-16.94,6021706
622,000987,000987.SZ,深,越秀资本,12.9,C-暂缓,16.0,8.9616,16.7798,39.3,-4.14,-2.74,否,应收增速>营收；FCF/NI<70%,-17.9,9.66,nan,77.86,nan,25.2,58.26,9.53,2.11,76.55,3.2644,11.32,0.2805,0.0,-40.75,67.12,6135563685
623,300390,300390.SZ,创,天华新能,12.8,C-暂缓,22.0,19.0828,20.7802,45.01,41.88,9.06,否,应收增速>营收；FCF/NI<70%；股数膨胀>2%,-23.75,-62.94,nan,-12.06,0.71,14.52,5.94,2.87,2.12,32.21,0.4751,5.76,-8.182,9.06,14.23,-56.2,-321825657
624,601686,601686.SH,沪,友发集团,12.8,C-暂缓,8.0,11.2653,16.8686,31.06,0.91,-8.81,否,应收增速>营收,-9.05,50.3,12.71,28.35,7.1,3.21,1.46,9.67,2.94,69.42,2.2701,6.06,0.7774,0.94,-7.57,53.93,1111891178
625,600639,600639.SH,沪,浦东金桥,12.6,C-暂缓,20.0,10.0527,11.5234,19.55,10.67,-1.43,否,增速异常；FCF/NI<70%,5.68,-12.94,nan,12.0,24.84,32.1,17.17,5.36,2.13,59.14,1.4474,5.19,-1.8557,0.0,118.91,4.73,-1886822112
626,600710,600710.SH,沪,苏美达,12.4,C-暂缓,16.0,9.6665,10.585,33.2,3.63,16.8,否,应收增速>营收；FCF/NI<70%,-5.85,8.17,nan,10.43,9.36,6.79,3.09,23.4,6.43,71.57,2.5174,22.9,-0.3067,0.0,0.54,11.84,-702412112
627,600511,600511.SH,沪,国药股份,12.2,C-暂缓,18.0,10.3324,10.3809,15.33,5.38,6.72,否,应收增速>营收；经营现金流3Y为负,4.87,-0.62,-5.75,30.44,11.78,6.59,3.98,10.64,5.84,44.64,0.8064,94.65,0.9273,0.0,3.7,-1.9,2005517512
628,002349,002349.SZ,深,精华制药,12.1,C-暂缓,25.0,25.7983,27.1807,18.11,2.64,56.46,否,利润增速显著快于营收；应收增速>营收；经营现金流3Y为负,-2.46,7.24,-1.66,13.69,-3.4,51.89,17.93,8.58,7.62,11.8,0.1338,484.67,1.2244,0.63,4.13,5.81,340866250
629,002705,002705.SZ,深,新宝股份,12.1,C-暂缓,26.0,10.9384,11.2699,43.09,4.18,-2.01,否,应收增速>营收；经营现金流3Y为负；FCF/NI<70%,5.74,0.47,-2.5,21.64,4.42,20.81,6.45,12.18,6.68,44.01,0.786,16.68,0.3824,-0.6,-3.74,-6.38,1318695341
630,600011,600011.SH,沪,华能国际,12.0,C-暂缓,15.0,8.8301,9.6706,32.38,6.24,27.88,否,利润增速显著快于营收；FCF/NI<70%,-2.41,nan,27.38,5.08,-4.67,18.45,8.51,9.39,3.25,65.26,1.8785,4.29,0.4954,0.0,-6.62,38.24,67212899994
631,001308,001308.SZ,深,康冠科技,11.9,C-暂缓,24.0,28.2508,30.9685,31.84,14.32,0.86,否,经营现金流3Y为负；FCF/NI<70%；股数膨胀>2%,7.69,-30.64,-43.49,5.29,24.26,13.94,3.5,6.49,3.09,51.78,1.0738,29.89,-0.2252,10.37,-7.15,-39.0,89384913
632,002432,002432.SZ,深,九安医疗,11.9,C-暂缓,23.0,14.3586,13.6849,25.53,-7.42,57.14,否,利润增速显著快于营收；应收增速>营收；FCF/NI<70%,-62.7,-48.36,nan,-50.36,-33.6,63.83,166.19,10.43,8.16,24.82,0.3301,22.04,-0.1889,-1.37,-47.32,26.08,-166803217
633,601555,601555.SH,沪,东吴证券,11.6,C-暂缓,18.0,11.5319,11.493,26.75,4.19,15.82,否,应收增速>营收；经营现金流3Y为负,-4.86,27.11,-15.43,65.8,nan,,39.55,8.31,1.81,79.76,3.9407,,3.8541,-0.26,-21.7,49.52,13997605610
634,002507,002507.SZ,深,涪陵榨菜,11.3,C-暂缓,32.0,16.8079,18.3586,19.67,1.36,-0.23,否,应收增速>营收；经营现金流3Y为负；FCF/NI<70%；股数膨胀>2%,-1.55,-5.11,-15.24,73.69,10.0,51.63,31.58,8.8,8.05,9.64,0.1067,14604.79,0.345,9.14,1.88,-3.92,657219113
635,002246,002246.SZ,深,北化股份,11.1,C-暂缓,27.0,28.9922,31.5901,27.52,3.12,25.29,否,增速异常；利润增速显著快于营收；应收增速>营收,2.44,41.51,49.63,21.62,-7.44,29.37,9.16,8.11,5.17,37.91,0.6106,80.83,0.8755,0.0,41.26,810.52,365201768
636,002192,002192.SZ,深,融捷股份,10.9,C-暂缓,33.0,15.7559,15.8971,36.95,16.6,67.14,否,利润增速显著快于营收；应收增速>营收；经营现金流3Y为负；FCF/NI<70%,-34.51,-52.13,-37.39,-19.13,29.9,51.18,32.46,7.78,5.9,27.1,0.3717,87.76,0.1693,0.0,49.71,35.65,310454462
637,920185,920185.BJ,北,贝特瑞,10.8,C-暂缓,14.0,27.0168,34.3164,48.85,30.71,18.22,否,FCF/NI<70%；股数膨胀>2%,-12.87,-20.54,nan,-5.9,5.18,20.72,6.76,7.73,3.32,57.26,1.3397,5.05,-1.5522,15.69,19.29,21.37,453676867
638,601200,601200.SH,沪,上海环境,10.7,C-暂缓,24.0,15.3981,15.6918,24.75,6.76,-0.94,否,应收增速>营收；经营现金流3Y为负；股数膨胀>2%,-0.14,4.48,-2.74,15.11,-11.02,26.69,11.37,5.31,2.32,56.26,1.2862,4.45,1.5456,6.27,-0.04,6.77,1642784841
639,600757,600757.SH,沪,长江传媒,10.5,C-暂缓,26.0,9.6593,10.3953,22.98,1.19,4.51,否,应收增速>营收；经营现金流3Y为负；FCF/NI<70%,4.0,11.36,-16.56,24.26,-7.95,33.25,14.27,10.33,7.24,29.04,0.4092,338.74,0.4601,0.0,0.14,6.9,619867391
640,600795,600795.SH,沪,国电电力,10.2,C-暂缓,16.0,14.0457,14.581,15.4,7.9,12.24,否,应收增速>营收；FCF/NI<70%,-4.04,25.97,10.81,7.83,-0.92,15.54,8.06,10.19,2.71,73.45,2.7665,4.04,0.6013,0.0,-4.99,-17.52,53668239032
641,600739,600739.SH,沪,辽宁成大,10.1,C-暂缓,18.0,17.2614,16.5448,21.5,-10.19,-33.38,否,经营现金流3Y为负；FCF/NI<70%,-12.07,-39.03,-38.15,-4.11,-16.64,13.05,3.33,1.02,0.68,33.82,0.511,1.58,-0.0095,0.0,-12.29,-50.33,337635427
642,603693,603693.SH,沪,江苏新能,9.9,C-暂缓,25.0,22.0085,23.2059,45.07,6.17,28.49,否,利润增速显著快于营收；应收增速>营收；经营现金流3Y为负,1.92,0.87,-5.85,18.48,10.58,49.98,28.7,7.36,3.37,53.34,1.1432,4.38,0.8183,0.0,-0.58,20.39,1140476144
643,002557,002557.SZ,深,洽洽食品,9.6,C-暂缓,18.0,22.9171,27.5493,28.63,4.44,-16.87,否,经营现金流3Y为负；FCF/NI<70%,-1.52,-31.13,-64.18,-7.64,25.2,23.41,4.86,5.76,3.24,44.49,0.8015,2.6,-0.0681,-0.08,-7.82,-62.41,70447310
644,600309,600309.SH,沪,万华化学,9.5,C-暂缓,26.0,17.5944,18.2398,23.73,22.58,6.16,否,应收增速>营收；经营现金流3Y为负；FCF/NI<70%,7.07,-6.25,-3.06,20.55,12.68,13.61,6.91,12.56,4.56,62.81,1.6889,6.19,0.207,-0.1,11.62,-5.08,33105189456
645,000686,000686.SZ,深,东北证券,9.1,C-暂缓,18.0,10.2398,10.4142,29.58,-5.17,0.32,否,经营现金流3Y为负；FCF/NI<70%,-0.06,76.21,-28.24,-8.83,nan,,29.41,7.42,1.47,81.82,4.5006,,0.6103,0.0,-22.08,60.66,1003020983
646,601598,601598.SH,沪,中国外运,9.1,C-暂缓,18.0,11.5254,27.1437,17.99,2.75,8.32,否,经营现金流3Y为负；FCF/NI<70%,-3.82,0.33,-15.52,-0.7,-2.87,5.69,4.42,9.95,5.51,43.78,0.7787,15.98,0.3604,-0.83,-8.34,2.48,3085506143
647,603612,603612.SH,沪,索通发展,8.7,C-暂缓,26.0,13.179,13.7311,54.17,24.77,29.72,否,增速异常；FCF/NI<70%；股数膨胀>2%,-3.03,-3.68,nan,1.1,-3.64,13.98,5.93,14.7,5.77,60.62,1.5394,5.76,0.0622,2.64,28.68,133.61,711875164
648,300073,300073.SZ,创,当升科技,8.6,C-暂缓,24.0,28.1572,34.7131,45.72,26.65,10.32,否,经营现金流3Y为负；FCF/NI<70%；股数膨胀>2%,-21.28,-34.49,-0.32,-22.27,0.48,12.73,6.12,4.36,3.21,31.14,0.4522,795.13,-1.2177,2.43,36.63,34.22,1149551755
649,002497,002497.SZ,深,雅化集团,8.4,C-暂缓,28.0,25.2627,22.8743,39.12,21.32,9.8,否,增速异常；应收增速>营收；FCF/NI<70%,-16.08,-50.85,nan,12.91,-18.68,22.06,6.43,5.04,3.8,26.17,0.3545,19.7,-1.5899,0.0,10.72,200.04,-569778008
650,002125,002125.SZ,深,湘潭电化,8.0,C-暂缓,25.0,24.6431,25.1765,39.12,9.26,54.26,否,利润增速显著快于营收；应收增速>营收；经营现金流3Y为负,-2.93,-18.94,-5.99,6.09,-17.55,21.57,11.18,6.9,4.32,36.51,0.5751,8.0,0.7404,0.0,0.46,-29.57,200006622
651,600956,600956.SH,沪,新天绿能,7.9,C-暂缓,24.0,19.8726,22.1341,37.63,9.65,0.83,否,经营现金流3Y为负；FCF/NI<70%；股数膨胀>2%,2.23,-10.6,-0.75,6.68,167.81,20.77,10.16,6.87,2.27,66.3,1.9674,3.36,-0.9741,2.53,-7.21,5.98,7296692202
652,601878,601878.SH,沪,浙商证券,7.8,C-暂缓,22.0,16.082,16.209,27.68,-3.63,11.8,否,应收增速>营收；FCF/NI<70%；股数膨胀>2%,-19.29,18.66,nan,7.41,nan,,32.15,6.78,1.5,78.95,3.7506,,-1.3313,5.65,-44.1,41.64,-3289744752
653,002803,002803.SZ,深,吉宏股份,7.7,C-暂缓,36.0,26.8152,30.6977,33.82,8.79,-10.35,否,增速异常；经营现金流3Y为负；FCF/NI<70%；股数膨胀>2%,7.73,24.87,-11.18,9.77,2.19,46.92,4.97,13.47,8.54,36.36,0.5713,25.12,0.3184,5.98,21.56,81.11,261219849
654,601800,601800.SH,沪,中国交建,7.7,C-暂缓,16.0,7.0973,9.6245,39.34,3.1,1.46,否,应收增速>营收；FCF/NI<70%,0.5,-5.62,226.07,14.94,13.59,11.37,2.85,4.45,1.07,76.83,3.3159,1.2,-0.9645,0.22,-5.29,-31.44,15333042142
655,600720,600720.SH,沪,中交设计,7.5,C-暂缓,32.0,8.1528,8.5617,38.6,7.2,-1.07,否,应收增速>营收；经营现金流3Y为负；FCF/NI<70%；股数膨胀>2%,11.52,21.52,-33.9,195.7,-70.63,30.08,13.27,9.27,4.77,46.98,0.8861,34.01,0.0734,43.51,-11.05,-17.58,352909959
656,600827,600827.SH,沪,百联股份,7.3,C-暂缓,18.0,10.8202,136.4426,28.06,-6.78,-6.95,否,应收增速>营收；经营现金流3Y为负,-8.42,-3.34,-33.69,0.11,-17.49,24.9,2.24,2.57,0.98,61.23,1.5793,2.29,1.9311,0.0,-10.44,-59.89,993216358
657,600918,600918.SH,沪,中泰证券,7.0,C-暂缓,24.0,17.7177,18.6092,25.54,1.93,-8.31,否,应收增速>营收；经营现金流3Y为负；股数膨胀>2%,6.91,33.47,-11.16,18.66,nan,,14.68,3.41,0.7,79.15,3.7962,,6.6487,4.35,4.6,54.66,11583840774
658,603227,603227.SH,沪,雪峰科技,6.9,C-暂缓,32.0,15.6273,16.4746,28.84,22.36,32.91,否,应收增速>营收；经营现金流3Y为负；FCF/NI<70%；股数膨胀>2%,-6.93,-22.76,-27.17,23.72,-9.5,22.32,10.42,9.71,7.03,28.71,0.4027,49.99,0.4328,3.5,-8.81,-23.29,418833719
659,000951,000951.SZ,深,中国重汽,6.6,C-暂缓,18.0,13.6719,14.5409,21.15,-0.75,-0.2,否,经营现金流3Y为负；FCF/NI<70%,26.06,65.85,-56.91,32.84,19.99,7.8,4.15,14.18,5.24,65.35,1.886,470.42,0.1247,0.0,28.51,28.32,562605368
660,600295,600295.SH,沪,鄂尔多斯,6.5,C-暂缓,24.0,14.3043,15.6392,27.57,2.15,5.92,否,应收增速>营收；经营现金流3Y为负；股数膨胀>2%,-10.9,-26.36,-14.87,5.29,-2.97,25.31,10.36,10.23,5.68,41.67,0.7144,28.03,1.3692,11.87,-9.37,35.46,4517600128
661,000737,000737.SZ,深,北方铜业,6.3,C-暂缓,24.0,27.0645,27.2793,31.63,90.07,53.81,否,应收增速>营收；经营现金流3Y为负；股数膨胀>2%,37.75,9.03,-3.91,105.41,63.4,10.28,2.83,12.14,4.35,62.99,1.702,4.87,1.4142,2.43,15.8,29.01,1888050454
662,603867,603867.SH,沪,新化股份,6.3,C-暂缓,32.0,22.3431,23.9089,35.88,4.86,6.31,否,应收增速>营收；经营现金流3Y为负；FCF/NI<70%；股数膨胀>2%,3.13,-6.47,-0.41,16.51,11.87,22.31,10.28,10.2,6.74,27.77,0.3845,18.19,-0.0595,5.61,-0.76,10.03,318945801
663,600256,600256.SH,沪,广汇能源,5.9,C-暂缓,18.0,22.4954,21.9634,20.64,15.0,1.65,否,应收增速>营收；经营现金流3Y为负,-19.98,-52.38,-21.66,1.23,4.64,19.7,3.96,4.89,2.23,54.56,1.2007,4.38,3.5231,-0.89,-16.47,-56.93,4878397838
664,603613,603613.SH,沪,国联股份,5.8,C-暂缓,32.0,9.9081,10.3385,45.49,28.03,34.75,否,应收增速>营收；经营现金流3Y为负；FCF/NI<70%；股数膨胀>2%,8.18,5.71,-24.02,40.38,158.89,6.48,3.12,16.52,8.0,52.39,1.1004,13.85,0.1274,13.05,-4.86,-8.5,601439665
665,605050,605050.SH,沪,福然德,5.8,C-暂缓,32.0,13.7151,15.0881,54.67,11.95,4.49,否,应收增速>营收；经营现金流3Y为负；FCF/NI<70%；股数膨胀>2%,4.38,8.01,-11.98,13.98,19.59,5.93,3.32,8.54,4.24,51.94,1.0807,57.66,-0.7266,4.25,4.29,19.19,73238522
666,000411,000411.SZ,深,英特集团,5.3,C-暂缓,24.0,11.3654,11.4446,32.66,6.13,11.99,否,经营现金流3Y为负；FCF/NI<70%；股数膨胀>2%,3.23,9.3,-3.12,3.09,7.42,6.99,1.79,10.99,3.85,65.55,1.9028,5.71,0.1976,20.45,0.98,-1.29,355669608
667,600694,600694.SH,沪,大商股份,5.3,C-暂缓,24.0,10.8772,12.5752,29.78,-5.24,0.49,否,经营现金流3Y为负；FCF/NI<70%；股数膨胀>2%,-5.19,-3.0,-13.68,-0.08,5.86,40.64,8.82,6.01,3.12,46.53,0.8702,7.4,0.6811,5.45,-10.75,-14.97,460594278
668,603223,603223.SH,沪,恒通股份,5.1,C-暂缓,29.0,23.3034,23.1258,31.86,-24.64,10.66,否,利润增速显著快于营收；应收增速>营收；FCF/NI<70%；股数膨胀>2%,-36.32,37.54,nan,-18.04,105.71,30.5,19.54,6.73,4.94,22.91,0.2972,9.58,-0.3778,11.87,-32.05,72.81,456176699
669,000960,000960.SZ,深,锡业股份,5.0,C-暂缓,25.0,25.3518,19.9441,23.98,-0.57,19.7,否,利润增速显著快于营收；经营现金流3Y为负；FCF/NI<70%,-5.75,10.35,-36.45,-13.14,22.17,11.37,4.85,9.4,5.49,42.9,0.7513,12.59,0.3156,0.0,3.72,34.37,1295469193
670,600595,600595.SH,沪,中孚实业,4.8,C-暂缓,38.0,8.8901,8.6264,42.84,23.04,nan,否,增速异常；应收增速>营收；经营现金流3Y为负；FCF/NI<70%,9.61,-1.65,-10.44,56.09,11.47,13.15,5.97,8.29,5.7,29.24,0.4132,6.53,0.4732,-0.05,1.35,83.99,1179993235
671,002734,002734.SZ,深,利民股份,4.7,C-暂缓,36.0,14.3081,14.5948,38.3,0.63,3.52,否,增速异常；应收增速>营收；经营现金流3Y为负；股数膨胀>2%,-3.36,30.99,-6.06,6.0,-10.69,26.4,11.29,15.17,7.72,38.64,0.6297,11.72,0.8827,8.5,6.83,446.97,532742393
672,601117,601117.SH,沪,中国化学,4.7,C-暂缓,26.0,7.0008,7.3878,28.24,11.57,12.99,否,应收增速>营收；经营现金流3Y为负；FCF/NI<70%,6.27,6.99,-1.27,17.2,-4.42,10.71,3.72,9.87,2.94,69.86,2.3179,29.12,-0.1703,-0.01,1.88,13.38,1443378231
673,600461,600461.SH,沪,洪城环境,4.5,C-暂缓,24.0,9.6288,9.7688,16.54,2.55,10.4,否,应收增速>营收；经营现金流3Y为负；股数膨胀>2%,-1.26,5.6,-4.42,30.09,-11.64,34.15,17.18,11.82,5.16,55.43,1.2437,8.25,0.705,5.61,-9.0,-3.85,1910179415
674,603977,603977.SH,沪,国泰集团,4.5,C-暂缓,26.0,29.0579,33.7024,33.66,6.73,3.9,否,应收增速>营收；经营现金流3Y为负；FCF/NI<70%,3.12,14.15,-12.49,11.2,24.05,36.28,11.33,7.1,4.31,42.72,0.7458,19.33,-0.8864,0.0,0.26,21.7,194137174
675,600363,600363.SH,沪,联创光电,4.4,C-暂缓,38.0,18.3795,19.5826,76.88,-2.67,12.32,否,增速异常；应收增速>营收；经营现金流3Y为负；FCF/NI<70%,0.29,19.04,-1.36,15.18,-10.52,20.86,16.51,11.08,6.5,41.85,0.7197,8.88,-0.009,-0.32,7.66,91.37,180048501
676,002960,002960.SZ,深,青鸟智控,3.3,C-暂缓,32.0,29.6713,36.0678,40.52,13.22,-5.44,否,应收增速>营收；经营现金流3Y为负；FCF/NI<70%；股数膨胀>2%,0.68,-17.88,-12.68,9.86,1.27,34.67,7.07,5.01,3.45,34.16,0.5188,12.33,-0.0527,15.96,-4.58,-8.24,322006346
677,600741,600741.SH,沪,华域汽车,3.2,C-暂缓,26.0,6.6998,7.5403,29.16,6.61,3.35,否,应收增速>营收；经营现金流3Y为负；FCF/NI<70%,5.15,0.68,-1.58,14.48,-2.35,12.3,4.47,11.98,4.28,64.29,1.8003,12.43,0.6953,0.0,8.97,9.95,9523102797
678,600648,600648.SH,沪,外高桥,2.7,C-暂缓,22.0,13.4435,234.3868,23.68,-10.19,4.22,否,应收增速>营收；FCF/NI<70%；股数膨胀>2%,-13.43,-8.98,nan,0.77,0.39,27.65,15.85,6.34,2.02,65.55,1.9028,4.07,-1.1663,6.2,-17.55,-1.89,-76414777
679,600063,600063.SH,沪,皖维高新,2.2,C-暂缓,18.0,24.4224,27.6596,35.7,2.58,-6.6,否,经营现金流3Y为负；FCF/NI<70%,-6.94,-31.64,-47.32,-0.02,1.82,12.67,5.42,5.13,2.79,45.74,0.843,5.09,-1.0319,-1.41,-0.22,21.97,334888738
680,000783,000783.SZ,深,长江证券,2.1,C-暂缓,30.0,11.3151,11.1136,19.85,6.26,12.15,否,增速异常；经营现金流3Y为负；FCF/NI<70%,18.3,34.23,-5.48,22.28,nan,,35.09,9.1,1.96,79.62,3.9068,,0.4874,0.0,55.22,101.5,1960280276
681,000597,000597.SZ,深,东北制药,1.3,C-暂缓,17.0,28.5522,35.9392,22.33,-0.85,82.27,否,利润增速显著快于营收；经营现金流3Y为负,-7.05,-15.19,-0.07,-4.27,-1.07,37.27,3.08,3.88,1.59,56.01,1.2732,5.36,4.6557,-0.17,-5.7,-48.54,1106382481
682,002500,002500.SZ,深,山西证券,1.3,C-暂缓,26.0,20.1511,21.4062,24.57,0.05,3.12,否,应收增速>营收；经营现金流3Y为负；FCF/NI<70%,-6.96,16.18,-74.23,16.39,nan,,26.53,4.8,1.09,77.03,3.3535,,-0.0998,0.0,6.31,28.7,20991993
