二筛排名,代码,TS代码,板块,简称,二筛总分,评级档,异常惩罚,PE_TTM,扣非PE,距52周高点跌幅_%,营收5年CAGR_%,净利润5年CAGR_%,已在Watchlist,量化警示,营收3年CAGR_%,净利润3年CAGR_%,经营现金流3年CAGR_%,应收账款3年CAGR_%,库存3年CAGR_%,毛利率_%,净利率_%,ROE_%,ROA_%,资产负债率_%,长期债务权益比,利息保障倍数,FCF净利润转化率,股数3年CAGR_%,最新季度营收同比_%,最新季度净利润同比_%,经营现金流_原始值
537,000537,000537.SZ,深,绿发电力,21.8,C-暂缓,14.0,24.5865,21.9261,44.77,-24.35,-11.22,否,FCF/NI<70%；股数膨胀>2%,12.57,18.7,nan,4.95,nan,47.1,24.94,4.8,1.29,73.81,2.8183,2.91,-5.3161,3.53,27.41,3.1,4908820404
538,002237,002237.SZ,深,恒邦股份,21.8,C-暂缓,22.0,22.0673,30.1678,34.42,25.53,11.29,否,应收增速>营收；FCF/NI<70%；股数膨胀>2%,30.96,10.17,nan,52.95,30.84,2.03,0.55,5.45,2.03,64.0,1.7778,2.8,-5.274,7.6,48.28,20.23,-2004810606
539,300456,300456.SZ,创,赛微电子,21.7,C-暂缓,35.0,16.1665,-59.859,54.18,1.5,49.26,否,增速异常；利润增速显著快于营收；应收增速>营收；FCF/NI<70%,1.6,nan,nan,14.01,3.63,35.5,168.48,22.38,17.41,21.46,0.2732,45.44,-0.1074,-0.05,-31.59,643.94,-13906760
540,600713,600713.SH,沪,南京医药,21.7,C-暂缓,8.0,10.9357,16.1705,21.8,6.66,12.12,否,FCF/NI<70%,3.05,5.16,nan,-3.58,6.06,6.15,1.51,10.38,2.68,73.74,2.8081,4.68,0.1316,-0.04,2.36,12.05,91808929
541,601369,601369.SH,沪,陕鼓动力,21.7,C-暂缓,8.0,21.7442,23.7129,30.44,3.16,2.63,否,FCF/NI<70%,-4.35,-7.03,1.11,0.42,-8.41,19.74,8.98,8.79,3.43,59.79,1.4869,9.99,0.5523,-0.08,-8.32,-26.13,941484672
542,603589,603589.SH,沪,口子窖,21.7,C-暂缓,16.0,28.9323,30.1346,47.08,-0.1,-12.0,否,应收增速>营收；FCF/NI<70%,-8.06,-24.27,nan,73.07,15.3,69.11,16.87,6.44,5.11,18.18,0.2222,1356.17,-0.5892,-0.1,-33.65,-59.32,-216175036
543,600251,600251.SH,沪,冠农股份,21.6,C-暂缓,18.0,17.6219,18.3766,21.95,-1.91,0.4,否,经营现金流3Y为负；FCF/NI<70%,1.39,17.25,-50.33,-20.09,-1.06,8.78,14.38,9.28,4.96,46.87,0.8822,12.18,0.0784,-0.17,-34.89,46.89,125519583
544,600803,600803.SH,沪,新奥股份,21.5,C-暂缓,18.0,12.4308,13.2314,28.68,8.34,4.97,否,经营现金流3Y为负；FCF/NI<70%,-5.16,-3.39,-1.67,-8.78,0.54,13.92,7.59,16.12,7.46,53.21,1.1372,13.79,0.6176,-0.02,-3.24,0.41,14266510000
545,300409,300409.SZ,创,道氏技术,21.4,C-暂缓,25.0,25.3766,25.8804,50.83,19.73,57.72,否,增速异常；利润增速显著快于营收；股数膨胀>2%,5.93,96.72,nan,-18.5,8.65,22.61,6.89,7.14,3.95,40.93,0.6929,6.23,1.3313,10.4,5.22,192.75,1073972507
546,601059,601059.SH,沪,信达证券,21.4,C-暂缓,16.0,27.1061,26.5512,24.2,5.04,17.92,否,经营现金流3Y为负；股数膨胀>2%,5.56,13.97,-36.65,-3.65,nan,,48.25,7.34,1.65,77.87,3.5188,,0.9725,3.57,22.86,37.93,1944687704
547,002164,002164.SZ,深,宁波东力,21.2,C-暂缓,20.0,27.073,89.6417,40.15,3.48,-33.1,否,增速异常；FCF/NI<70%,-0.0,-15.8,nan,1.75,-1.66,23.75,13.34,13.3,7.74,41.63,0.7132,30.47,-0.3918,0.0,0.44,325.83,168184168
548,002533,002533.SZ,深,金杯电工,21.1,C-暂缓,26.0,13.2703,15.6219,32.41,21.12,22.01,否,应收增速>营收；经营现金流3Y为负；FCF/NI<70%,15.46,18.53,-24.72,28.19,20.91,10.23,3.43,14.7,6.19,58.0,1.381,13.49,0.0586,0.0,15.01,9.3,294830037
549,600098,600098.SH,沪,广州发展,21.0,C-暂缓,8.0,9.1056,25.2125,26.59,9.92,17.82,否,FCF/NI<70%,2.03,28.42,14.55,6.65,16.83,8.74,4.87,8.33,3.12,63.39,1.7315,4.37,-0.0475,-0.36,5.29,26.87,5621009169
550,600312,600312.SH,沪,平高电气,20.9,C-暂缓,25.0,21.049,21.7642,23.08,5.06,55.12,否,利润增速显著快于营收；经营现金流3Y为负；FCF/NI<70%,10.51,59.95,-16.59,5.34,5.18,23.92,9.82,10.82,5.6,46.81,0.8801,744.39,0.4171,0.0,0.93,9.87,810660128
