二筛排名,代码,行业,二筛总分,优先级,研究状态,异常惩罚,营收3年CAGR_%,净利润3年CAGR_%,经营现金流3年CAGR_%,应收账款3年CAGR_%,库存3年CAGR_%,毛利率_%,净利率_%,ROA_%,长期债务权益比,利息保障倍数,FCF净利润转化率,股数3年CAGR_%,增长一致性分,现金流质量分,资本质量分,估值折价分,PE_TTM,距52周高点跌幅_%,营收5年CAGR_%,净利润5年CAGR_%,量化警示
28,CVCO,Homebuilding,51.4,C-暂缓,待新做三件套,0.0,1.56,-7.47,1.51,6.62,3.96,23.47,8.49,13.15,0.03,453.31,1.22,-3.7,50.4,33.0,87.2,30.8,24.42,17.88,15.16,19.98,无明显量化异常
29,FIVE,Specialty Stores,51.3,C-暂缓,待新做三件套,12.0,15.7,11.1,23.03,,17.06,35.99,7.53,7.73,0.93,34.71,1.15,-0.19,90.7,59.0,52.8,34.8,24.93,21.43,19.41,23.79,季度增速异常，优先核查并购/处置/低基数
30,SBS,Water Utilities,50.8,C-暂缓,待新做三件套,15.0,19.98,39.44,28.21,12.95,-43.79,37.02,22.21,9.14,0.95,4.38,-0.64,-0.17,89.8,79.3,38.8,36.0,12.25,19.1,16.44,54.11,利润增长显著快于营收；FCF/净利润低于70%
31,ATAT,"Hotels, Resorts & Cruise Lines",49.8,C-暂缓,待新做三件套,25.0,62.94,154.71,91.52,37.03,69.29,44.26,16.56,19.02,0.42,557.11,1.18,1.59,65.1,83.4,80.6,67.7,17.04,24.49,44.27,107.59,季度增速异常，优先核查并购/处置/低基数；利润增长显著快于营收；ROE>40%，核查回购/低权益基数
32,MLI,Industrial Machinery,48.6,C-暂缓,待新做三件套,7.0,1.62,5.14,1.43,7.73,4.38,29.02,18.31,21.79,0.01,9374.72,0.9,-0.83,39.7,38.9,99.9,46.7,15.45,16.89,11.75,40.55,利润增长显著快于营收
33,MMS,Data Processing & Outsourced Services,43.5,C-暂缓,待新做三件套,12.0,5.46,16.11,14.0,-0.16,,24.55,5.87,7.78,0.86,6.29,1.15,-3.39,58.9,63.0,40.9,58.1,8.86,40.97,9.43,8.26,季度增速异常，优先核查并购/处置/低基数
34,CACI,Research & Consulting Services,40.9,C-暂缓,待新做三件套,10.0,11.63,10.87,-9.81,11.11,9.13,8.86,5.79,6.47,0.86,4.81,0.96,-2.07,73.0,33.5,27.0,81.1,19.09,32.28,8.57,9.23,经营现金流三年趋势为负
35,MU,Semiconductors,36.0,C-暂缓,待新做三件套,26.0,6.71,-0.57,4.9,14.55,7.83,39.79,22.84,11.22,0.28,21.24,0.2,0.85,58.0,39.3,83.2,79.9,19.25,32.02,11.76,26.02,季度增速异常，优先核查并购/处置/低基数；ROE>40%，核查回购/低权益基数；FCF/净利润低于70%
36,AEO,Apparel Retail,35.3,C-暂缓,待新做三件套,12.0,3.59,15.33,3.94,2.18,6.26,36.51,3.46,4.9,1.0,22.93,1.02,-4.68,52.6,42.4,36.4,64.7,10.86,38.55,8.09,11.48,季度增速异常，优先核查并购/处置/低基数
37,OSIS,Electronic Equipment & Instruments,35.2,C-暂缓,待新做三件套,16.0,13.13,9.06,15.22,39.59,6.84,34.27,8.73,7.16,0.68,6.92,0.37,-0.15,70.8,43.5,36.3,52.2,24.76,30.64,8.0,14.74,应收增速明显快于营收；FCF/净利润低于70%
38,SKHY,待识别,33.2,C-暂缓,待新做三件套,41.0,29.61,168.01,53.42,51.96,-3.02,60.41,44.18,29.0,0.21,55.63,0.58,0.68,76.3,66.7,95.9,48.9,22.01,21.81,24.95,55.27,季度增速异常，优先核查并购/处置/低基数；利润增长显著快于营收；ROE>40%，核查回购/低权益基数；应收增速明显快于营收；FCF/净利润低于70%
39,NXPI,Semiconductors,5.9,C-暂缓,待新做三件套,29.0,-2.42,-10.16,-10.21,3.2,13.08,54.74,16.47,7.93,1.22,6.71,1.13,-0.86,24.8,41.4,43.0,28.5,25.89,20.38,7.33,107.93,季度增速异常，优先核查并购/处置/低基数；利润增长显著快于营收；经营现金流三年趋势为负
