二筛排名,代码,行业,二筛总分,优先级,异常惩罚,PE_TTM,距52周高点跌幅_%,营收5年CAGR_%,净利润5年CAGR_%,已在Watchlist,量化警示,52周高点,营收3年CAGR_%,净利润3年CAGR_%,经营现金流3年CAGR_%,应收账款3年CAGR_%,库存3年CAGR_%,毛利率_%,净利率_%,ROE_%,ROA_%,资产负债率_%,长期债务权益比,利息保障倍数,流动比率,总资产周转率,FCF净利润转化率,股数3年CAGR_%,经营现金流_原始值
1,INTU,Technology,90.7,A-优先三件套,0.0,21.013366,50.94,13.95,23.26,否,无,705.08,13.95,23.26,16.86,5.92,,79.57,20.55,19.63,11.2,17.96,0.34,20.57,1.36,0.55,1.57,-0.33,6207000000.0
2,DOCS,Healthcare,85.9,A-优先三件套,0.0,29.362824,67.66,15.45,20.23,否,无,76.51,15.45,20.23,22.04,10.59,,89.09,30.4,20.62,16.42,0.91,0.01,,6.09,0.54,1.62,-1.91,326458000.0
3,UTHR,Healthcare,85.6,A-优先三件套,0.0,18.486939,15.21,18.02,22.43,否,无,609.35,18.02,22.43,24.84,16.69,21.53,87.92,41.94,18.81,17.51,3.81,0.04,88.89,6.6,0.42,0.78,-1.76,1561200000.0
4,FUTU,Financial Services,85.3,A-优先三件套,0.0,12.696848,37.13,44.24,57.05,否,无,202.53,44.24,57.05,127.26,41.2,,87.12,49.62,28.34,5.86,7.65,0.44,48.14,1.19,0.12,3.59,0.12,40788133000.0
5,KGC,Basic Materials,80.7,A-优先三件套,0.0,12.288973,17.36,26.84,nan,否,无,39.11,26.84,nan,52.99,nan,8.52,52.7,33.9,27.87,20.54,5.95,0.09,40.06,2.35,0.61,1.07,-0.61,3760500000.0
6,OGC,Basic Materials,80.1,A-优先三件套,7.0,8.127994,29.19,25.08,68.0,否,利润增长显著快于营收,43.33,25.08,68.0,38.72,-20.09,14.03,46.35,33.21,27.73,21.89,1.54,0.02,71.39,1.45,0.66,0.86,-1.37,984200000.0
7,LOPE,Consumer Defensive,78.9,A-优先三件套,0.0,18.015328,33.3,6.67,5.39,否,无,223.04,6.67,5.39,7.39,2.87,,53.19,19.54,28.94,21.5,10.82,0.14,75830.25,3.65,1.1,1.1,-4.1,273491000.0
8,CDE,Basic Materials,77.7,A-优先三件套,6.0,18.016807,22.79,38.12,nan,否,股数膨胀>2%,27.77,38.12,nan,225.93,42.36,30.37,44.47,28.3,17.68,16.75,7.51,0.11,24.85,2.47,0.59,1.14,29.49,886879000.0
9,PAAS,Basic Materials,76.7,A-优先三件套,6.0,15.66952,24.8,34.28,nan,否,股数膨胀>2%,69.99,34.28,nan,247.38,19.31,7.63,38.82,27.02,13.98,11.54,8.75,0.12,23.51,2.69,0.43,1.04,26.04,1333000000.0
10,BSX,Healthcare,76.3,A-优先三件套,7.0,19.517646,56.01,16.54,60.72,否,利润增长显著快于营收,109.5,16.54,60.72,43.76,14.1,16.38,69.01,14.44,11.96,6.98,26.19,0.47,10.7,1.62,0.48,1.17,1.14,4534000000.0
11,NTES,Communication Services,75.7,A-优先三件套,0.0,16.639314,22.64,5.29,18.4,否,无,159.55,5.29,18.4,22.34,2.18,-11.48,64.29,29.98,21.06,16.18,3.04,0.04,,3.45,0.54,1.44,-0.33,50739800000.0
12,HONA,Industrials,74.1,A-优先三件套,0.0,26.711726,44.87,12.34,-21.47,否,无,297.5,12.34,-21.47,11.43,6.79,10.85,34.84,10.23,21.19,10.31,1.53,0.03,3.88,1.28,1.01,1.8,0.0,3705000000.0
13,AEM,Basic Materials,73.7,B-保留观察,13.0,18.325342,16.14,27.53,88.11,否,利润增长显著快于营收；股数膨胀>2%,255.24,27.53,88.11,48.15,29.64,12.0,58.13,37.47,18.03,13.84,0.93,0.01,201.46,2.02,0.37,0.96,3.09,6817113000.0
14,LRN,Consumer Defensive,73.5,A-优先三件套,7.0,11.845938,49.98,11.08,38.66,否,利润增长显著快于营收,169.08,11.08,38.66,28.77,12.76,1.37,37.75,13.43,20.72,14.3,22.42,0.33,38.46,5.94,1.06,1.05,-1.2,433814000.0
15,SEZL,Financial Services,71.9,B-保留观察,12.0,27.166503,36.88,53.06,nan,否,ROE>40%；股数膨胀>2%,195.71,53.06,nan,191.07,11.97,,70.06,29.57,78.4,38.11,35.18,0.83,11.83,3.92,1.29,1.56,83.8,209907000.0
16,WSE,Technology,70.6,B-保留观察,7.0,27.317778,24.27,30.26,52.29,否,利润增长显著快于营收,17.47,30.26,52.29,15.88,22.08,,73.17,18.47,25.9,1.72,1.45,0.25,34.87,1.07,0.09,15.1,-1.21,7553900000.0
17,CHKP,Technology,69.9,B-保留观察,0.0,13.142335,38.74,5.37,9.87,否,无,210.66,5.37,9.87,2.97,6.09,,86.72,38.78,36.67,15.59,25.26,0.68,473.55,2.05,0.4,1.11,-4.37,1199400000.0
18,INFY,Technology,69.8,B-保留观察,0.0,14.429729,61.03,3.44,3.58,否,无,30.0,3.44,3.58,12.29,6.29,,30.16,16.44,33.85,19.57,5.88,0.1,96.87,1.98,1.19,1.13,-0.73,4039000000.0
19,MKTX,Financial Services,69.4,B-保留观察,0.0,19.231789,17.07,5.62,-0.48,否,无,195.97,5.62,-0.48,9.73,8.78,,59.42,29.14,21.53,13.24,14.73,0.25,247.8,2.77,0.45,1.31,-1.69,382139000.0
20,MZTI,Consumer Defensive,69.1,B-保留观察,0.0,16.253582,39.32,4.43,23.16,否,无,186.95,4.43,23.16,36.95,-10.91,5.37,23.87,8.77,16.76,13.49,4.36,0.06,,2.38,1.54,1.22,0.02,261496000.0
21,NICE,Technology,69.0,B-保留观察,7.0,14.59513,34.21,10.53,32.03,否,利润增长显著快于营收,153.68,10.53,32.03,14.31,12.48,,66.41,20.78,15.79,11.77,1.74,0.02,,1.55,0.57,1.02,-1.71,716549000.0
22,ITRI,Technology,68.2,B-保留观察,0.0,16.484008,30.38,9.65,nan,否,无,142.0,9.65,nan,154.94,11.1,2.03,37.69,12.72,17.54,8.45,34.08,0.74,16.25,1.8,0.66,1.27,-0.19,405952000.0
23,IESC,Industrials,67.9,B-保留观察,7.0,29.449303,18.81,15.88,106.47,否,利润增长显著快于营收,408.25,15.88,106.47,160.08,14.38,5.01,25.49,9.08,34.61,21.55,5.52,0.1,295.16,1.71,2.37,0.72,-0.81,286096000.0
24,DUOL,Technology,67.8,B-保留观察,14.0,16.797979,60.09,41.08,nan,否,应收增速>营收；股数膨胀>2%,353.0,41.08,nan,93.35,51.61,,72.23,39.91,30.74,25.14,4.71,0.07,,2.61,0.63,0.87,4.93,387823000.0
25,SNDK,Technology,67.4,B-保留观察,14.0,20.327684,36.32,49.29,nan,否,ROE>40%；应收增速>营收,2354.39,49.29,nan,nan,124.39,17.48,71.47,56.46,72.66,64.43,0.79,0.01,179.32,2.29,1.14,1.01,0.0,11671000000.0
26,BIRK,Consumer Cyclical,66.6,B-保留观察,8.0,17.295323,31.59,19.06,23.02,否,应收增速>营收,52.89,19.06,23.02,17.96,33.26,9.56,59.11,16.61,12.79,7.09,26.5,0.48,7.22,2.81,0.43,0.86,-0.7,384300000.0
27,TRI,Industrials,66.5,B-保留观察,0.0,27.088842,43.08,4.1,3.93,否,无,180.0,4.1,3.93,11.45,2.23,-7.44,75.8,20.09,12.61,8.26,13.22,0.2,11.57,0.64,0.41,1.34,-1.02,2651000000.0
28,MORN,Financial Services,66.3,B-保留观察,7.0,20.21313,19.93,9.34,74.44,否,利润增长显著快于营收,265.31,9.34,74.44,25.57,8.23,,61.03,15.3,30.62,10.48,35.13,1.03,13.47,0.99,0.69,1.18,-2.2,589700000.0
29,BRO,Financial Services,66.1,B-保留观察,6.0,22.911887,25.35,17.38,16.19,否,股数膨胀>2%,97.49,17.38,16.19,18.07,12.26,,49.07,18.29,8.4,4.43,26.4,0.63,5.48,1.04,0.24,1.31,5.86,1450000000.0
30,LVS,Consumer Cyclical,66.0,B-保留观察,6.0,17.930593,34.38,46.86,-3.88,否,ROE>40%,70.45,46.86,-3.88,nan,40.59,18.0,49.79,12.5,102.33,7.64,72.01,9.93,3.97,1.14,0.61,1.09,-4.05,3023000000.0
31,TMDX,Healthcare,66.0,B-保留观察,12.0,22.956608,40.88,86.42,nan,否,ROE>40%；股数膨胀>2%,156.0,86.42,nan,nan,45.06,33.37,59.92,31.43,40.22,20.33,48.6,1.1,8.8,7.14,0.65,0.7,2.16,192840000.0
32,HURN,Industrials,64.8,B-保留观察,0.0,23.530805,16.17,13.6,11.61,否,无,186.78,13.6,11.61,31.32,8.05,,31.81,6.18,19.87,7.32,35.92,1.04,,1.17,1.18,1.55,-4.58,193394000.0
33,PATH,Technology,64.7,B-保留观察,0.0,27.714527,15.52,15.01,nan,否,无,19.84,15.01,nan,nan,9.27,,83.17,17.53,13.56,9.34,2.56,0.04,,2.48,0.53,1.25,-1.19,371208000.0
34,OHI,,64.5,B-保留观察,0.0,16.747582,,10.66,11.4,否,无,,10.66,11.4,11.98,,,98.79,49.59,nan,,,,3.9,,,1.49,,878551000.0
35,APP,Communication Services,64.4,B-保留观察,14.0,23.685966,58.68,24.84,nan,否,ROE>40%；应收增速>营收,745.61,24.84,nan,112.68,37.31,,87.86,60.83,156.17,50.79,48.83,1.66,20.09,3.32,0.83,1.18,-3.28,3971094000.0
36,SFM,Consumer Defensive,64.1,B-保留观察,8.0,16.724734,39.99,11.2,26.1,否,应收增速>营收,144.7,11.2,26.1,24.47,59.39,11.21,38.8,5.95,37.32,13.43,46.73,1.39,390.36,0.93,2.26,0.89,-2.99,715998000.0
37,DAVE,Technology,63.9,B-保留观察,12.0,23.86319,18.76,39.34,nan,否,ROE>40%；股数膨胀>2%,458.25,39.34,nan,nan,41.84,,86.69,35.34,55.53,49.79,15.43,0.21,24.86,3.83,1.41,1.45,4.72,290023000.0
38,AGI,Basic Materials,63.7,B-保留观察,21.0,13.458781,32.23,30.11,187.95,否,利润增长显著快于营收；FCF/NI<70%；股数膨胀>2%,55.41,30.11,187.95,38.63,,-1.27,55.25,48.97,19.92,15.12,3.49,0.05,103.8,2.0,0.31,0.31,2.16,795300000.0
39,LOGI,Technology,63.5,B-保留观察,7.0,18.395519,22.73,2.17,24.95,否,利润增长显著快于营收,129.66,2.17,24.95,24.77,-7.07,-10.48,43.2,14.69,32.16,19.25,2.29,0.04,,2.22,1.31,1.37,-3.43,1037207000.0
40,ZTS,Healthcare,63.3,B-保留观察,6.0,12.693826,50.46,5.42,8.13,否,ROE>40%,156.49,5.42,8.13,14.95,9.38,1.19,71.84,28.23,80.25,18.0,59.73,2.77,16.14,3.03,0.64,0.85,-2.88,2904000000.0
41,SAP,Technology,63.3,B-保留观察,7.0,27.745581,24.77,7.63,46.36,否,利润增长显著快于营收,281.37,7.63,46.36,17.48,0.05,,72.86,19.46,16.06,9.9,10.63,0.17,21.87,1.16,0.51,1.18,0.01,9156000000.0
42,BVN,Basic Materials,63.1,B-保留观察,8.0,8.630458,19.01,28.05,9.08,否,FCF/NI<70%,44.67,28.05,9.08,nan,33.88,-5.03,45.18,45.17,19.26,14.13,0.15,0.0,17.57,2.01,0.31,0.13,0.0,238347000.0
