二筛排名,代码,Yahoo代码,行业,二筛总分,优先级,异常惩罚,PE_TTM,距52周高点跌幅_%,营收5年CAGR_%,净利润5年CAGR_%,已在Watchlist,量化警示,52周高点,营收3年CAGR_%,净利润3年CAGR_%,经营现金流3年CAGR_%,应收账款3年CAGR_%,库存3年CAGR_%,毛利率_%,净利率_%,ROE_%,ROA_%,资产负债率_%,长期债务权益比,利息保障倍数,流动比率,总资产周转率,FCF净利润转化率,股数3年CAGR_%,经营现金流_原始值
1,09992,9992.HK,Consumer Cyclical,98.7,A-优先三件套,0.0,14.126491,53.71,42.66,54.09,否,无,339.8,42.66,54.09,85.27,40.75,24.56,66.79,23.97,29.26,25.17,6.49,0.09,103.42,3.63,1.05,1.42,-1.19,4954220000.0
2,09636,9636.HK,Consumer Defensive,94.6,A-优先三件套,0.0,12.712912,65.66,22.85,26.02,否,无,84.05,22.85,26.02,51.31,1.64,nan,82.24,26.87,31.04,20.57,0.08,0.0,726.67,2.14,0.77,0.83,0.18,824247000.0
3,01318,1318.HK,Consumer Defensive,93.0,A-优先三件套,0.0,19.636078,52.05,40.29,50.66,否,无,112.0,40.29,50.66,45.66,28.08,20.09,84.22,23.84,25.8,24.07,1.38,0.02,693.14,5.2,1.01,0.84,1.37,1199426000.0
4,01415,1415.HK,Technology,87.0,A-优先三件套,0.0,13.012935,47.61,46.37,32.68,否,无,43.06,46.37,32.68,48.23,47.09,18.7,10.25,5.63,27.12,13.19,10.85,0.23,15.14,1.69,2.34,1.23,1.14,316306000.0
5,02259,2259.HK,Basic Materials,83.4,A-优先三件套,7.0,22.343139,50.97,43.6,105.82,否,利润增长显著快于营收,268.0,43.6,105.82,49.8,22.52,29.55,52.7,29.75,19.12,17.82,5.2,0.08,89.47,4.09,0.6,1.12,0.66,2402470000.0
6,03606,3606.HK,Consumer Cyclical,81.4,A-优先三件套,8.0,14.556586,33.6,17.68,25.11,否,FCF/NI<70%,86.0,17.68,25.11,26.94,17.26,7.96,37.27,20.34,24.8,13.97,24.11,0.45,35.73,1.54,0.69,0.63,0.0,12055090552.0
7,09985,9985.HK,Consumer Defensive,80.9,A-优先三件套,7.0,11.87684,44.93,15.96,111.19,否,利润增长显著快于营收,14.4,15.96,111.19,7.5,10.84,14.05,47.99,19.73,19.52,14.59,19.58,0.3,73.73,1.91,0.74,0.72,1.12,1494379000.0
8,02367,2367.HK,Consumer Defensive,80.9,A-优先三件套,8.0,14.437601,55.74,32.65,24.09,否,应收增速>营收,65.7,32.65,24.09,24.1,51.08,28.6,80.34,34.7,19.32,20.28,0.09,0.0,7783.46,11.27,0.58,0.71,1.94,1780622000.0
9,00027,0027.HK,Consumer Cyclical,79.5,A-优先三件套,0.0,13.768473,24.15,62.51,nan,否,无,44.22,62.51,nan,nan,1.91,1.59,55.95,21.68,12.84,10.98,2.04,0.02,69.55,1.56,0.51,1.01,0.08,14253563000.0
10,03355,3355.HK,Technology,78.0,A-优先三件套,8.0,21.026549,37.47,14.26,18.17,否,应收增速>营收,57.0,14.26,18.17,68.46,28.87,-10.46,54.46,20.28,27.85,16.03,16.08,0.29,25.37,1.81,0.79,1.22,0.0,816725000.0
11,00780,0780.HK,Consumer Cyclical,77.8,A-优先三件套,0.0,11.329012,45.55,43.35,nan,否,无,25.42,43.35,nan,142.5,36.57,nan,66.29,12.23,10.51,5.95,12.89,0.24,12.76,1.38,0.49,1.58,1.62,4310911000.0
12,00285,0285.HK,Technology,77.8,A-优先三件套,0.0,13.827973,48.65,18.75,23.68,否,无,46.7,18.75,23.68,46.57,-1.62,2.73,5.99,1.96,10.2,4.04,10.63,0.26,11.59,1.17,2.06,4.18,-0.11,18768443000.0
13,09911,9911.HK,Technology,77.6,B-保留观察,13.0,11.377205,40.49,35.0,92.93,否,利润增长显著快于营收；股数膨胀>2%,14.09,35.0,92.93,66.94,35.64,nan,55.85,13.57,38.39,23.43,1.96,0.04,51.91,2.47,1.73,1.52,5.86,1454668000.0
14,00425,0425.HK,Consumer Cyclical,77.3,A-优先三件套,0.0,10.677207,38.32,14.14,21.51,否,无,46.76,14.14,21.51,38.34,3.83,8.17,28.0,10.46,11.45,6.64,21.37,0.38,11.14,1.16,0.64,0.97,0.26,4912275000.0
15,06055,6055.HK,Consumer Defensive,76.6,A-优先三件套,0.0,16.070423,52.56,20.54,37.77,否,无,48.1,20.54,37.77,nan,-12.14,17.42,10.1,6.72,26.9,10.43,31.44,0.77,9.14,1.68,1.55,1.05,0.0,1035402000.0
16,02142,2142.HK,Healthcare,75.5,A-优先三件套,6.0,14.752584,29.2,57.21,nan,否,股数膨胀>2%,17.98,57.21,nan,nan,-5.91,82.82,94.47,57.81,24.88,25.54,16.35,0.22,46.83,5.17,0.44,0.76,4.35,81334000.0
17,01024,1024.HK,Communication Services,72.8,A-优先三件套,8.0,9.563974,52.22,14.88,nan,否,FCF/NI<70%,92.6,14.88,nan,222.7,8.93,,55.02,13.04,23.4,12.23,21.25,0.44,23.82,1.15,0.94,0.63,-0.01,26716000000.0
18,06618,6618.HK,Healthcare,70.4,B-保留观察,7.0,20.074644,45.33,16.26,141.83,否,利润增长显著快于营收,71.7,16.26,141.83,19.88,-12.8,4.58,24.78,7.32,8.95,7.03,0.78,0.01,544.34,2.72,0.96,1.86,0.31,10173949000.0
19,06066,6066.HK,Financial Services,69.9,B-保留观察,0.0,7.241308,25.32,15.45,7.87,否,无,15.76,15.45,7.87,20.72,-3.24,9.3,77.96,22.65,7.93,1.52,27.38,1.56,2.51,1.28,0.07,4.47,-0.0,42719709000.0
20,00325,0325.HK,Consumer Cyclical,69.7,B-保留观察,8.0,18.433505,57.15,107.61,nan,否,应收增速>营收,128.0,107.61,nan,nan,161.0,75.61,46.82,21.75,22.09,22.13,0.82,0.01,398.2,2.85,1.02,0.87,0.97,896927000.0
21,09961,9961.HK,Consumer Cyclical,69.7,B-保留观察,15.0,6.354527,41.24,46.04,187.37,否,利润增长显著快于营收；FCF/NI<70%,613.0,46.04,187.37,75.92,40.58,,80.58,53.35,19.48,13.06,11.82,0.18,46.76,1.55,0.24,0.41,0.18,14379000000.0
22,03393,3393.HK,Industrials,69.3,B-保留观察,7.0,17.857143,40.83,19.82,48.4,否,利润增长显著快于营收,33.8,19.82,48.4,17.7,20.84,9.98,35.71,10.51,16.97,6.35,14.27,0.4,17.37,1.65,0.6,0.73,0.15,1407697000.0
23,02883,2883.HK,Energy,69.0,B-保留观察,0.0,7.519609,41.87,12.14,17.66,否,无,11.74,12.14,17.66,17.84,1.8,-1.95,17.39,7.64,8.25,4.59,20.0,0.36,9.04,1.06,0.6,1.41,0.0,11289935638.0
24,01585,1585.HK,Consumer Cyclical,68.1,B-保留观察,0.0,9.503789,32.71,6.02,10.45,否,无,15.01,6.02,10.45,24.84,6.59,-0.73,19.11,7.87,27.83,10.66,7.05,0.2,78.87,0.9,1.36,1.79,0.91,5989810000.0
25,00175,0175.HK,Consumer Cyclical,67.0,B-保留观察,6.0,11.340122,27.56,32.63,47.42,否,股数膨胀>2%,25.62,32.63,47.42,43.44,-17.3,43.43,16.61,4.88,18.24,6.0,15.05,0.47,30.0,0.89,1.23,1.74,2.64,47274244000.0
26,02899,2899.HK,Basic Materials,66.4,B-保留观察,7.0,13.725107,24.86,8.9,37.21,否,利润增长显著快于营收,46.98,8.9,37.21,38.04,5.55,12.12,27.73,14.83,27.91,11.4,32.13,0.89,22.76,1.14,0.77,0.86,0.33,75429516296.0
27,02282,2282.HK,Consumer Cyclical,64.8,B-保留观察,6.0,8.337096,36.21,87.6,nan,否,ROE>40%,17.37,87.6,nan,nan,80.77,14.5,37.45,14.59,156.27,16.84,64.6,5.9,5.08,0.54,1.15,1.41,-0.04,8737668000.0
28,03898,3898.HK,Industrials,64.2,B-保留观察,8.0,10.256751,24.96,17.1,17.03,否,FCF/NI<70%,46.88,17.1,17.03,16.06,11.4,14.36,28.89,14.33,9.64,5.99,12.81,0.22,186.74,1.7,0.42,-0.01,-1.39,3361120915.0
29,01882,1882.HK,Industrials,64.2,B-保留观察,8.0,8.749993,23.13,12.94,13.38,否,FCF/NI<70%,26.2,12.94,13.38,25.02,15.25,11.52,32.7,18.62,14.32,9.87,9.12,0.14,49.3,2.0,0.53,0.67,0.0,3479819000.0
30,00220,0220.HK,Consumer Defensive,63.6,B-保留观察,0.0,13.539586,23.93,3.92,18.82,否,无,9.82,3.92,18.82,31.93,-15.32,-0.73,33.2,6.46,15.07,8.57,4.41,0.08,129.55,0.93,1.33,1.07,0.0,3284365000.0
31,01133,1133.HK,Industrials,63.2,B-保留观察,13.0,12.988276,40.34,22.86,200.1,否,利润增长显著快于营收；股数膨胀>2%,28.88,22.86,200.1,48.66,-8.2,26.1,14.27,5.83,14.98,3.54,7.98,0.35,19.54,1.13,0.61,1.07,9.43,2284202514.81
32,01928,1928.HK,Consumer Cyclical,61.8,B-保留观察,6.0,16.804363,35.64,66.76,nan,否,ROE>40%,22.5,66.76,nan,nan,31.14,17.73,58.22,12.04,63.95,8.24,67.14,5.07,3.78,0.85,0.68,1.74,0.0,2105000000.0
33,02096,2096.HK,Healthcare,61.8,B-保留观察,0.0,19.532948,18.7,6.93,13.02,否,无,15.08,6.93,13.02,14.14,10.02,24.59,81.61,17.38,14.29,10.21,8.06,0.13,16.81,2.21,0.59,0.86,-0.82,2013530000.0
34,01109,1109.HK,Real Estate,61.3,B-保留观察,0.0,8.284378,17.6,10.77,-3.28,否,无,39.88,10.77,-3.28,215.97,1.3,-7.07,21.23,9.03,8.78,2.3,26.66,0.99,19.26,1.66,0.25,1.49,0.0,38793151000.0
35,02018,2018.HK,Technology,61.1,B-保留观察,7.0,16.224959,19.53,15.55,45.16,否,利润增长显著快于营收,51.0,15.55,45.16,18.0,17.05,0.98,22.05,7.9,10.31,5.25,22.11,0.44,8.31,1.49,0.67,1.79,-1.61,7183014000.0
36,02507,2507.HK,Industrials,60.9,B-保留观察,8.0,14.877284,42.56,14.85,16.39,否,FCF/NI<70%,76.5,14.85,16.39,3.19,20.98,26.73,35.23,10.25,15.71,9.84,2.11,0.03,48.8,1.63,0.96,0.25,0.01,145997000.0
37,00631,0631.HK,Industrials,60.7,B-保留观察,8.0,12.727598,53.42,16.13,2.23,否,FCF/NI<70%,16.24,16.13,2.23,31.34,19.21,14.74,22.29,7.31,13.48,4.14,25.06,0.85,9.62,1.28,0.57,0.66,0.73,2457148000.0
38,09973,9973.HK,Consumer Cyclical,60.5,B-保留观察,8.0,6.863016,27.22,48.01,44.79,否,FCF/NI<70%,34.98,48.01,44.79,26.94,50.59,41.86,13.8,6.33,37.47,8.04,7.73,0.4,11.97,1.05,1.27,0.28,0.24,20130000000.0
39,02611,2611.HK,Financial Services,59.7,B-保留观察,6.0,10.280288,22.63,21.35,34.19,否,股数膨胀>2%,18.56,21.35,34.19,16.94,,,nan,44.82,8.42,1.76,24.11,1.54,,,0.04,2.86,25.56,81138252377.0
40,00322,0322.HK,Consumer Defensive,59.3,B-保留观察,0.0,12.763558,17.23,0.15,19.58,否,无,13.7,0.15,19.58,22.38,-7.96,-11.43,34.82,5.69,30.04,8.33,27.73,1.02,22.71,0.72,1.46,1.13,0.01,8201664000.0
41,02331,2331.HK,Consumer Cyclical,59.0,B-保留观察,0.0,11.643434,37.19,4.68,-10.27,否,无,23.42,4.68,-10.27,7.42,10.82,3.52,48.95,9.92,10.63,8.0,5.45,0.07,33.51,2.85,0.81,1.21,-1.09,4851532000.0
42,06656,6656.HK,Industrials,58.6,B-保留观察,14.0,24.470624,52.5,1142.49,nan,否,ROE>40%；FCF/NI<70%,669.0,1142.49,nan,nan,nan,1018.42,50.05,32.43,77.05,57.95,20.65,0.46,139.64,1.56,1.79,-0.2,0.0,-199990000.0
43,01910,1910.HK,Consumer Cyclical,57.4,C-暂缓,0.0,9.186403,35.85,6.7,-2.59,否,无,21.98,6.7,-2.59,22.16,7.98,-2.38,59.6,8.26,18.06,5.65,45.91,1.48,4.13,1.66,0.68,1.43,-1.22,506300000.0
44,09896,9896.HK,Consumer Cyclical,56.9,C-暂缓,8.0,12.615243,53.26,28.59,23.6,否,应收增速>营收,51.95,28.59,23.6,22.39,58.18,45.92,44.99,5.62,11.35,5.15,37.83,1.02,5.44,1.66,0.92,1.31,-1.27,2577891000.0
45,06181,6181.HK,Consumer Cyclical,56.5,C-暂缓,27.0,11.133905,60.89,176.31,272.04,否,利润增长显著快于营收；ROE>40%；FCF/NI<70%；股数膨胀>2%,898.0,176.31,272.04,nan,133.73,170.92,37.63,17.83,43.87,35.29,31.36,0.6,46.98,2.08,1.98,-1.44,2.86,-6848198000.0
46,01810,1810.HK,Technology,56.4,C-暂缓,15.0,17.400655,55.16,17.76,156.28,否,利润增长显著快于营收；FCF/NI<70%,59.9,17.76,156.28,nan,16.93,17.1,22.26,9.11,15.64,9.14,8.23,0.16,14.66,1.32,1.0,0.51,1.32,34142377000.0
47,00016,0016.HK,Real Estate,56.4,C-暂缓,0.0,15.278511,22.04,-4.1,-13.68,否,无,148.8,-4.1,-13.68,26.21,-35.44,1.66,45.05,26.64,3.14,2.35,15.85,0.21,6.83,4.01,0.09,1.04,0.0,24516000000.0
48,02099,2099.HK,Basic Materials,55.1,C-暂缓,15.0,16.878714,17.16,5.84,27.98,否,利润增长显著快于营收；应收增速>营收,248.2,5.84,27.98,16.65,20.66,0.16,51.66,35.64,20.22,14.84,16.31,0.24,35.89,2.25,0.42,1.37,0.0,709984000.0
49,02333,2333.HK,Consumer Cyclical,55.0,C-暂缓,10.0,7.34317,55.56,17.75,6.07,否,经营现金流3Y为负,19.86,17.75,6.07,-29.1,13.24,5.33,16.97,4.49,11.22,4.45,22.26,0.57,16.99,1.09,0.99,2.92,-0.79,17753789028.71
50,00914,0914.HK,Basic Materials,54.5,C-暂缓,0.0,10.452371,33.82,-14.49,-19.69,否,无,27.14,-14.49,-19.69,19.93,-19.67,-13.35,24.16,9.83,4.22,3.18,10.42,0.14,17.01,3.19,0.32,0.86,0.0,16643907685.0
51,06060,6060.HK,Financial Services,53.5,C-暂缓,6.0,13.297273,46.51,16.26,nan,否,股数膨胀>2%,20.92,16.26,nan,nan,23.18,,nan,3.17,4.33,2.39,5.93,0.11,5.86,,0.76,2.26,4.66,3535832000.0
52,01128,1128.HK,Consumer Cyclical,52.6,C-暂缓,0.0,18.741935,21.49,72.54,nan,否,无,7.4,72.54,nan,nan,37.81,6.81,38.9,5.62,-12.07,4.08,110.76,-3.33,1.64,1.23,0.73,3.33,-0.02,7369391000.0
53,01193,1193.HK,Utilities,52.4,C-暂缓,0.0,10.248441,32.08,1.19,-9.17,否,无,23.38,1.19,-9.17,14.75,-19.53,-5.47,17.82,3.63,8.03,2.64,17.7,0.55,11.79,0.54,0.73,0.93,-0.24,6575111000.0
54,00010,0010.HK,Real Estate,52.2,C-暂缓,0.0,12.866839,23.26,-1.63,-20.42,否,无,17.54,-1.63,-20.42,10.91,-8.83,6.93,65.64,13.16,1.39,0.58,23.33,0.56,5.8,1.55,0.04,4.2,0.0,6062000000.0
55,00856,0856.HK,Technology,51.9,C-暂缓,0.0,10.485357,19.5,8.08,18.03,否,无,12.72,8.08,18.03,207.91,12.29,4.76,4.46,1.39,13.35,3.33,21.48,0.91,5.66,1.31,2.4,1.41,-0.49,1954632000.0
56,01364,1364.HK,Consumer Cyclical,51.8,C-暂缓,29.0,13.770227,25.96,32.44,103.93,否,利润增长显著快于营收；ROE>40%；应收增速>营收；FCF/NI<70%,31.28,32.44,103.93,33.55,150.27,22.59,33.0,24.08,53.39,26.43,39.16,1.12,51.7,1.39,1.1,0.69,0.65,2408612000.0
57,06862,6862.HK,Consumer Cyclical,51.0,C-暂缓,23.0,13.517638,37.01,11.67,43.36,否,利润增长显著快于营收；ROE>40%；经营现金流3Y为负,17.86,11.67,43.36,-2.72,13.46,-1.93,26.15,9.37,40.44,18.05,26.87,0.59,25.4,1.33,1.93,0.97,-0.96,5664189000.0
58,03888,3888.HK,Communication Services,51.0,C-暂缓,10.0,11.598861,28.43,8.23,nan,否,经营现金流3Y为负,38.2,8.23,nan,-3.79,-2.89,-11.72,81.21,20.7,7.7,5.15,0.09,0.0,59.98,5.68,0.25,0.97,0.28,2291620000.0
59,02318,2318.HK,Financial Services,50.7,C-暂缓,0.0,6.842245,23.29,6.7,6.68,否,无,74.7,6.7,6.68,11.37,10.63,,nan,14.53,13.47,1.0,10.35,1.44,9.59,,0.07,4.82,-0.32,658632000000.0
60,01378,1378.HK,Basic Materials,50.1,C-暂缓,15.0,8.87997,43.04,7.22,37.53,否,利润增长显著快于营收；应收增速>营收,41.36,7.22,37.53,72.31,24.48,-0.57,25.56,13.94,17.07,9.54,29.56,0.55,10.49,2.12,0.68,1.23,1.58,38995459000.0
61,01698,1698.HK,Communication Services,48.8,C-暂缓,15.0,11.316239,64.04,5.1,44.33,否,利润增长显著快于营收；应收增速>营收,104.0,5.1,44.33,11.0,13.49,43.07,44.18,33.6,13.77,11.46,3.72,0.05,109.83,2.22,0.34,0.82,-3.34,10231000000.0
62,03933,3933.HK,Healthcare,48.0,C-暂缓,14.0,6.599631,50.08,5.24,9.68,否,FCF/NI<70%；股数膨胀>2%,17.98,5.24,9.68,22.69,1.76,3.07,41.74,15.79,11.99,7.35,16.15,0.29,37.25,1.83,0.47,0.41,2.78,3749820000.0
63,00179,0179.HK,Consumer Cyclical,47.5,C-暂缓,0.0,11.513634,57.4,0.04,8.6,否,无,45.78,0.04,8.6,2.89,0.07,1.46,23.02,5.54,7.12,4.84,8.94,0.14,10.64,2.39,0.87,0.91,-0.07,471090000.0
64,01787,1787.HK,Basic Materials,47.2,C-暂缓,15.0,17.505919,59.27,27.51,56.03,否,利润增长显著快于营收；应收增速>营收,54.45,27.51,56.03,93.39,38.71,19.05,20.46,4.54,10.56,2.86,38.48,1.46,5.71,0.47,0.63,1.81,1.01,21492754843.56
65,01286,1286.HK,Industrials,47.1,C-暂缓,8.0,21.623377,29.45,5.38,7.66,否,FCF/NI<70%,11.8,5.38,7.66,14.55,5.56,-2.2,27.48,14.25,12.96,8.27,25.89,0.43,10.06,1.6,0.58,0.49,0.05,1258721000.0
66,02313,2313.HK,Consumer Cyclical,47.1,C-暂缓,8.0,9.911085,41.45,3.71,8.48,否,FCF/NI<70%,73.0,3.71,8.48,6.24,11.53,2.34,26.35,18.79,15.54,10.59,26.11,0.4,20.88,2.24,0.56,0.48,0.0,5549401000.0
67,03668,3668.HK,Energy,46.4,C-暂缓,0.0,17.838489,37.16,-18.33,-50.31,否,无,49.08,-18.33,-50.31,,-10.37,14.01,76.15,7.68,4.87,3.58,0.69,0.01,18.8,2.32,0.47,1.15,0.0,
68,01258,1258.HK,Basic Materials,45.9,C-暂缓,7.0,19.789679,16.22,-5.82,14.94,否,利润增长显著快于营收,19.05,-5.82,14.94,6.25,-45.84,-3.49,31.07,11.82,16.26,9.03,1.88,0.04,160.04,2.78,0.76,1.72,1.43,938657000.0
69,00921,0921.HK,Consumer Cyclical,45.9,C-暂缓,7.0,9.045716,15.43,5.86,30.46,否,利润增长显著快于营收,27.48,5.86,30.46,12.86,6.99,1.55,21.31,3.62,18.24,4.56,5.64,0.23,29.22,1.13,1.26,1.16,0.54,5796029180.51
70,01766,1766.HK,Industrials,45.6,C-暂缓,0.0,9.55745,24.63,6.99,4.19,否,无,6.76,6.99,4.19,0.32,9.4,14.65,21.38,4.83,7.66,2.48,3.94,0.13,18.68,1.18,0.51,1.12,0.0,24185716000.0
71,00688,0688.HK,Real Estate,45.1,C-暂缓,0.0,10.237421,20.9,-2.31,-18.29,否,无,16.7,-2.31,-18.29,nan,-16.4,-0.32,15.51,7.55,3.27,1.39,27.05,0.64,36.05,2.46,0.18,1.3,-0.0,16733455000.0
72,00101,0101.HK,Real Estate,44.3,C-暂缓,6.0,22.571292,28.35,-1.3,-22.21,否,股数膨胀>2%,10.3,-1.3,-22.21,12.31,-8.9,6.95,65.6,18.15,1.34,0.81,24.17,0.4,5.76,1.51,0.04,3.11,3.97,5864000000.0
73,01428,1428.HK,Financial Services,44.2,C-暂缓,8.0,17.696203,58.59,4.57,2.6,否,FCF/NI<70%,16.88,4.57,2.6,nan,8.29,,88.05,66.47,30.86,7.76,51.4,2.27,5.85,1.27,0.12,-0.81,0.0,-540421000.0
74,00012,0012.HK,Real Estate,44.2,C-暂缓,0.0,24.105263,22.94,0.25,-15.1,否,无,35.66,0.25,-15.1,3.45,-57.73,-6.45,31.91,21.96,1.75,1.06,14.78,0.25,3.81,3.1,0.05,2.18,0.0,12325000000.0
75,00144,0144.HK,Industrials,43.8,C-暂缓,0.0,9.720416,16.25,2.1,-6.71,否,无,17.85,2.1,-6.71,2.56,3.17,15.98,48.71,48.7,5.89,,nan,0.33,7.03,0.72,,1.32,1.59,9472000000.0
76,03330,3330.HK,Basic Materials,43.8,C-暂缓,21.0,18.28479,27.56,9.08,85.89,否,利润增长显著快于营收；FCF/NI<70%；股数膨胀>2%,31.2,9.08,85.89,9.4,-3.44,24.47,21.46,11.74,31.63,17.1,38.91,0.86,16.41,1.16,1.46,-0.25,14.19,725733000.0
77,02285,2285.HK,Industrials,43.6,C-暂缓,8.0,13.889208,24.49,-6.47,-11.2,否,应收增速>营收,27.2,-6.47,-11.2,115.04,27.77,-9.28,32.92,6.0,9.59,5.09,15.21,0.28,14.23,2.18,0.85,1.6,1.4,229355000.0
78,06690,6690.HK,Consumer Cyclical,43.4,C-暂缓,8.0,9.048076,25.04,7.47,9.95,否,应收增速>营收,28.2,7.47,9.95,8.68,19.43,4.05,26.66,6.47,16.47,6.67,15.32,0.38,9.76,1.07,1.03,0.88,0.73,26002941969.92
79,02788,2788.HK,Basic Materials,42.6,C-暂缓,23.0,9.624969,51.94,11.46,45.79,否,利润增长显著快于营收；应收增速>营收；FCF/NI<70%,33.96,11.46,45.79,38.12,43.93,11.42,24.76,14.62,28.38,11.7,44.41,1.31,6.24,0.71,0.8,0.48,1.23,4925305000.0
