二筛排名,代码,Yahoo代码,行业,二筛总分,优先级,异常惩罚,PE_TTM,距52周高点跌幅_%,营收5年CAGR_%,净利润5年CAGR_%,已在Watchlist,量化警示,52周高点,营收3年CAGR_%,净利润3年CAGR_%,经营现金流3年CAGR_%,应收账款3年CAGR_%,库存3年CAGR_%,毛利率_%,净利率_%,ROE_%,ROA_%,资产负债率_%,长期债务权益比,利息保障倍数,流动比率,总资产周转率,FCF净利润转化率,股数3年CAGR_%,经营现金流_原始值
80,81810,81810.HK,,42.5,C-暂缓,0.0,16.778426,58.07,,,否,无,54.9,,,,,,nan,nan,nan,,,,,,,nan,,
81,82020,82020.HK,,42.2,C-暂缓,0.0,13.202305,33.0,,,否,无,95.75,,,,,,nan,nan,nan,,,,,,,nan,,
82,82331,82331.HK,,41.9,C-暂缓,0.0,11.144366,38.18,,,否,无,20.48,,,,,,nan,nan,nan,,,,,,,nan,,
83,01157,1157.HK,Industrials,41.9,C-暂缓,15.0,13.007284,31.12,7.77,28.2,否,利润增长显著快于营收；FCF/NI<70%,10.67,7.77,28.2,26.21,7.39,13.04,28.04,9.32,8.44,3.78,25.25,0.58,10.85,1.72,0.41,0.05,-0.11,4873901652.93
84,01199,1199.HK,Industrials,41.8,C-暂缓,6.0,8.079187,21.95,5.01,0.6,否,股数膨胀>2%,6.56,5.01,0.6,9.36,4.82,5.81,24.9,18.7,4.87,2.52,32.47,0.65,3.89,0.88,0.13,1.32,4.8,611634000.0
85,01776,1776.HK,Financial Services,41.6,C-暂缓,8.0,7.752915,19.81,12.11,20.0,否,FCF/NI<70%,21.4,12.11,20.0,nan,,,nan,40.19,8.78,1.58,26.19,1.64,,,0.04,-2.08,-0.07,-27780960722.97
86,80700,80700.HK,,41.5,C-暂缓,0.0,16.008687,34.0,,,否,无,625.5,,,,,,nan,nan,nan,,,,,,,nan,,
87,03899,3899.HK,Energy,41.3,C-暂缓,18.0,12.467294,44.52,10.33,2.47,否,经营现金流3Y为负；FCF/NI<70%,13.88,10.33,2.47,-12.04,-0.05,4.23,13.96,4.31,9.35,3.69,11.71,0.31,16.85,1.62,0.86,0.64,0.03,1742844000.0
88,01908,1908.HK,Real Estate,41.1,C-暂缓,14.0,8.333991,22.04,11.14,-9.55,否,应收增速>营收；股数膨胀>2%,19.19,11.14,-9.55,84.11,25.19,-5.1,13.89,2.67,8.67,0.94,21.92,1.92,22.23,1.65,0.35,5.92,7.11,21961699000.0
89,81024,81024.HK,,40.9,C-暂缓,0.0,9.386746,55.24,,,否,无,84.8,,,,,,nan,nan,nan,,,,,,,nan,,
90,06031,6031.HK,Industrials,40.8,C-暂缓,13.0,19.942141,23.86,3.53,25.14,否,利润增长显著快于营收；股数膨胀>2%,27.16,3.53,25.14,69.51,0.69,4.5,27.91,9.37,9.52,5.17,14.27,0.28,18.42,1.73,0.55,2.05,2.68,19975261000.0
91,03931,3931.HK,Industrials,40.6,C-暂缓,16.0,17.148362,54.71,29.65,28.74,否,应收增速>营收；FCF/NI<70%,39.3,29.65,28.74,68.89,53.65,-15.38,16.69,3.32,4.02,1.09,39.25,1.59,3.66,0.79,0.33,-3.51,0.0,10160086000.0
92,06099,6099.HK,Financial Services,39.9,C-暂缓,8.0,9.008366,20.95,10.31,15.24,否,FCF/NI<70%,19.0,10.31,15.24,nan,,,nan,52.4,8.95,1.67,29.45,1.61,,,0.03,-2.6,0.0,-31368505124.65
93,86618,86618.HK,,39.7,C-暂缓,0.0,20.083333,47.07,,,否,无,63.75,,,,,,nan,nan,nan,,,,,,,nan,,
94,89988,89988.HK,,39.7,C-暂缓,0.0,19.336716,37.42,,,否,无,170.5,,,,,,nan,nan,nan,,,,,,,nan,,
95,01138,1138.HK,Energy,39.6,C-暂缓,21.0,12.596491,35.89,8.48,40.33,否,利润增长显著快于营收；FCF/NI<70%；股数膨胀>2%,22.4,8.48,40.33,21.4,6.3,-8.53,25.77,17.03,8.7,4.64,38.48,0.76,4.85,1.22,0.27,0.43,4.63,7389147000.0
96,80016,80016.HK,,39.6,C-暂缓,0.0,14.523185,22.67,,,否,无,128.8,,,,,,nan,nan,nan,,,,,,,nan,,
97,09987,9987.HK,Consumer Cyclical,39.6,C-暂缓,7.0,17.695284,16.36,7.23,28.09,否,利润增长显著快于营收,451.2,7.23,28.09,1.23,14.07,1.65,17.28,7.87,17.27,8.48,21.72,0.44,,1.05,1.08,0.9,-5.45,1466000000.0
98,00288,0288.HK,Consumer Defensive,39.6,C-暂缓,8.0,8.657954,24.17,-0.13,4.58,否,应收增速>营收,10.84,-0.13,4.58,11.9,10.33,-3.37,17.79,5.59,14.01,7.51,18.82,0.37,18.31,1.9,1.34,1.22,0.0,2526000000.0
99,81299,81299.HK,,39.5,C-暂缓,0.0,14.840614,23.03,,,否,无,81.65,,,,,,nan,nan,nan,,,,,,,nan,,
100,07618,7618.HK,Consumer Cyclical,39.4,C-暂缓,0.0,14.322034,21.26,,,否,无,17.17,,,,,,nan,nan,nan,,,,,,,nan,,
101,02997,2997.HK,,39.3,C-暂缓,0.0,15.266005,,,,否,无,,,,,,,nan,nan,nan,,,,,,,nan,,
102,82333,82333.HK,,39.1,C-暂缓,0.0,7.167139,56.95,,,否,无,17.63,,,,,,nan,nan,nan,,,,,,,nan,,
103,02338,2338.HK,Consumer Cyclical,39.1,C-暂缓,7.0,22.554002,24.43,9.79,30.62,否,利润增长显著快于营收,45.44,9.79,30.62,nan,17.06,1.83,21.48,4.72,11.73,3.07,10.75,0.42,5.47,1.15,0.65,2.0,-0.05,28681522296.05
