代码,行业,最新价,流通市值_亿美元,PE_TTM,距52周高点跌幅_%,52周高点,营收5年CAGR_%,净利润5年CAGR_%,最新季度营收同比_%,最新季度净利润同比_%,营业利润占比_%,ROE_%,资产负债率_%,经营现金流_原始值,数据日期,待核验项,已在Watchlist
JBS,Consumer Defensive,13.72,42.91,13.212274,26.43,18.65,5.88,-12.26,,,,23.26,50.62,2931953000.0,2026-08-20,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
MBGL,Technology,20.245,61.0,29.755399,22.13,26.0,8.56,-7.32,,,,1.22,1.91,485000000.0,2026-08-20,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
MIAX,Financial Services,41.37,36.19,28.135828,27.6,57.14,19.57,nan,,,,-7.95,0.65,167833000.0,2026-08-20,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
MRP,Real Estate,30.26,46.7,10.643046,15.94,36.0,nan,nan,,,,6.49,22.81,3672821000.0,2026-08-20,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
MZTI,Consumer Defensive,114.5,22.76,18.299966,40.04,190.96,4.43,23.16,,,,16.76,4.36,261496000.0,2026-08-20,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
OGC,Basic Materials,30.105,66.85,8.006127,30.52,43.33,25.08,68.0,,,,27.73,1.54,984200000.0,2026-08-20,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
OTF,Financial Services,11.08,51.11,13.849367,29.96,15.82,149.84,235.95,,,,8.96,42.73,-915952000.0,2026-08-20,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
SGI,Consumer Cyclical,65.06,123.46,26.298923,33.99,98.56,14.96,-5.54,,,,12.36,57.54,800100000.0,2026-08-20,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
SNDK,Technology,1616.0,2261.98,21.26993,31.36,2354.39,49.29,nan,,,,72.66,0.79,11671000000.0,2026-08-20,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
VG,Energy,14.4,69.92,10.852952,18.27,17.62,28.77,10.84,,,,37.52,65.3,6566000000.0,2026-08-20,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
WSE,Technology,12.48,95.94,25.831096,28.56,17.47,30.26,52.29,,,,25.9,1.45,7553900000.0,2026-08-20,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
ALGN,Healthcare,159.29,111.88,28.32283,20.53,200.44,2.61,4.31,,,,10.13,1.84,593223000.0,2026-08-20,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
AN,Consumer Cyclical,199.07,65.37,9.278409,15.58,235.81,0.79,-22.18,,,,27.73,70.76,111900000.0,2026-08-20,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
ANDE,Consumer Defensive,68.844,22.13,13.172855,16.16,82.11,-14.03,-9.95,,,,7.69,25.43,176998000.0,2026-08-20,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
