代码,行业,最新价,流通市值_亿美元,PE_TTM,距52周高点跌幅_%,52周高点,营收5年CAGR_%,净利润5年CAGR_%,最新季度营收同比_%,最新季度净利润同比_%,营业利润占比_%,ROE_%,资产负债率_%,经营现金流_原始值,数据日期,待核验项,已在Watchlist
AA,Basic Materials,50.32,132.18,10.431353,40.37,84.38,1.01,nan,,,,18.91,16.78,1185000000.0,2026-08-30,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
AB,Financial Services,36.88,34.13,10.886191,16.39,44.11,2.89,3.03,,,,24.21,,352372000.0,2026-08-30,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
ADEA,Technology,25.72,27.5,23.59633,25.1,34.34,0.34,nan,,,,23.11,41.16,158086000.0,2026-08-30,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
ADT,Industrials,7.54,39.74,10.476311,15.61,8.935,5.39,65.0,,,,15.77,48.61,1884163000.0,2026-08-30,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
AEM,Basic Materials,206.25,1046.03,17.65839,19.19,255.24,27.53,88.11,,,,18.03,0.93,6817113000.0,2026-08-30,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
AEO,Consumer Cyclical,16.87,25.64,10.475567,40.72,28.46,3.59,15.33,,,,11.34,42.41,456182000.0,2026-08-30,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
AFFS,,15.75,28.36,16.123748,,,,,,,,nan,,,2026-08-30,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
AFFT,,15.75,28.36,16.123748,,,,,,,,nan,,,2026-08-30,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
AG,Basic Materials,20.76,101.17,29.895495,35.21,32.04,26.37,nan,,,,5.97,6.58,526010000.0,2026-08-30,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
AGCO,Industrials,113.39,65.81,15.549766,21.14,143.78,-7.29,-6.53,,,,17.0,21.49,988100000.0,2026-08-30,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
AGI,Basic Materials,36.75,153.63,13.172043,33.68,55.41,30.11,187.95,,,,19.92,3.49,795300000.0,2026-08-30,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
AGO,Financial Services,75.53,31.14,10.0133,18.26,92.4,14.43,59.48,,,,8.88,13.99,259000000.0,2026-08-30,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
AKO.B,,29.56,22.9,14.814755,,,,,,,,nan,,,2026-08-30,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
ALE,,67.9,39.27,23.831376,,,,,,,,nan,,,2026-08-30,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
AMRZ,Basic Materials,44.67,220.22,20.039343,32.26,65.94,3.28,2.26,,,,8.94,26.16,2208000000.0,2026-08-30,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
AMTM,Industrials,20.31,30.85,24.440433,46.71,38.11,23.31,nan,,,,1.47,36.36,543000000.0,2026-08-30,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
AMX,Communication Services,23.18,196.57,13.610395,18.55,28.46,3.77,2.83,,,,22.87,41.07,272399022000.0,2026-08-30,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
AUGO,Basic Materials,84.53,29.49,23.677871,23.38,110.321,32.9,nan,,,,-29.86,27.05,305184000.0,2026-08-30,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
BEAV,,64.47,59.84,20.931818,,,,,,,,nan,,,2026-08-30,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
BPY,,18.59,132.27,9.869991,,,,,,,,nan,,,2026-08-30,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
DOO,Consumer Cyclical,61.91,23.71,22.996345,24.4,81.89,-5.59,-30.37,,,,48.27,42.38,1212500000.0,2026-08-30,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
FISV,,53.18,282.39,10.194688,61.64,138.62,6.11,11.21,,,,13.49,36.34,6062000000.0,2026-08-30,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
HONA,Industrials,162.37,514.52,26.444625,45.42,297.5,12.34,-21.47,,,,21.19,1.53,3705000000.0,2026-08-30,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
HTZZ,,32.62,90.18,27.334264,,,,,,,,nan,,,2026-08-30,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
JBS,Consumer Defensive,13.59,42.41,13.058531,27.13,18.65,5.88,-12.26,,,,23.26,50.62,2931953000.0,2026-08-30,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
MBGL,Technology,20.24,59.67,29.10823,22.15,26.0,8.56,-7.32,,,,1.22,1.91,485000000.0,2026-08-30,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
MIAX,Financial Services,43.0,40.1,29.79903,24.75,57.14,19.57,nan,,,,-7.95,0.65,167833000.0,2026-08-30,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
MZTI,Consumer Defensive,114.84,22.21,16.452722,38.57,186.95,1.93,19.86,,,,18.19,15.81,283816000.0,2026-08-30,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
OTF,Financial Services,11.38,52.11,14.122383,28.07,15.82,149.84,235.95,,,,8.96,42.73,-915952000.0,2026-08-30,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
SGI,Consumer Cyclical,64.37,120.37,25.641649,34.69,98.56,14.96,-5.54,,,,12.36,57.54,800100000.0,2026-08-30,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
SNDK,Technology,1484.98,2141.03,20.132592,36.93,2354.39,49.29,nan,,,,72.66,0.79,11671000000.0,2026-08-30,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
SUNB,Industrials,73.2,298.69,23.238095,15.55,86.68,4.88,-6.44,,,,17.88,46.91,3784000000.0,2026-08-30,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
VG,Energy,14.18,71.89,11.159889,19.52,17.62,28.77,10.84,,,,37.52,65.3,6566000000.0,2026-08-30,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
WSE,Technology,13.04,100.01,26.925459,25.36,17.47,30.26,52.29,,,,25.9,1.45,7553900000.0,2026-08-30,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
