二筛排名,代码,行业,二筛总分,优先级,异常惩罚,PE_TTM,距52周高点跌幅_%,营收5年CAGR_%,净利润5年CAGR_%,已在Watchlist,量化警示,52周高点,营收3年CAGR_%,净利润3年CAGR_%,经营现金流3年CAGR_%,应收账款3年CAGR_%,库存3年CAGR_%,毛利率_%,净利率_%,ROE_%,ROA_%,资产负债率_%,长期债务权益比,利息保障倍数,流动比率,总资产周转率,FCF净利润转化率,股数3年CAGR_%,经营现金流_原始值
1,INTU,Technology,91.8,A-优先三件套,0.0,19.330781,60.2,13.95,23.26,否,无,794.09,13.95,23.26,16.86,5.92,,79.57,20.55,19.63,11.2,17.96,0.34,20.57,1.36,0.55,1.57,-0.33,6207000000.0
2,FUTU,Financial Services,85.3,A-优先三件套,0.0,11.620048,48.1,44.24,57.05,否,无,202.53,44.24,57.05,127.26,41.2,,87.12,49.62,28.34,5.86,7.65,0.44,48.14,1.19,0.12,3.59,0.12,40788133000.0
3,UTHR,Healthcare,85.1,A-优先三件套,0.0,19.127812,15.04,18.02,22.43,否,无,609.35,18.02,22.43,24.84,16.69,21.53,87.92,41.94,18.81,17.51,3.81,0.04,88.89,6.6,0.42,0.78,-1.76,1561200000.0
4,LOPE,Consumer Defensive,79.1,A-优先三件套,0.0,18.286295,34.84,6.67,5.39,否,无,223.04,6.67,5.39,7.39,2.87,,53.19,19.54,28.94,21.5,10.82,0.14,75830.25,3.65,1.1,1.1,-4.1,273491000.0
5,CDE,Basic Materials,78.5,A-优先三件套,6.0,12.32593,46.31,38.12,nan,否,股数膨胀>2%,27.77,38.12,nan,225.93,42.36,30.37,44.47,28.3,17.68,16.75,7.51,0.11,24.85,2.47,0.59,1.14,29.49,886879000.0
6,LRN,Consumer Defensive,77.9,A-优先三件套,7.0,12.580642,53.09,12.56,39.04,否,利润增长显著快于营收,171.17,12.56,39.04,27.9,10.17,1.43,39.24,11.97,19.46,13.66,23.97,0.37,37.48,5.39,1.14,1.29,0.57,432816000.0
7,B,Basic Materials,77.0,A-优先三件套,7.0,10.168107,32.84,15.47,126.1,否,利润增长显著快于营收,54.69,15.47,126.1,30.23,9.97,5.11,51.26,29.45,18.8,10.07,10.1,0.2,25.59,2.92,0.34,0.77,-1.54,7689000000.0
8,BSX,Healthcare,76.7,A-优先三件套,7.0,18.934183,57.32,16.54,60.72,否,利润增长显著快于营收,109.5,16.54,60.72,43.76,14.1,16.38,69.01,14.44,11.96,6.98,26.19,0.47,10.7,1.62,0.48,1.17,1.14,4534000000.0
9,AEM,Basic Materials,76.5,B-保留观察,13.0,12.4375,43.08,27.53,88.11,否,利润增长显著快于营收；股数膨胀>2%,255.24,27.53,88.11,48.15,29.64,12.0,58.13,37.47,18.03,13.84,0.93,0.01,201.46,2.02,0.37,0.96,3.09,6817113000.0
10,AWI,Industrials,75.1,A-优先三件套,0.0,23.934073,15.25,9.54,15.01,否,无,206.08,9.54,15.01,24.91,6.74,4.24,40.64,19.05,34.27,16.39,25.66,0.55,13.13,1.46,0.86,0.8,-1.98,355500000.0
11,CART,Consumer Cyclical,74.7,A-优先三件套,0.0,24.993934,16.64,13.62,1.46,否,无,53.5,13.62,1.46,51.91,10.21,,73.7,11.95,17.75,11.46,0.98,0.01,,2.4,0.96,2.04,-4.64,971000000.0
12,NTES,Communication Services,74.5,A-优先三件套,0.0,17.363504,16.47,5.29,18.4,否,无,159.55,5.29,18.4,22.34,2.18,-11.48,64.29,29.98,21.06,16.18,3.04,0.04,,3.45,0.54,1.44,-0.33,50739800000.0
13,WSE,Technology,73.6,A-优先三件套,7.0,24.77803,31.31,46.67,131.92,否,利润增长显著快于营收,17.47,46.67,131.92,12.15,11.23,,72.41,23.07,30.06,2.45,0.96,0.13,37.68,1.08,0.11,10.7,-0.46,5814455929.73
14,PAYC,,73.3,A-优先三件套,0.0,19.154573,,14.27,17.23,否,无,,14.27,17.23,22.97,,,83.17,22.1,nan,,,,183.18,,,0.89,,678900000.0
15,SCCO,Basic Materials,72.7,A-优先三件套,0.0,27.035109,17.58,10.13,18.0,否,无,221.67,10.13,18.0,19.25,11.13,1.43,53.59,32.3,39.27,21.62,34.67,0.67,19.37,3.89,0.67,0.79,0.0,4752100000.0
16,MKTX,Financial Services,70.9,B-保留观察,0.0,19.205755,22.73,5.62,-0.48,否,无,210.05,5.62,-0.48,9.73,8.78,,59.42,29.14,21.53,13.24,14.73,0.25,247.8,2.77,0.45,1.31,-1.69,382139000.0
17,MORN,Financial Services,70.4,B-保留观察,7.0,18.32255,30.35,9.34,74.44,否,利润增长显著快于营收,276.47,9.34,74.44,25.57,8.23,,61.03,15.3,30.62,10.48,35.13,1.03,13.47,0.99,0.69,1.18,-2.2,589700000.0
18,INFY,Technology,70.1,B-保留观察,0.0,14.849414,59.9,3.44,3.58,否,无,30.0,3.44,3.58,12.29,6.29,,30.16,16.44,33.85,19.57,5.88,0.1,96.87,1.98,1.19,1.13,-0.73,4039000000.0
19,OCTV,Technology,70.0,B-保留观察,0.0,20.750853,39.2,8.28,9.87,否,无,30.0,8.28,9.87,10.82,-5.38,-46.75,73.0,19.27,4.1,3.66,0.72,0.01,,1.01,0.19,1.15,0.0,496866000.0
20,CHKP,Technology,70.0,B-保留观察,0.0,13.036796,39.65,5.37,9.87,否,无,210.66,5.37,9.87,2.97,6.09,,86.72,38.78,36.67,15.59,25.26,0.68,473.55,2.05,0.4,1.11,-4.37,1199400000.0
21,MZTI,Consumer Defensive,69.7,B-保留观察,0.0,16.72697,44.04,4.43,23.16,否,无,190.96,4.43,23.16,36.95,-10.91,5.37,23.87,8.77,16.76,13.49,4.36,0.06,,2.38,1.54,1.22,0.02,261496000.0
22,BR,Technology,69.0,B-保留观察,0.0,16.456534,43.38,6.46,15.91,否,无,271.91,6.46,15.91,38.23,4.39,,31.02,12.19,31.62,10.0,40.48,1.3,8.8,0.98,0.82,1.26,-0.03,1171300000.0
23,ITRI,Technology,68.2,B-保留观察,0.0,16.6174,29.82,9.65,nan,否,无,142.0,9.65,nan,154.94,11.1,2.03,37.69,12.72,17.54,8.45,34.08,0.74,16.25,1.8,0.66,1.27,-0.19,405952000.0
24,BKNG,Consumer Cyclical,67.9,B-保留观察,0.0,25.322308,16.78,16.35,20.9,否,无,231.8,16.35,20.9,12.81,19.67,,nan,20.08,-96.88,18.97,65.93,-3.46,5.23,1.33,0.94,1.68,-5.56,9409000000.0
25,NICE,Technology,67.7,B-保留观察,7.0,11.63611,36.82,10.53,32.03,否,利润增长显著快于营收,156.37,10.53,32.03,14.31,12.48,,66.41,20.78,15.79,11.77,1.74,0.02,,1.55,0.57,1.02,-1.71,716549000.0
26,BRO,Financial Services,67.4,B-保留观察,6.0,22.162639,28.38,17.38,16.19,否,股数膨胀>2%,98.3,17.38,16.19,18.07,12.26,,49.07,18.29,8.4,4.43,26.4,0.63,5.48,1.04,0.24,1.31,5.86,1450000000.0
27,AU,Basic Materials,67.0,B-保留观察,21.0,11.659824,38.58,30.02,124.49,否,利润增长显著快于营收；应收增速>营收；股数膨胀>2%,129.14,30.02,124.49,38.42,82.72,11.65,49.24,26.65,32.58,18.62,15.13,0.28,20.89,2.87,0.7,1.27,6.45,4784000000.0
28,BIRK,Consumer Cyclical,65.7,B-保留观察,8.0,17.441001,27.67,19.06,23.02,否,应收增速>营收,53.53,19.06,23.02,17.96,33.26,9.56,59.11,16.61,12.79,7.09,26.5,0.48,7.22,2.81,0.43,0.86,-0.7,384300000.0
29,NEM,Basic Materials,65.1,B-保留观察,14.0,11.857108,30.52,23.91,nan,否,应收增速>营收；股数膨胀>2%,134.88,23.91,nan,47.5,42.85,15.33,53.21,31.25,20.92,12.49,9.78,0.17,50.53,2.29,0.4,1.03,11.15,10334000000.0
