代码,行业,最新价,流通市值_亿美元,PE_TTM,距52周高点跌幅_%,52周高点,营收5年CAGR_%,净利润5年CAGR_%,最新季度营收同比_%,最新季度净利润同比_%,营业利润占比_%,ROE_%,资产负债率_%,经营现金流_原始值,数据日期,待核验项,已在Watchlist
BPY,,18.59,132.27,9.869991,,,,,,,,nan,,,2026-08-27,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
DOO,Consumer Cyclical,60.23,23.06,22.372312,26.45,81.89,-5.59,-30.37,,,,48.27,42.38,1212500000.0,2026-08-27,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
FDXF,Industrials,131.27,156.85,29.97032,34.36,200.0,-4.46,-25.45,,,,-131.79,92.46,167000000.0,2026-08-27,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
FISV,,52.45,278.51,10.054746,62.23,138.85,6.11,11.21,,,,13.49,36.34,6062000000.0,2026-08-27,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
HAPN,Financial Services,18.36,20.44,11.019932,15.27,21.67,-5.61,-22.34,,,,9.04,0.14,-2726940000.0,2026-08-27,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
HONA,Industrials,164.01,519.72,26.711726,44.87,297.5,12.34,-21.47,,,,21.19,1.53,3705000000.0,2026-08-27,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
HTZZ,,32.62,90.18,27.334264,,,,,,,,nan,,,2026-08-27,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
JBS,Consumer Defensive,13.75,42.91,13.212274,26.27,18.65,5.88,-12.26,,,,23.26,50.62,2931953000.0,2026-08-27,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
MBGL,Technology,20.55,60.59,29.554057,20.96,26.0,8.56,-7.32,,,,1.22,1.91,485000000.0,2026-08-27,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
MZTI,Consumer Defensive,113.45,21.94,16.253582,39.32,186.95,4.43,23.16,,,,16.76,4.36,261496000.0,2026-08-27,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
OGC,Basic Materials,30.68,67.86,8.127994,29.19,43.33,25.08,68.0,,,,27.73,1.54,984200000.0,2026-08-27,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
OTF,Financial Services,11.07,50.69,13.737679,30.03,15.82,149.84,235.95,,,,8.96,42.73,-915952000.0,2026-08-27,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
SGI,Consumer Cyclical,62.83,117.49,25.028193,36.25,98.56,14.96,-5.54,,,,12.36,57.54,800100000.0,2026-08-27,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
SNDK,Technology,1499.37,2161.78,20.327684,36.32,2354.39,49.29,nan,,,,72.66,0.79,11671000000.0,2026-08-27,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
VG,Energy,14.3,72.5,11.254331,18.84,17.62,28.77,10.84,,,,37.52,65.3,6566000000.0,2026-08-27,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
WSE,Technology,13.23,101.46,27.317778,24.27,17.47,30.26,52.29,,,,25.9,1.45,7553900000.0,2026-08-27,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
ALGN,Healthcare,159.14,109.2,27.645333,20.6,200.44,2.61,4.31,,,,10.13,1.84,593223000.0,2026-08-27,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
AN,Consumer Cyclical,196.57,64.08,9.095636,16.64,235.81,0.79,-22.18,,,,27.73,70.76,111900000.0,2026-08-27,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
ANDE,Consumer Defensive,65.24,21.31,12.688573,20.55,82.11,-14.03,-9.95,,,,7.69,25.43,176998000.0,2026-08-27,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
AOS,Industrials,62.48,67.48,17.409981,23.68,81.87,0.67,32.33,,,,29.4,6.11,616800000.0,2026-08-27,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
AR,Energy,38.53,110.81,11.042522,15.78,45.75,-15.47,-30.28,,,,8.4,26.62,1630930000.0,2026-08-27,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
AROC,Energy,31.67,54.01,17.021574,25.01,42.23,20.78,93.77,,,,21.61,55.67,622107000.0,2026-08-27,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
ASR,Industrials,262.52,39.59,13.847271,31.19,381.52,13.73,1.65,,,,26.55,39.89,12348613000.0,2026-08-27,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
ATMU,Consumer Cyclical,49.48,40.07,18.95967,25.59,66.5,4.14,6.77,,,,54.8,45.3,202700000.0,2026-08-27,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
BABA,Consumer Cyclical,119.83,2702.17,27.349025,37.81,192.67,5.62,12.49,,,,9.76,14.75,76213000000.0,2026-08-27,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
BAH,Industrials,74.24,87.77,11.673883,32.84,110.55,6.6,46.44,,,,77.01,57.91,1041000000.0,2026-08-27,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
BANF,Financial Services,111.8,25.97,15.087088,19.44,138.77,7.4,7.61,,,,12.98,0.66,285278000.0,2026-08-27,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
CDW,Technology,141.46,175.85,16.985943,17.54,171.55,-1.89,-1.45,,,,40.93,36.11,1205200000.0,2026-08-27,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
CEG,Utilities,279.52,810.61,27.064168,32.27,412.7,1.47,nan,,,,15.97,15.71,4237000000.0,2026-08-27,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
CHKP,Technology,129.05,99.34,13.142335,38.74,210.66,5.37,9.87,,,,36.67,25.26,1199400000.0,2026-08-27,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
CHRW,Industrials,151.73,172.93,28.965217,27.86,210.33,-13.05,-14.54,,,,31.81,27.59,914519000.0,2026-08-27,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
CLX,Consumer Defensive,104.23,125.32,21.669439,19.14,128.9,-3.11,57.94,,,,652.22,70.82,612000000.0,2026-08-27,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
CMC,Industrials,68.41,75.06,12.995895,19.39,84.87,-4.36,-58.88,,,,2.02,18.88,715070000.0,2026-08-27,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
CMI,Industrials,578.14,792.09,29.550578,21.64,737.76,6.25,9.74,,,,23.02,23.87,3621000000.0,2026-08-27,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
COF,Financial Services,217.21,1314.54,12.667142,16.34,259.64,15.98,-30.67,,,,2.16,7.54,27718000000.0,2026-08-27,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
CRH,Basic Materials,97.05,644.63,17.105843,26.23,131.55,4.6,-1.15,,,,15.54,33.78,5625000000.0,2026-08-27,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
MGM,Consumer Cyclical,43.46,78.66,27.200955,15.76,51.59,10.14,-48.11,,,,8.47,75.83,2529378000.0,2026-08-27,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
MGY,Energy,26.43,62.11,11.547395,19.32,32.76,-8.18,-28.61,,,,16.77,14.17,878639000.0,2026-08-27,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
MIFF,,26.0,32.05,8.902347,,,,,,,,nan,,,2026-08-27,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
MORN,Financial Services,212.44,40.01,20.21313,19.93,265.31,9.34,74.44,,,,30.62,35.13,589700000.0,2026-08-27,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
NHI,Real Estate,73.39,35.18,21.183915,19.69,91.38,10.53,28.89,,,,9.34,41.61,236563000.0,2026-08-27,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
NI,Utilities,41.13,196.27,21.87766,16.42,49.21,4.32,4.95,,,,9.84,45.21,2362300000.0,2026-08-27,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
NICE,Technology,101.1,59.24,14.59513,34.21,153.68,10.53,32.03,,,,15.79,1.74,716549000.0,2026-08-27,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
NKE,Consumer Cyclical,38.59,454.2,18.37619,51.47,79.51,-3.24,-15.05,,,,20.91,28.72,2868000000.0,2026-08-27,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
NMRK,Real Estate,15.76,24.74,19.7,20.54,19.835,6.78,14.86,,,,8.63,41.89,172001000.0,2026-08-27,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
NOC,Industrials,549.95,779.35,17.458941,28.95,774.0,4.65,-5.12,,,,25.08,33.13,4757000000.0,2026-08-27,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
NTES,Communication Services,123.43,429.54,16.639314,22.64,159.55,5.29,18.4,,,,21.06,3.04,50739800000.0,2026-08-27,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
BCO,Industrials,111.52,45.31,25.816249,18.22,136.37,5.07,5.39,,,,71.91,62.9,639500000.0,2026-08-27,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
BF.A,,28.72,91.62,18.771242,,,,,,,,nan,,,2026-08-27,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
BF.B,,28.07,89.54,18.346405,,,,,,,,nan,,,2026-08-27,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
BFAM,Consumer Cyclical,74.46,33.38,23.540585,37.78,119.67,13.24,33.79,,,,14.42,45.26,350726000.0,2026-08-27,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
BG,Consumer Defensive,113.25,178.33,22.094431,16.03,134.87,1.51,-20.27,,,,5.13,35.61,844000000.0,2026-08-27,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
BK,,137.16,938.17,17.015968,,,,,,,,nan,,,2026-08-27,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
BRK.A,,756927.8,9338.22,12.689273,,,,,,,,nan,,,2026-08-27,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
BRO,Financial Services,72.78,210.88,22.911887,25.35,97.49,17.38,16.19,,,,8.4,26.4,1450000000.0,2026-08-27,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
BSX,Healthcare,48.17,696.92,19.517646,56.01,109.5,16.54,60.72,,,,11.96,26.19,4534000000.0,2026-08-27,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
AMKR,Technology,48.4,60.23,21.704036,49.94,96.68,-1.84,-21.26,,,,8.36,nan,1095606000.0,2026-08-27,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
APP,Communication Services,308.11,788.76,23.685966,58.68,745.61,24.84,nan,,,,156.17,48.83,3971094000.0,2026-08-27,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
BDC,Technology,118.09,45.24,19.162992,26.19,159.99,1.37,-2.3,,,,18.78,39.57,354864000.0,2026-08-27,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
BIRK,Consumer Cyclical,36.18,28.07,17.295323,31.59,52.89,19.06,23.02,,,,12.79,26.5,384300000.0,2026-08-27,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
CNM,Industrials,43.37,83.76,18.383966,35.44,67.18,4.76,6.41,,,,22.08,40.05,650000000.0,2026-08-27,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
CPA,Industrials,132.47,37.26,8.698289,17.45,160.47,6.86,24.5,,,,24.2,35.01,1150436000.0,2026-08-27,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
CPB,Consumer Defensive,23.23,44.6,11.393046,32.02,34.17,6.19,-7.35,,,,15.43,48.42,1131000000.0,2026-08-27,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
CRM,Technology,205.62,1630.57,23.868861,23.59,269.11,9.82,229.74,,,,12.61,15.29,14996000000.0,2026-08-27,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
CSL,Industrials,365.72,143.34,21.026059,15.52,432.91,-2.7,-7.11,,,,41.26,46.01,1101800000.0,2026-08-27,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
CTRA,,32.56,244.83,15.00149,,,,,,,,nan,,,2026-08-27,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
CTSH,Technology,62.09,278.62,13.374539,28.66,87.03,2.8,-0.88,,,,14.85,5.57,2883000000.0,2026-08-27,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
CXT,Industrials,50.64,29.05,20.92562,26.61,69.0,7.33,-10.87,,,,11.58,38.82,241500000.0,2026-08-27,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
UTHR,Healthcare,516.68,203.31,18.486939,15.21,609.35,18.02,22.43,,,,18.81,3.81,1561200000.0,2026-08-27,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
VICI,Real Estate,26.0,285.45,10.077519,23.34,33.915,15.49,35.42,,,,9.98,37.86,2509991000.0,2026-08-27,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
VMI,Industrials,476.98,90.03,18.570295,18.56,585.71,-1.89,10.1,,,,20.5,27.47,456484000.0,2026-08-27,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
VVX,Industrials,78.0,24.05,26.883555,17.0,93.98,15.72,nan,,,,7.18,33.47,181992000.0,2026-08-27,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
WAL,Financial Services,79.6,82.11,8.977928,18.13,97.23,11.81,-2.87,,,,12.66,6.98,-2678900000.0,2026-08-27,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
WSO,Industrials,314.39,113.72,26.939876,31.51,459.0,-0.16,-6.15,,,,17.87,10.85,569613000.0,2026-08-27,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
WSO.B,,316.05,112.45,27.082262,,,,,,,,nan,,,2026-08-27,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
YETI,Consumer Cyclical,41.78,30.01,18.216358,22.62,53.99,5.41,22.63,,,,25.43,18.49,254737000.0,2026-08-27,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
YMM,Technology,8.82,67.38,14.936697,37.31,14.07,22.87,121.3,,,,11.01,0.08,4626880000.0,2026-08-27,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
ZM,Technology,93.83,243.96,8.703861,18.22,114.74,3.49,163.63,,,,19.37,0.49,1989048000.0,2026-08-27,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
ZTO,Industrials,21.32,79.95,11.277983,18.63,26.2,11.54,10.07,,,,13.68,12.61,11968419000.0,2026-08-27,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
ZTS,Healthcare,77.52,319.38,12.693826,50.46,156.49,5.42,8.13,,,,80.25,59.73,2904000000.0,2026-08-27,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
BSBR,Financial Services,5.81,434.08,16.84058,20.63,7.32,2.64,-3.68,,,,10.2,2.21,4992175000.0,2026-08-27,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
BVN,Basic Materials,36.18,62.23,8.630458,19.01,44.67,28.05,9.08,,,,19.26,0.15,238347000.0,2026-08-27,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
BXSL,Financial Services,24.93,44.13,19.688164,17.45,30.2,16.28,11.68,,,,9.02,55.13,-458657000.0,2026-08-27,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
BZ,Communication Services,18.84,71.4,13.140009,25.42,25.26,22.38,194.36,,,,13.66,0.64,4552371000.0,2026-08-27,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
CALM,Consumer Defensive,83.06,35.19,12.527903,28.85,116.74,-2.55,-25.24,,,,12.03,0.05,479753000.0,2026-08-27,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
CBZ,Industrials,54.74,26.7,26.317308,17.34,66.22,25.0,3.1,,,,6.55,41.47,192485000.0,2026-08-27,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
CCL,Consumer Cyclical,25.59,349.82,11.740929,24.8,34.03,29.81,nan,,,,22.47,54.16,6218000000.0,2026-08-27,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
CDE,Basic Materials,21.44,219.76,18.016807,22.79,27.77,38.12,nan,,,,17.68,7.51,886879000.0,2026-08-27,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
CHDN,Consumer Cyclical,87.57,57.26,14.867572,26.01,118.35,17.37,-4.48,,,,37.93,68.66,769800000.0,2026-08-27,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
NYT,Communication Services,68.42,94.86,28.502645,21.45,87.1,6.96,25.53,,,,16.85,1.22,584489000.0,2026-08-27,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
OBDC,Financial Services,11.25,55.4,19.61256,22.09,14.44,9.83,10.39,,,,8.48,54.11,1741520000.0,2026-08-27,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
OTEX,Technology,24.33,56.61,9.430233,39.02,39.9,5.37,62.31,,,,16.02,45.57,1006817000.0,2026-08-27,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
OTIS,Industrials,72.36,275.07,18.596078,23.48,94.565,1.79,3.37,,,,-25.67,79.89,1596000000.0,2026-08-27,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
RELX,Industrials,35.34,610.68,21.346213,26.98,48.4,3.89,8.12,,,,87.28,49.24,2836000000.0,2026-08-27,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
RITM,Real Estate,10.08,55.77,16.76064,20.88,12.74,-6.84,-10.63,,,,8.08,67.13,-1292051000.0,2026-08-27,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
TEL,Technology,205.03,594.47,20.07838,18.82,252.56,1.97,-8.8,,,,14.64,23.2,4139000000.0,2026-08-27,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
WHR,Consumer Cyclical,40.14,24.56,13.709016,58.43,96.57,-7.67,nan,,,,11.67,44.93,470000000.0,2026-08-27,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
WING,Consumer Cyclical,112.24,28.64,26.648939,67.19,342.1,24.91,48.75,,,,-23.65,183.21,153065000.0,2026-08-27,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
WMG,Communication Services,27.93,40.78,22.141468,21.15,35.42,4.25,-12.83,,,,56.41,46.88,678000000.0,2026-08-27,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
WMS,Industrials,141.46,100.26,24.511677,21.11,179.315,-0.23,-5.61,,,,22.07,39.8,819054000.0,2026-08-27,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
WYNN,Consumer Cyclical,97.17,71.92,23.293617,27.87,134.72,23.86,nan,,,,-118.82,92.89,1352653000.0,2026-08-27,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
XP,Financial Services,17.81,71.77,9.10257599999999,23.0,23.13,10.28,13.04,,,,21.96,26.28,12044826000.0,2026-08-27,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
XYL,Industrials,113.42,262.69,26.986039,26.48,154.27,17.84,39.17,,,,8.34,11.7,1241000000.0,2026-08-27,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
YUMC,Consumer Cyclical,47.18,154.19,17.353423,19.2,58.39,7.23,28.09,,,,17.27,21.72,1466000000.0,2026-08-27,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
FUTU,Financial Services,127.34,76.71,12.696848,37.13,202.53,44.24,57.05,,,,28.34,7.65,40788133000.0,2026-08-27,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
HII,Industrials,296.4,115.51,17.651589,35.57,460.0,5.35,1.47,,,,11.93,22.93,1196000000.0,2026-08-27,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
HON,Industrials,220.67,662.01,8.575179,15.22,260.28317,1.82,-1.62,,,,34.01,48.27,6408000000.0,2026-08-27,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
INDV,Healthcare,35.825,39.05,12.951602,16.32,42.81,11.2,nan,,,,-212.12,29.23,-27000000.0,2026-08-27,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
INFY,Technology,11.69,454.39,14.429729,61.03,30.0,3.44,3.58,,,,33.85,5.88,4039000000.0,2026-08-27,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
