代码,行业,最新价,流通市值_亿美元,PE_TTM,距52周高点跌幅_%,52周高点,营收5年CAGR_%,净利润5年CAGR_%,最新季度营收同比_%,最新季度净利润同比_%,营业利润占比_%,ROE_%,资产负债率_%,经营现金流_原始值,数据日期,待核验项,已在Watchlist
AA,Basic Materials,49.72,130.6,10.306972,41.08,84.38,1.01,nan,,,,18.91,16.78,1185000000.0,2026-08-27,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
AB,Financial Services,36.85,34.11,10.877336,16.46,44.11,2.89,3.03,,,,24.21,,352372000.0,2026-08-27,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
ACM,Industrials,65.11,83.12,29.585234,51.96,135.52,7.07,21.84,,,,22.54,26.47,821602000.0,2026-08-27,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
ADEA,Technology,26.13,27.94,23.972477,23.91,34.34,0.34,nan,,,,23.11,41.16,158086000.0,2026-08-27,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
ADMA,Healthcare,9.63,20.27,13.750228,52.93,20.458,49.05,nan,,,,30.78,12.8,50396000.0,2026-08-27,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
ADT,Industrials,7.44,39.21,10.337368,16.73,8.935,5.39,65.0,,,,15.77,48.61,1884163000.0,2026-08-27,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
AEM,Basic Materials,214.04,1085.54,18.325342,16.14,255.24,27.53,88.11,,,,18.03,0.93,6817113000.0,2026-08-27,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
AEO,Consumer Cyclical,17.59,26.74,10.922657,38.19,28.46,3.59,15.33,,,,11.34,42.41,456182000.0,2026-08-27,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
AFFS,,15.5,27.91,15.867816,,,,,,,,nan,,,2026-08-27,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
AFFT,,15.75,28.36,16.123748,,,,,,,,nan,,,2026-08-27,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
AGCO,Industrials,111.56,64.75,15.298809,22.41,143.78,-7.29,-6.53,,,,17.0,21.49,988100000.0,2026-08-27,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
AGI,Basic Materials,37.55,156.97,13.458781,32.23,55.41,30.11,187.95,,,,19.92,3.49,795300000.0,2026-08-27,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
AGO,Financial Services,75.91,31.3,10.063678,17.85,92.4,14.43,59.48,,,,8.88,13.99,259000000.0,2026-08-27,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
AKO.B,,30.0,23.24,15.035273,,,,,,,,nan,,,2026-08-27,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
ALE,,67.9,39.27,23.831376,,,,,,,,nan,,,2026-08-27,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
AMRZ,Basic Materials,44.74,220.57,20.070746,32.15,65.94,3.28,2.26,,,,8.94,26.16,2208000000.0,2026-08-27,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
AMTM,Industrials,20.61,31.31,24.801444,45.92,38.11,23.31,nan,,,,1.47,36.36,543000000.0,2026-08-27,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
AMX,Communication Services,23.62,200.3,13.868746,17.01,28.46,3.77,2.83,,,,22.87,41.07,272399022000.0,2026-08-27,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
AUGO,Basic Materials,89.3,31.15,25.014006,19.05,110.321,32.9,nan,,,,-29.86,27.05,305184000.0,2026-08-27,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
BEAV,,64.47,59.84,20.931818,,,,,,,,nan,,,2026-08-27,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
